timestamp,position_0,position_1,position_2,position_3,position_4,position_5,position_6,velocity_0,velocity_1,velocity_2,velocity_3,velocity_4,velocity_5,velocity_6,effort_0,effort_1,effort_2,effort_3,effort_4,effort_5,effort_6
0.00595533,0.920306,0.257525,-0.952077,-2.06819,0.279226,2.11405,1.9993,0.000288041,0.00143131,0.0051304,-0.00281197,0.000766438,0.000863169,-0.0076517,0.360599,-21.9182,-5.86272,17.7112,0.874935,1.93261,0.420334
0.00801593,0.920306,0.257523,-0.952074,-2.06819,0.279225,2.11405,1.9993,0.00170565,0.000848846,0.00562686,-0.000424806,-0.000944811,-0.000268026,-0.00555251,0.285221,-21.6444,-5.71196,17.5366,0.807186,1.83922,0.285752
0.0100627,0.920297,0.257526,-0.952072,-2.06819,0.279221,2.11405,1.99929,-0.00648836,0.000385921,0.0039515,-0.0048621,-0.00165894,-0.00119188,-0.00226123,0.360599,-21.4937,-5.58501,17.4612,0.831906,1.85937,0.225327
0.0120838,0.920293,0.257544,-0.952063,-2.0682,0.279218,2.11405,1.99927,-0.0070618,0.00684422,0.00642544,-0.00209189,-0.00163064,0.000535428,-0.00365638,0.25745,-21.3945,-5.50963,17.2867,0.862118,1.82,0.151169
0.0131256,0.920288,0.257552,-0.952054,-2.0682,0.279217,2.11405,1.99926,-0.00747231,0.00457737,0.00509505,-0.00415752,-0.00141438,0.00151839,-0.00767691,0.209842,-21.2199,-5.50963,17.1121,0.868527,1.78612,0.151169
0.0160151,0.920247,0.257585,-0.952024,-2.06822,0.279227,2.11406,1.99918,-0.0132925,0.0088005,0.010614,-0.00656575,0.00427438,0.00179888,-0.0237297,0.182071,-20.4701,-5.21208,16.2909,0.855709,1.72661,-0.0026396
0.0180411,0.920202,0.257621,-0.951987,-2.06824,0.279232,2.11406,1.99905,-0.0195638,0.0163965,0.015092,-0.010171,0.00261561,0.00393382,-0.0481627,0.0551182,-19.7203,-4.96214,15.4181,0.850216,1.62774,0.00376909
0.0190556,0.920168,0.257644,-0.951959,-2.06826,0.279236,2.11407,1.99896,-0.0268322,0.0178731,0.0183611,-0.0157352,0.00174376,0.00481001,-0.0599837,0.0313145,-19.272,-4.83519,15.0214,0.855709,1.56823,0.00376909
0.0219787,0.920007,0.257751,-0.951811,-2.06833,0.279259,2.11407,1.99854,-0.0461201,0.0314892,0.0433178,-0.0172112,9.48344e-05,0.00621391,-0.120018,-0.0202602,-17.9747,-4.53765,13.4027,0.874935,1.38878,0.00376909
0.0231222,0.91993,0.257793,-0.95174,-2.06836,0.279271,2.11407,1.99835,-0.0541979,0.0337791,0.053637,-0.0188373,0.00809535,0.00610405,-0.147617,0.00751081,-17.4986,-4.48607,12.8552,0.911556,1.33568,-0.0163725
0.0260616,0.91964,0.257957,-0.951463,-2.06847,0.279374,2.11408,1.99754,-0.0865632,0.0484559,0.081923,-0.0353171,0.0315874,0.00380194,-0.23551,-0.0956386,-16.2013,-4.18456,11.2604,0.97839,1.14342,-0.0301054
0.0270664,0.919519,0.258023,-0.951351,-2.06853,0.279425,2.11408,1.99719,-0.0986517,0.052294,0.089912,-0.0389518,0.0406627,0.00525118,-0.269474,-0.119442,-15.8006,-4.03777,10.8597,1.02691,1.06377,-0.0703886
0.0290248,0.919244,0.258164,-0.951082,-2.06863,0.279594,2.11409,1.99638,-0.119687,0.0619724,0.11284,-0.0450019,0.0652752,0.00583832,-0.347366,-0.222592,-15.0032,-3.96239,10.0146,1.03332,0.944754,-0.117081
0.0310254,0.918928,0.258323,-0.950772,-2.06876,0.27983,2.11409,1.99539,-0.137402,0.0754219,0.136436,-0.0547118,0.0940141,-0.00173535,-0.431034,-0.452694,-14.182,-3.86321,9.31641,1.05804,0.812002,-0.170181
0.0339819,0.918362,0.258596,-0.950226,-2.06897,0.280378,2.11408,1.99355,-0.175737,0.0885103,0.165695,-0.068634,0.159065,0.00177811,-0.561139,-0.603451,-13.083,-3.76006,8.4198,1.05163,0.672842,-0.250748
0.035955,0.91794,0.258799,-0.949808,-2.06915,0.280864,2.11408,1.99206,-0.190985,0.0971232,0.188482,-0.0791118,0.209257,0.00288043,-0.671549,-0.829586,-12.357,-3.68468,7.9715,1.04522,0.586783,-0.23793
0.0389688,0.917229,0.259156,-0.949096,-2.06947,0.281811,2.11405,1.9894,-0.225363,0.113189,0.225226,-0.0964585,0.285082,-0.00665121,-0.814445,-1.15887,-11.385,-3.68468,7.27325,1.07635,0.447622,-0.204056
0.0399776,0.91697,0.259286,-0.948842,-2.06958,0.282185,2.11404,1.98842,-0.23372,0.115295,0.231307,-0.105494,0.310231,-0.00443175,-0.865641,-1.26202,-11.0121,-3.66088,7.02331,1.02691,0.421072,-0.298355
0.0419917,0.916434,0.259568,-0.948308,-2.06985,0.283024,2.11402,1.98628,-0.247996,0.129859,0.252338,-0.12072,0.368652,-0.0120803,-0.967246,-1.51593,-10.3615,-3.66088,6.40045,0.953671,0.327688,-0.217789
0.0439736,0.915861,0.259878,-0.947736,-2.07014,0.283969,2.11399,1.98397,-0.266599,0.143727,0.266579,-0.134086,0.426191,-0.0148444,-1.05009,-1.66668,-9.66325,-3.71245,5.72998,0.825497,0.307547,-0.250748
