timestamp,position_0,position_1,position_2,position_3,position_4,position_5,position_6,velocity_0,velocity_1,velocity_2,velocity_3,velocity_4,velocity_5,velocity_6,effort_0,effort_1,effort_2,effort_3,effort_4,effort_5,effort_6
0.00499235,0.920343,0.25757,-0.951855,-2.06829,0.280722,2.11415,1.99919,-0.000280256,0.00244147,-0.00159613,-0.00269032,0.00799426,0.000703543,-0.00908259,0.336795,-22.0174,-6.11266,17.8342,0.17181,1.83922,0.541184
0.00992684,0.920333,0.257576,-0.951842,-2.06829,0.280719,2.11415,1.99919,-0.00419194,0.00146391,0.00490802,0.00083392,-0.000742086,0.00129577,-0.00594391,0.285221,-21.4937,-5.83495,17.4612,0.336605,1.79986,0.164902
0.0159135,0.92029,0.257643,-0.951827,-2.06831,0.28079,2.11415,1.99881,-0.0118052,0.0120138,0.00502268,-0.00611319,0.0138043,-0.0015116,-0.0849171,-0.325741,-20.1686,-6.03728,16.2155,0.672604,1.6671,-0.050247
0.0211398,0.920165,0.257806,-0.951789,-2.06841,0.281179,2.11417,1.99751,-0.0250174,0.0345504,0.0114876,-0.0131362,0.0841664,0.00172446,-0.270905,-1.64288,-18.1969,-6.53716,13.851,0.868527,1.34942,-0.123489
0.0250386,0.919962,0.258043,-0.951732,-2.06857,0.281932,2.11417,1.99541,-0.0454622,0.0551394,0.0135976,-0.0355149,0.175172,-0.000983414,-0.495501,-3.01159,-16.5743,-7.18779,11.7563,0.905148,1.13701,-0.250748
0.029946,0.919553,0.258476,-0.951625,-2.06886,0.283528,2.11416,1.99113,-0.0778452,0.0920057,0.0240724,-0.0536561,0.318255,2.39662e-05,-0.849597,-4.73736,-14.7057,-8.01299,9.7409,1.03973,0.871512,-0.345047
0.0359597,0.918826,0.259222,-0.95141,-2.06939,0.286572,2.1141,1.98323,-0.120814,0.123458,0.033831,-0.0922498,0.517522,-0.0156519,-1.34334,-6.48694,-12.8807,-8.86199,7.9953,1.18621,0.540091,-0.217789
0.0409227,0.91802,0.260093,-0.951149,-2.07,0.290178,2.11395,1.97436,-0.158762,0.175912,0.0481696,-0.120169,0.71566,-0.024932,-1.74462,-7.57794,-11.3335,-9.1873,6.42822,1.10656,0.387198,-0.399063
0.0449433,0.917248,0.260982,-0.950887,-2.07059,0.293652,2.1138,1.96601,-0.184001,0.217518,0.058364,-0.145367,0.855406,-0.0354331,-2.04386,-8.0064,-10.1354,-9.08415,5.30548,0.911556,0.427481,-0.163772
0.0509589,0.915976,0.262717,-0.950484,-2.07156,0.299484,2.1136,1.95225,-0.213684,0.295117,0.0645246,-0.152281,0.966934,-0.0368956,-2.27841,-7.90722,-9.21494,-8.65965,6.77734,0.745846,0.560232,-0.183914
