Commanded Joint 0 Position,Commanded Joint 1 Position,Commanded Joint 2 Position,Commanded Joint 3 Position,Commanded Joint 4 Position,Commanded Joint 5 Position,Commanded Joint 6 Position,Commanded Joint 0 Velocity,Commanded Joint 1 Velocity,Commanded Joint 2 Velocity,Commanded Joint 3 Velocity,Commanded Joint 4 Velocity,Commanded Joint 5 Velocity,Commanded Joint 6 Velocity,Commanded Joint 0 Acceleration,Commanded Joint 1 Acceleration,Commanded Joint 2 Acceleration,Commanded Joint 3 Acceleration,Commanded Joint 4 Acceleration,Commanded Joint 5 Acceleration,Commanded Joint 6 Acceleration,Commanded Joint 0 Torque,Commanded Joint 1 Torque,Commanded Joint 2 Torque,Commanded Joint 3 Torque,Commanded Joint 4 Torque,Commanded Joint 5 Torque,Commanded Joint 6 Torque,Actual Joint 0 Position,Actual Joint 1 Position,Actual Joint 2 Position,Actual Joint 3 Position,Actual Joint 4 Position,Actual Joint 5 Position,Actual Joint 6 Position,Actual Joint 0 Velocity,Actual Joint 1 Velocity,Actual Joint 2 Velocity,Actual Joint 3 Velocity,Actual Joint 4 Velocity,Actual Joint 5 Velocity,Actual Joint 6 Velocity,Actual Joint 0 Acceleration,Actual Joint 1 Acceleration,Actual Joint 2 Acceleration,Actual Joint 3 Acceleration,Actual Joint 4 Acceleration,Actual Joint 5 Acceleration,Actual Joint 6 Acceleration,Actual Joint 0 Torque,Actual Joint 1 Torque,Actual Joint 2 Torque,Actual Joint 3 Torque,Actual Joint 4 Torque,Actual Joint 5 Torque,Actual Joint 6 Torque,
-0.0107071,-0.121749,-0.0164331,-1.87976,-0.0341041,0.223389,0.0806635,0.000169194,0.018165,0.000156675,-0.0346131,-0.00301088,0.0525331,-0.000363944,0.105747,11.3531,0.0979218,-21.6332,-1.8818,32.8332,-0.227465,0.0574478,20.5094,0.101163,-24.3291,-0.433043,1.95537,-0.0245623,-0.0107026,-0.122365,-0.0164132,-1.87644,-0.034025,0.217729,0.0807006,-0.00204473,-0.00139923,-0.00114611,0.00048606,0.00982674,-0.000559933,-0.000595853,0,0,0,0,0,0,0,0.134464,-31.2254,-0.137926,27.1255,0.502316,3.06603,0.0980684,
-0.0107157,-0.122382,-0.0164285,-1.87643,-0.033947,0.217733,0.0807018,7.4987e-05,0.0144389,5.46228e-05,-0.0276123,-0.00209576,0.0421197,-0.00028536,-0.0588796,-2.32881,-0.0637825,4.37549,0.571949,-6.50837,0.0491148,0.0516591,20.9529,0.0906905,-24.2452,-0.4336,1.70476,-0.023052,-0.0107032,-0.122273,-0.0164177,-1.87648,-0.0340301,0.217729,0.080705,-0.000761418,0.00116646,-0.00348971,-0.00013002,0.0181622,-0.00140269,0.000100805,0.160414,0.320711,-0.29295,-0.07701,1.04193,-0.105345,0.0870822,0.00751081,-31.1263,-0.213304,27.1771,0.550839,3.07976,0.0577852,
-0.0107172,-0.122384,-0.0164303,-1.87642,-0.0339402,0.217738,0.0807019,2.23812e-05,0.0114889,-6.92259e-08,-0.0220262,-0.00150745,0.0338161,-0.000225155,-0.0328786,-1.84377,-0.0341825,3.49136,0.367691,-5.18979,0.0376283,0.0444171,21.5246,0.0789065,-24.1371,-0.433409,1.35693,-0.0210845,-0.0107032,-0.122273,-0.0164177,-1.87648,-0.0340301,0.217729,0.080705,-0.000761418,0.00116646,-0.00348971,-0.00013002,0.0181622,-0.00140269,0.000100805,0,0,0,0,0,0,0,0.00751081,-31.1263,-0.213304,27.1771,0.550839,3.07976,0.0577852,
-0.0107182,-0.122386,-0.0164314,-1.87642,-0.0339366,0.217744,0.080702,-6.15029e-06,0.0091523,-2.78919e-05,-0.0175688,-0.00111475,0.027186,-0.000178503,-0.0178322,-1.46035,-0.0173892,2.78587,0.245438,-4.14379,0.0291575,0.0384535,22.0487,0.0694493,-23.9693,-0.43172,0.971488,-0.0190849,-0.0107032,-0.122273,-0.0164177,-1.87648,-0.0340301,0.217729,0.080705,-0.000761418,0.00116646,-0.00348971,-0.00013002,0.0181622,-0.00140269,0.000100805,0,0,0,0,0,0,0,0.00751081,-31.1263,-0.213304,27.1771,0.550839,3.07976,0.0577852,
-0.010844,-0.122251,-0.0165399,-1.87642,-0.0313643,0.216804,0.080685,-0.0018311,0.00751169,-0.00171616,-0.0133076,0.039138,0.00754271,-0.000322957,-1.14059,-1.02538,-1.05516,2.66326,25.158,-12.277,-0.0902838,0.500696,0.157388,0.498912,-0.233426,3.2773,-1.33099,-0.00138118,-0.0107032,-0.122273,-0.0164177,-1.87648,-0.0340301,0.217729,0.080705,-0.000761418,0.00116646,-0.00348971,-0.00013002,0.0181622,-0.00140269,0.000100805,0,0,0,0,0,0,0,0.00751081,-31.1263,-0.213304,27.1771,0.550839,3.07976,0.0577852,
-0.0109084,-0.122249,-0.0166034,-1.87639,-0.0294466,0.216097,0.0806812,-0.00307468,0.00607196,-0.00296065,-0.0100962,0.0792525,-0.0116476,-0.000353304,-0.777234,-0.89983,-0.777812,2.0071,25.0716,-11.994,-0.0189672,0.494892,0.154909,0.492817,-0.23077,3.24867,-1.31916,-0.00135755,-0.0107032,-0.122273,-0.0164177,-1.87648,-0.0340301,0.217729,0.080705,-0.000761418,0.00116646,-0.00348971,-0.00013002,0.0181622,-0.00140269,0.000100805,0,0,0,0,0,0,0,0.00751081,-31.1263,-0.213304,27.1771,0.550839,3.07976,0.0577852,
-0.0109589,-0.122249,-0.0166551,-1.87638,-0.0273416,0.215297,0.0806793,-0.00372381,0.00485239,-0.00366148,-0.00772826,0.116028,-0.0293254,-0.000332372,-0.405708,-0.762235,-0.438018,1.47997,22.9846,-11.0486,0.0130826,0.489157,0.155342,0.486747,-0.227843,3.21985,-1.30688,-0.00135585,-0.0107022,-0.122154,-0.0164199,-1.87646,-0.0340483,0.217694,0.0807024,-0.00436271,0.00584811,-0.00255488,0.00348585,0.0101695,-0.015843,-0.000110295,-0.450161,0.585207,0.116854,0.451984,-0.999078,-1.80504,-0.0263874,0.158268,-30.1781,-0.0625476,26.0306,0.593868,2.68151,0.0843355,
-0.0109947,-0.12225,-0.0166928,-1.87637,-0.0251262,0.214434,0.0806782,-0.00387312,0.0038553,-0.00387173,-0.0060063,0.148207,-0.0450164,-0.000292436,-0.0933172,-0.623179,-0.131401,1.07622,20.1118,-9.80688,0.0249598,0.483561,0.151813,0.480923,-0.225447,3.19038,-1.29556,-0.00134988,-0.0107022,-0.122154,-0.0164199,-1.87646,-0.0340483,0.217694,0.0807024,-0.00436271,0.00584811,-0.00255488,0.00348585,0.0101695,-0.015843,-0.000110295,0,0,0,0,0,0,0,0.158268,-30.1781,-0.0625476,26.0306,0.593868,2.68151,0.0843355,
-0.0110193,-0.122051,-0.0166655,-1.87606,-0.025607,0.212224,0.0806364,-0.00701726,0.00393456,-0.00642275,-7.78401e-05,0.248095,-0.119422,-0.000830553,-1.96509,0.0495378,-1.59439,3.70529,62.4298,-46.5032,-0.336323,4.15573,1.42528,4.24424,-1.78614,11.119,-7.78259,-0.00396341,-0.0107022,-0.122154,-0.0164199,-1.87646,-0.0340483,0.217694,0.0807024,-0.00436271,0.00584811,-0.00255488,0.00348585,0.0101695,-0.015843,-0.000110295,0,0,0,0,0,0,0,0.158268,-30.1781,-0.0625476,26.0306,0.593868,2.68151,0.0843355,
-0.0111339,-0.122041,-0.016769,-1.87593,-0.019246,0.208108,0.0806239,-0.00847889,0.00341493,-0.00772716,0.00315079,0.357499,-0.198443,-0.000978162,-0.913522,-0.324765,-0.815258,2.0179,68.378,-49.3881,-0.0922562,4.02197,1.41705,4.13034,-1.75707,11.119,-7.68993,-0.00374873,-0.0107022,-0.122154,-0.0164199,-1.87646,-0.0340483,0.217694,0.0807024,-0.00436271,0.00584811,-0.00255488,0.00348585,0.0101695,-0.015843,-0.000110295,0,0,0,0,0,0,0,0.158268,-30.1781,-0.0625476,26.0306,0.593868,2.68151,0.0843355,
-0.0111943,-0.122037,-0.0168242,-1.87586,-0.0121448,0.203474,0.0806172,-0.00829272,0.00282473,-0.00756045,0.00428016,0.463531,-0.274608,-0.000949665,0.11636,-0.368876,0.104194,0.705854,66.2698,-47.6035,0.0178112,3.89306,1.39322,4.00823,-1.72734,11.1189,-7.58985,-0.00411658,-0.0106868,-0.122184,-0.0164122,-1.87711,-0.0339823,0.217173,0.0807027,-0.00572274,-0.0452046,-0.00146582,-0.00967357,0.0332932,-0.0135404,-1.19577e-05,-0.170004,-6.38159,0.136133,-1.64493,2.89045,0.287828,0.0122921,0.360599,-34.3199,0.163588,28.1253,0.837399,3.05321,0.0779268,
-0.00998757,-0.122694,-0.0154824,-1.87698,-0.027025,0.207584,0.0808843,0.00489283,-0.00406923,0.00880104,0.00360641,0.47911,-0.367287,0.000925613,8.24097,-4.30873,10.2259,-0.421091,9.73672,-57.9243,1.17205,22.4801,3.30914,24.2369,-11.095,11.1189,-14.2741,0.15205,-0.0106868,-0.122184,-0.0164122,-1.87711,-0.0339823,0.217173,0.0807027,-0.00572274,-0.0452046,-0.00146582,-0.00967357,0.0332932,-0.0135404,-1.19577e-05,0,0,0,0,0,0,0,0.360599,-34.3199,0.163588,28.1253,0.837399,3.05321,0.0779268,
-0.00935485,-0.122935,-0.0146852,-1.87711,-0.0214798,0.200171,0.0809065,0.0197324,-0.00928077,0.0269701,-0.000461141,0.521918,-0.479163,0.00129568,9.27471,-3.25721,11.3556,-2.54222,26.755,-69.9224,0.231291,20.4521,2.7743,22.5273,-10.6571,11.1189,-14.2741,0.0827492,-0.0106868,-0.122184,-0.0164122,-1.87711,-0.0339823,0.217173,0.0807027,-0.00572274,-0.0452046,-0.00146582,-0.00967357,0.0332932,-0.0135404,-1.19577e-05,0,0,0,0,0,0,0,0.360599,-34.3199,0.163588,28.1253,0.837399,3.05321,0.0779268,
-0.00860257,-0.123111,-0.0136797,-1.8773,-0.015104,0.191655,0.0810783,0.034593,-0.0118183,0.0467139,-0.00511691,0.576928,-0.596234,0.00533235,9.28789,-1.58598,12.3399,-2.90986,34.3812,-73.1694,2.52292,19.0628,2.23437,21.452,-10.0983,11.1189,-14.2741,0.0230875,-0.0106868,-0.122184,-0.0164122,-1.87711,-0.0339823,0.217173,0.0807027,-0.00572274,-0.0452046,-0.00146582,-0.00967357,0.0332932,-0.0135404,-1.19577e-05,0,0,0,0,0,0,0,0.360599,-34.3199,0.163588,28.1253,0.837399,3.05321,0.0779268,
-0.00767958,-0.123384,-0.012674,-1.87776,-0.00804272,0.182521,0.0811036,0.0507491,-0.0162805,0.0625122,-0.0156225,0.638075,-0.70533,0.00489664,10.0976,-2.78884,9.87394,-6.56598,38.2171,-68.1849,-0.272319,18.4568,2.58702,21.9508,-8.62455,11.0963,-14.2635,0.215219,-0.0104669,-0.121836,-0.0161879,-1.8775,-0.0291826,0.215138,0.0807016,0.0181959,0.0372661,0.0168338,-0.00801165,0.271653,-0.172671,-0.000453214,2.98983,10.3088,2.28745,0.207741,29.795,-19.8913,-0.0551571,3.63361,-29.2815,3.33742,19.7028,2.32238,0.00267619,0.131027,
-0.00864906,-0.121369,-0.0144615,-1.87833,-0.0210577,0.204754,0.0809128,0.0678139,-0.00731647,0.0762725,-0.0257051,0.627034,-0.718549,0.00518026,10.6655,5.60251,8.60017,-6.30161,-6.90076,-8.26182,0.177267,34.705,10.318,35.1955,-18.5611,11.0963,-14.2635,0.176908,-0.0104669,-0.121836,-0.0161879,-1.8775,-0.0291826,0.215138,0.0807016,0.0181959,0.0372661,0.0168338,-0.00801165,0.271653,-0.172671,-0.000453214,0,0,0,0,0,0,0,3.63361,-29.2815,3.33742,19.7028,2.32238,0.00267619,0.131027,
-0.00728784,-0.121089,-0.0131507,-1.87898,-0.0154302,0.197168,0.0810708,0.0882815,0.00113669,0.0937891,-0.0368107,0.642315,-0.764512,0.00809356,12.7922,5.28322,10.9479,-6.941,9.55097,-28.7273,1.82081,31.5375,9.54299,31.7988,-17.9233,11.0963,-14.2635,0.0400128,-0.0104669,-0.121836,-0.0161879,-1.8775,-0.0291826,0.215138,0.0807016,0.0181959,0.0372661,0.0168338,-0.00801165,0.271653,-0.172671,-0.000453214,0,0,0,0,0,0,0,3.63361,-29.2815,3.33742,19.7028,2.32238,0.00267619,0.131027,
-0.00584559,-0.12088,-0.0116451,-1.87991,-0.00893362,0.188708,0.0810673,0.106682,0.00614876,0.112672,-0.0525527,0.676266,-0.82311,0.00638711,11.5,3.13255,11.802,-9.83879,21.2192,-36.6234,-1.06653,30.3217,9.43447,30.2119,-16.5838,11.0963,-14.2635,0.189223,-0.0104669,-0.121836,-0.0161879,-1.8775,-0.0291826,0.215138,0.0807016,0.0181959,0.0372661,0.0168338,-0.00801165,0.271653,-0.172671,-0.000453214,0,0,0,0,0,0,0,3.63361,-29.2815,3.33742,19.7028,2.32238,0.00267619,0.131027,
-0.00431185,-0.120659,-0.0100459,-1.88095,-0.00179806,0.179534,0.0810496,0.123689,0.010428,0.130116,-0.0680618,0.719402,-0.887819,0.0046663,10.6295,2.67454,10.9025,-9.69315,26.9598,-40.4432,-1.07551,26.1656,6.19542,27.2356,-18.3648,10.9712,-14.1257,-0.0130419,-0.0086276,-0.1233,-0.0142026,-1.87969,-0.00261547,0.192943,0.0806671,0.114087,-0.0589801,0.139445,-0.100609,0.901719,-0.947723,0.00197008,11.9864,-12.0308,15.3265,-11.5746,78.7582,-96.8816,0.302912,20.447,-27.8334,20.611,16.1679,4.9234,-2.2779,-0.00996382,
-0.0052885,-0.12384,-0.0106996,-1.88228,0.0112382,0.175829,0.0808533,0.144501,0.00377723,0.152052,-0.0888733,0.750395,-0.93229,0.00678948,13.0079,-4.15674,13.7101,-13.0072,19.3708,-27.7942,1.32699,38.1401,7.65036,40.2405,-27.158,10.9712,-14.1257,0.0276448,-0.0086276,-0.1233,-0.0142026,-1.87969,-0.00261547,0.192943,0.0806671,0.114087,-0.0589801,0.139445,-0.100609,0.901719,-0.947723,0.00197008,0,0,0,0,0,0,0,20.447,-27.8334,20.611,16.1679,4.9234,-2.2779,-0.00996382,
