Commanded Joint 0 Position,Commanded Joint 1 Position,Commanded Joint 2 Position,Commanded Joint 3 Position,Commanded Joint 4 Position,Commanded Joint 5 Position,Commanded Joint 6 Position,Commanded Joint 0 Velocity,Commanded Joint 1 Velocity,Commanded Joint 2 Velocity,Commanded Joint 3 Velocity,Commanded Joint 4 Velocity,Commanded Joint 5 Velocity,Commanded Joint 6 Velocity,Commanded Joint 0 Acceleration,Commanded Joint 1 Acceleration,Commanded Joint 2 Acceleration,Commanded Joint 3 Acceleration,Commanded Joint 4 Acceleration,Commanded Joint 5 Acceleration,Commanded Joint 6 Acceleration,Commanded Joint 0 Torque,Commanded Joint 1 Torque,Commanded Joint 2 Torque,Commanded Joint 3 Torque,Commanded Joint 4 Torque,Commanded Joint 5 Torque,Commanded Joint 6 Torque,Actual Joint 0 Position,Actual Joint 1 Position,Actual Joint 2 Position,Actual Joint 3 Position,Actual Joint 4 Position,Actual Joint 5 Position,Actual Joint 6 Position,Actual Joint 0 Velocity,Actual Joint 1 Velocity,Actual Joint 2 Velocity,Actual Joint 3 Velocity,Actual Joint 4 Velocity,Actual Joint 5 Velocity,Actual Joint 6 Velocity,Actual Joint 0 Acceleration,Actual Joint 1 Acceleration,Actual Joint 2 Acceleration,Actual Joint 3 Acceleration,Actual Joint 4 Acceleration,Actual Joint 5 Acceleration,Actual Joint 6 Acceleration,Actual Joint 0 Torque,Actual Joint 1 Torque,Actual Joint 2 Torque,Actual Joint 3 Torque,Actual Joint 4 Torque,Actual Joint 5 Torque,Actual Joint 6 Torque,
0.0958664,-0.0170521,-0.0901187,-1.80948,0.0212749,0.284423,-0.00775096,0.000104582,0.021743,1.91465e-05,-0.0331736,-0.00476183,0.0527848,-0.000375361,0.0653637,13.5894,0.0119666,-20.7335,-2.97614,32.9905,-0.234601,0.0573915,24.0873,0.0244362,-24.5159,-0.708787,1.78969,-0.023794,0.0958591,-0.0183073,-0.0901286,-1.80627,0.0215834,0.278772,-0.00770163,-0.00132533,-0.000674687,-0.00213206,0.000957544,0.00501631,-0.000603565,-0.000271775,0,0,0,0,0,0,0,0.209842,-34.8436,0.286573,27.2287,0.526119,3.19237,-0.0163725,
0.095838,-0.01832,-0.0901497,-1.80626,0.02161,0.278782,-0.00770059,-3.90342e-05,0.0173141,-0.000106738,-0.0264775,-0.00377539,0.0423373,-0.000295065,-0.08976,-2.76804,-0.0786778,4.18505,0.61652,-6.52969,0.0501849,0.051646,24.5278,0.0140909,-24.4323,-0.708829,1.53904,-0.0222765,0.0958591,-0.0183073,-0.0901286,-1.80627,0.0215834,0.278772,-0.00770163,-0.00132533,-0.000674687,-0.00213206,0.000957544,0.00501631,-0.000603565,-0.000271775,0,0,0,0,0,0,0,0.209842,-34.8436,0.286573,27.2287,0.526119,3.19237,-0.0163725,
0.0958344,-0.0183223,-0.0901533,-1.80626,0.0216088,0.278786,-0.00770047,-0.000123312,0.0137917,-0.000176609,-0.0211315,-0.00305046,0.0339863,-0.000232925,-0.0526739,-2.20153,-0.0436697,3.3413,0.453087,-5.21933,0.0388379,0.0444341,25.1011,0.00247003,-24.3238,-0.707967,1.19233,-0.0203097,0.0958624,-0.0182398,-0.0901227,-1.80634,0.0215775,0.278766,-0.00770235,-0.000759498,0.000735673,-0.00112155,0.00246958,0.00354129,-0.000638161,-0.000370826,0.0707288,0.176295,0.126313,0.189004,-0.184378,-0.00432443,-0.0123814,0.158268,-34.7722,0.211195,27.3001,0.550839,3.24547,-0.00996382,
0.0958315,-0.0183241,-0.0901561,-1.80626,0.0216066,0.278791,-0.00770039,-0.000169148,0.0109903,-0.000210787,-0.0168632,-0.00249577,0.0273049,-0.000184443,-0.0286475,-1.75086,-0.0213607,2.66769,0.346675,-4.17589,0.0303013,0.0384846,25.625,-0.006964,-24.1559,-0.705667,0.80742,-0.0183072,0.0958624,-0.0182398,-0.0901227,-1.80634,0.0215775,0.278766,-0.00770235,-0.000759498,0.000735673,-0.00112155,0.00246958,0.00354129,-0.000638161,-0.000370826,0,0,0,0,0,0,0,0.158268,-34.7722,0.211195,27.3001,0.550839,3.24547,-0.00996382,
0.0958294,-0.0183253,-0.0901583,-1.80626,0.0216041,0.278795,-0.00770034,-0.000190105,0.00876236,-0.000222334,-0.0134555,-0.00205794,0.021955,-0.000146392,-0.013098,-1.39248,-0.00721744,2.12979,0.273648,-3.3437,0.0237816,0.0362112,25.9478,-0.0111984,-23.8915,-0.700621,0.434843,-0.0165841,0.0958624,-0.0182398,-0.0901227,-1.80634,0.0215775,0.278766,-0.00770235,-0.000759498,0.000735673,-0.00112155,0.00246958,0.00354129,-0.000638161,-0.000370826,0,0,0,0,0,0,0,0.158268,-34.7722,0.211195,27.3001,0.550839,3.24547,-0.00996382,
0.0957394,-0.0182254,-0.0902435,-1.8062,0.0240552,0.277284,-0.00772844,-0.00184017,0.00704454,-0.0018455,-0.0091806,0.0360591,-0.00519972,-0.000359474,-1.03129,-1.07363,-1.01448,2.67181,23.8232,-16.9717,-0.133176,0.495349,0.206279,0.496474,-0.300411,3.07147,-2.14016,-0.00218396,0.0958624,-0.0182398,-0.0901227,-1.80634,0.0215775,0.278766,-0.00770235,-0.000759498,0.000735673,-0.00112155,0.00246958,0.00354129,-0.000638161,-0.000370826,0,0,0,0,0,0,0,0.158268,-34.7722,0.211195,27.3001,0.550839,3.24547,-0.00996382,
0.0956762,-0.0182333,-0.0903062,-1.80615,0.0258725,0.276153,-0.00773389,-0.0030506,0.00543967,-0.00304445,-0.00615294,0.0742792,-0.0324384,-0.000423863,-0.756513,-1.00305,-0.749344,1.89229,23.8875,-17.0242,-0.0402427,0.490628,0.223247,0.492764,-0.289656,3.04587,-2.11668,-0.00214898,0.0958506,-0.0175994,-0.090137,-1.80673,0.0215878,0.279019,-0.00770541,-0.00398625,0.0759236,-0.00228107,-0.019692,0.00672326,0.0380973,-0.000637468,-0.403344,9.39849,-0.14494,-2.7702,0.397747,4.84193,-0.0333302,0.285221,-25.338,0.361952,18.0603,0.447384,1.50139,0.017502,
0.0956243,-0.0182457,-0.0903579,-1.80612,0.0278675,0.274875,-0.00773704,-0.00373924,0.00404065,-0.00372937,-0.00409192,0.109298,-0.0579059,-0.000417996,-0.430405,-0.874382,-0.428075,1.28813,21.8869,-15.9172,0.00366652,0.484473,0.220108,0.486551,-0.28684,3.01982,-2.09885,-0.00210868,0.0958506,-0.0175994,-0.090137,-1.80673,0.0215878,0.279019,-0.00770541,-0.00398625,0.0759236,-0.00228107,-0.019692,0.00672326,0.0380973,-0.000637468,0,0,0,0,0,0,0,0.285221,-25.338,0.361952,18.0603,0.447384,1.50139,0.017502,
0.0955855,-0.0182592,-0.0903966,-1.8061,0.0299641,0.273499,-0.00773901,-0.00396044,0.00289425,-0.00395029,-0.00273938,0.139854,-0.0807233,-0.000383475,-0.138248,-0.716504,-0.138075,0.845339,19.0974,-14.2609,0.0215761,0.478296,0.21681,0.48033,-0.284126,2.99396,-2.08094,-0.00208221,0.0958506,-0.0175994,-0.090137,-1.80673,0.0215878,0.279019,-0.00770541,-0.00398625,0.0759236,-0.00228107,-0.019692,0.00672326,0.0380973,-0.000637468,0,0,0,0,0,0,0,0.285221,-25.338,0.361952,18.0603,0.447384,1.50139,0.017502,
0.0955381,-0.0167531,-0.0904383,-1.80637,0.0300563,0.271431,-0.00779147,-0.00726637,0.0108812,-0.00713839,0.00214684,0.241687,-0.182389,-0.00110448,-2.06621,4.99184,-1.99256,3.05389,63.6458,-63.5408,-0.450627,4.11084,1.75108,4.13682,-1.91269,10.9161,-11.0401,-0.00524006,0.0958506,-0.0175994,-0.090137,-1.80673,0.0215878,0.279019,-0.00770541,-0.00398625,0.0759236,-0.00228107,-0.019692,0.00672326,0.0380973,-0.000637468,0,0,0,0,0,0,0,0.285221,-25.338,0.361952,18.0603,0.447384,1.50139,0.017502,
0.0954056,-0.0165261,-0.090567,-1.80627,0.0363885,0.265568,-0.00780864,-0.00912441,0.0143794,-0.00893028,0.0044267,0.351657,-0.292481,-0.00131272,-1.16128,2.1864,-1.11993,1.42491,68.7307,-68.808,-0.13015,3.98638,1.75247,4.01498,-1.8798,10.916,-10.8597,-0.00479355,0.0958761,-0.0171147,-0.0901081,-1.8075,0.0215889,0.279301,-0.00770235,-0.00252192,0.0181618,-0.00204376,-0.0242348,0.0161171,-0.0194685,0.00129454,0.183042,-7.22023,0.0296642,-0.567846,1.17423,-7.19572,0.241501,-0.0956386,-36.8153,-0.0625476,27.0779,0.575558,3.16582,-0.00996382,
