Commanded Joint 0 Position,Commanded Joint 1 Position,Commanded Joint 2 Position,Commanded Joint 3 Position,Commanded Joint 4 Position,Commanded Joint 5 Position,Commanded Joint 6 Position,Commanded Joint 0 Velocity,Commanded Joint 1 Velocity,Commanded Joint 2 Velocity,Commanded Joint 3 Velocity,Commanded Joint 4 Velocity,Commanded Joint 5 Velocity,Commanded Joint 6 Velocity,Commanded Joint 0 Acceleration,Commanded Joint 1 Acceleration,Commanded Joint 2 Acceleration,Commanded Joint 3 Acceleration,Commanded Joint 4 Acceleration,Commanded Joint 5 Acceleration,Commanded Joint 6 Acceleration,Commanded Joint 0 Torque,Commanded Joint 1 Torque,Commanded Joint 2 Torque,Commanded Joint 3 Torque,Commanded Joint 4 Torque,Commanded Joint 5 Torque,Commanded Joint 6 Torque,Actual Joint 0 Position,Actual Joint 1 Position,Actual Joint 2 Position,Actual Joint 3 Position,Actual Joint 4 Position,Actual Joint 5 Position,Actual Joint 6 Position,Actual Joint 0 Velocity,Actual Joint 1 Velocity,Actual Joint 2 Velocity,Actual Joint 3 Velocity,Actual Joint 4 Velocity,Actual Joint 5 Velocity,Actual Joint 6 Velocity,Actual Joint 0 Acceleration,Actual Joint 1 Acceleration,Actual Joint 2 Acceleration,Actual Joint 3 Acceleration,Actual Joint 4 Acceleration,Actual Joint 5 Acceleration,Actual Joint 6 Acceleration,Actual Joint 0 Torque,Actual Joint 1 Torque,Actual Joint 2 Torque,Actual Joint 3 Torque,Actual Joint 4 Torque,Actual Joint 5 Torque,Actual Joint 6 Torque,
-0.0358517,-0.0223686,0.0455836,-1.85607,0.00827412,0.314039,0.00958985,0.000735224,0.022176,0.000771831,-0.0334076,-0.00541562,0.0547043,-0.000376455,0,0,0,0,0,0,0,0.0564291,23.8369,0.11216,-24.4887,-0.641407,1.86065,-0.0241456,-0.0359273,-0.0235507,0.0455057,-1.85297,0.00865852,0.308168,0.0096215,-0.00127039,0.00764283,-0.000424861,6.76201e-05,-0.00114258,-0.000319806,-0.000894015,0,0,0,0,0,0,0,0.134464,-34.6452,0.0644055,27.3001,0.550839,3.09899,0.124619,
-0.0359412,-0.0234566,0.0454917,-1.85301,0.00863202,0.308156,0.00962112,0.000495483,0.0183193,0.000522801,-0.0270056,-0.00454766,0.0435547,-0.000301156,0,0,0,0,0,0,0,0.0506728,24.2775,0.101809,-24.405,-0.641468,1.60977,-0.0226297,-0.0359273,-0.0235507,0.0455057,-1.85297,0.00865852,0.308168,0.0096215,-0.00127039,0.00764283,-0.000424861,6.76201e-05,-0.00114258,-0.000319806,-0.000894015,0,0,0,0,0,0,0,0.134464,-34.6452,0.0644055,27.3001,0.550839,3.09899,0.124619,
-0.0359443,-0.0234384,0.0454886,-1.85302,0.0086243,0.308146,0.00962112,0.00032075,0.0151093,0.000340313,-0.021836,-0.00383118,0.0345955,-0.000240946,0,0,0,0,0,0,0,0.0434611,24.8491,0.0900719,-24.297,-0.640705,1.26223,-0.020661,-0.0359273,-0.0235507,0.0455057,-1.85297,0.00865852,0.308168,0.0096215,-0.00127039,0.00764283,-0.000424861,6.76201e-05,-0.00114258,-0.000319806,-0.000894015,0,0,0,0,0,0,0,0.134464,-34.6452,0.0644055,27.3001,0.550839,3.09899,0.124619,
-0.0359468,-0.023424,0.045486,-1.85302,0.00861763,0.308136,0.00962111,0.000194592,0.0124489,0.000207709,-0.0176582,-0.00323177,0.0274274,-0.00019285,0,0,0,0,0,0,0,0.0375216,25.373,0.0806514,-24.1292,-0.63844,0.877087,-0.0186601,-0.0359273,-0.0235507,0.0455057,-1.85297,0.00865852,0.308168,0.0096215,-0.00127039,0.00764283,-0.000424861,6.76201e-05,-0.00114258,-0.000319806,-0.000894015,0,0,0,0,0,0,0,0.134464,-34.6452,0.0644055,27.3001,0.550839,3.09899,0.124619,
-0.0360406,-0.0228854,0.0453991,-1.85314,0.0112145,0.30689,0.00959386,-0.00146944,0.0119584,-0.0014387,-0.0140441,0.0363686,0.000675911,-0.000417558,0,0,0,0,0,0,0,0.483808,0.182769,0.478881,-0.267333,3.16557,-1.85321,-0.00185284,-0.035924,-0.0230778,0.0455128,-1.85313,0.00866259,0.308279,0.00962222,-0.000480659,0.017319,0.000242517,-0.00952443,0.000622653,-3.35802e-05,-9.41569e-06,0.0987166,1.20953,0.0834223,-1.19901,0.220654,0.0357783,0.110575,0.182071,-32.9988,0.0644055,25.8084,0.514218,2.68792,0.11821,
-0.0361021,-0.0228296,0.0453378,-1.85314,0.0130943,0.305845,0.00958805,-0.00271122,0.0109602,-0.00268407,-0.0112003,0.0760912,-0.0255862,-0.000479104,0,0,0,0,0,0,0,0.478807,0.182298,0.473909,-0.264458,3.13839,-1.83701,-0.00182349,-0.035924,-0.0230778,0.0455128,-1.85313,0.00866259,0.308279,0.00962222,-0.000480659,0.017319,0.000242517,-0.00952443,0.000622653,-3.35802e-05,-9.41569e-06,0,0,0,0,0,0,0,0.182071,-32.9988,0.0644055,25.8084,0.514218,2.68792,0.11821,
-0.0361527,-0.02279,0.0452869,-1.85314,0.0151574,0.304676,0.00958483,-0.00343493,0.00975824,-0.00341977,-0.00902969,0.11245,-0.0496811,-0.000463976,0,0,0,0,0,0,0,0.473837,0.181563,0.468953,-0.261636,3.11106,-1.8208,-0.00179314,-0.035924,-0.0230778,0.0455128,-1.85313,0.00866259,0.308279,0.00962222,-0.000480659,0.017319,0.000242517,-0.00952443,0.000622653,-3.35802e-05,-9.41569e-06,0,0,0,0,0,0,0,0.182071,-32.9988,0.0644055,25.8084,0.514218,2.68792,0.11821,
-0.0361903,-0.0227607,0.0452488,-1.85315,0.017324,0.30343,0.00958295,-0.00368886,0.00854037,-0.00368767,-0.00739544,0.144125,-0.0708957,-0.000418169,0,0,0,0,0,0,0,0.468882,0.180592,0.46402,-0.258878,3.08362,-1.8046,-0.00176343,-0.035924,-0.0230778,0.0455128,-1.85313,0.00866259,0.308279,0.00962222,-0.000480659,0.017319,0.000242517,-0.00952443,0.000622653,-3.35802e-05,-9.41569e-06,0,0,0,0,0,0,0,0.182071,-32.9988,0.0644055,25.8084,0.514218,2.68792,0.11821,
-0.0361997,-0.0228861,0.0452491,-1.85265,0.0173347,0.301129,0.00952938,-0.00662523,0.00830311,-0.00652105,8.77384e-05,0.248345,-0.165904,-0.00119703,0,0,0,0,0,0,0,4.08517,1.19507,4.09323,-1.78408,10.9838,-10.0751,-0.0061251,-0.0359229,-0.0228474,0.0455067,-1.85358,0.00867702,0.30826,0.0096195,-0.00148198,0.00787708,0.0011831,-0.0113484,0.00719941,0.000831342,-0.000762013,-0.125165,-1.18025,0.117573,-0.227995,0.822094,0.108115,-0.0940747,0.106693,-34.6214,0.0644055,27.4747,0.465695,3.17864,0.138352,
-0.0363169,-0.0228764,0.0451338,-1.85247,0.0238217,0.295776,0.00951056,-0.00823241,0.0068865,-0.00809778,0.00445468,0.360852,-0.266553,-0.00142811,0,0,0,0,0,0,0,3.98845,1.22422,3.99861,-1.73388,10.9838,-9.89391,-0.00554099,-0.0359229,-0.0228474,0.0455067,-1.85358,0.00867702,0.30826,0.0096195,-0.00148198,0.00787708,0.0011831,-0.0113484,0.00719941,0.000831342,-0.000762013,0,0,0,0,0,0,0,0.106693,-34.6214,0.0644055,27.4747,0.465695,3.17864,0.138352,
