Commanded Joint 0 Position,Commanded Joint 1 Position,Commanded Joint 2 Position,Commanded Joint 3 Position,Commanded Joint 4 Position,Commanded Joint 5 Position,Commanded Joint 6 Position,Commanded Joint 0 Velocity,Commanded Joint 1 Velocity,Commanded Joint 2 Velocity,Commanded Joint 3 Velocity,Commanded Joint 4 Velocity,Commanded Joint 5 Velocity,Commanded Joint 6 Velocity,Commanded Joint 0 Acceleration,Commanded Joint 1 Acceleration,Commanded Joint 2 Acceleration,Commanded Joint 3 Acceleration,Commanded Joint 4 Acceleration,Commanded Joint 5 Acceleration,Commanded Joint 6 Acceleration,Commanded Joint 0 Torque,Commanded Joint 1 Torque,Commanded Joint 2 Torque,Commanded Joint 3 Torque,Commanded Joint 4 Torque,Commanded Joint 5 Torque,Commanded Joint 6 Torque,Actual Joint 0 Position,Actual Joint 1 Position,Actual Joint 2 Position,Actual Joint 3 Position,Actual Joint 4 Position,Actual Joint 5 Position,Actual Joint 6 Position,Actual Joint 0 Velocity,Actual Joint 1 Velocity,Actual Joint 2 Velocity,Actual Joint 3 Velocity,Actual Joint 4 Velocity,Actual Joint 5 Velocity,Actual Joint 6 Velocity,Actual Joint 0 Acceleration,Actual Joint 1 Acceleration,Actual Joint 2 Acceleration,Actual Joint 3 Acceleration,Actual Joint 4 Acceleration,Actual Joint 5 Acceleration,Actual Joint 6 Acceleration,Actual Joint 0 Torque,Actual Joint 1 Torque,Actual Joint 2 Torque,Actual Joint 3 Torque,Actual Joint 4 Torque,Actual Joint 5 Torque,Actual Joint 6 Torque,
0.0196744,0.0852547,-0.0457598,-1.61931,0.0457708,0.151067,-0.0728275,0.00056513,0.0237722,0.000556636,-0.0313146,-0.0052042,0.0523541,-0.000399638,0.353207,14.8577,0.347898,-19.5716,-3.25263,32.7213,-0.249773,0.0594651,27.0629,0.0734379,-24.1323,-0.800214,1.98899,-0.0248001,0.0196019,0.0842762,-0.0458355,-1.61655,0.0461897,0.145534,-0.0727715,0.00284963,0.000243099,0.000704158,-0.00407492,0.00153211,-0.000993797,0.000469664,0,0,0,0,0,0,0,0.106693,-38.315,0.112013,27.0264,0.758663,3.09258,-0.0227812,
0.0196302,0.0843039,-0.0458089,-1.61657,0.0462252,0.145482,-0.0727719,0.000635426,0.0192345,0.000619417,-0.0251808,-0.00388007,0.0415472,-0.000323903,0.0439349,-2.83609,0.0392377,3.83358,0.827578,-6.75433,0.047334,0.0537333,27.5033,0.0631445,-24.0488,-0.800274,1.73843,-0.0232812,0.0196019,0.0842762,-0.0458355,-1.61655,0.0461897,0.145534,-0.0727715,0.00284963,0.000243099,0.000704158,-0.00407492,0.00153211,-0.000993797,0.000469664,0,0,0,0,0,0,0,0.106693,-38.315,0.112013,27.0264,0.758663,3.09258,-0.0227812,
0.0196361,0.0843115,-0.0458033,-1.61658,0.0462352,0.145472,-0.0727721,0.000655399,0.0155785,0.000635558,-0.0202472,-0.00285272,0.0329971,-0.000262507,0.0124827,-2.28497,0.0100884,3.08355,0.642098,-5.34377,0.0383726,0.0465124,28.0747,0.0514337,-23.9408,-0.799481,1.3912,-0.021312,0.0196019,0.0842762,-0.0458355,-1.61655,0.0461897,0.145534,-0.0727715,0.00284963,0.000243099,0.000704158,-0.00407492,0.00153211,-0.000993797,0.000469664,0,0,0,0,0,0,0,0.106693,-38.315,0.112013,27.0264,0.758663,3.09258,-0.0227812,
0.0196409,0.0843182,-0.0457988,-1.61658,0.0462439,0.145466,-0.0727722,0.000642974,0.0126308,0.000621643,-0.0162802,-0.00206617,0.0262332,-0.000212788,-0.00776558,-1.84236,-0.00869704,2.47935,0.491592,-4.22746,0.0310746,0.0405669,28.5985,0.0420196,-23.7731,-0.797184,1.00635,-0.0193085,0.0196019,0.0842762,-0.0458355,-1.61655,0.0461897,0.145534,-0.0727715,0.00284963,0.000243099,0.000704158,-0.00407492,0.00153211,-0.000993797,0.000469664,0,0,0,0,0,0,0,0.106693,-38.315,0.112013,27.0264,0.758663,3.09258,-0.0227812,
0.0196065,0.085621,-0.0458237,-1.61769,0.0460071,0.145052,-0.0727677,0.000911736,0.0294267,0.000943451,-0.0306063,-0.00545391,0.0224112,-7.56548e-05,0.167976,10.4974,0.20113,-8.95379,-2.11734,-2.38871,0.085708,-1.23509e-05,33.2428,0.0161575,-23.0318,-1.18827,-2.19092,0.000525069,0.0195906,0.0848481,-0.0458415,-1.61699,0.0461591,0.144995,-0.0727715,0.000166924,0.0456879,0.000800365,-0.0437468,0.00669224,0.00352778,-0.000256386,-0.335339,5.68061,0.0120259,-4.95899,0.645017,0.565197,-0.0907562,0.412174,-29.456,0.361952,17.8104,0.727535,1.41533,-0.0163725,
0.0195804,0.0863237,-0.0458612,-1.61804,0.0466151,0.144128,-0.0727789,7.58958e-05,0.041109,-0.000182581,-0.0331263,0.0108381,-0.00517595,-0.000339525,-0.5224,7.30145,-0.70377,-1.57501,10.1825,-17.242,-0.164919,0.518966,0.273011,0.512981,-0.31757,2.62818,-2.39242,-0.00229997,0.0195906,0.0848481,-0.0458415,-1.61699,0.0461591,0.144995,-0.0727715,0.000166924,0.0456879,0.000800365,-0.0437468,0.00669224,0.00352778,-0.000256386,0,0,0,0,0,0,0,0.412174,-29.456,0.361952,17.8104,0.727535,1.41533,-0.0163725,
0.0195335,0.0868898,-0.0459125,-1.61829,0.0476948,0.142748,-0.0727865,-0.00111156,0.0470402,-0.00142977,-0.0327833,0.0356623,-0.0386444,-0.000463234,-0.742158,3.707,-0.77949,0.214377,15.5152,-20.9178,-0.077318,0.512877,0.27026,0.507116,-0.314243,2.60507,-2.37322,-0.00222424,0.0195906,0.0848481,-0.0458415,-1.61699,0.0461591,0.144995,-0.0727715,0.000166924,0.0456879,0.000800365,-0.0437468,0.00669224,0.00352778,-0.000256386,0,0,0,0,0,0,0,0.412174,-29.456,0.361952,17.8104,0.727535,1.41533,-0.0163725,
0.0194836,0.0873383,-0.0459631,-1.6185,0.0490639,0.141118,-0.0727913,-0.00213715,0.0488446,-0.00240923,-0.0314283,0.0627578,-0.0716805,-0.000490167,-0.640995,1.12774,-0.612165,0.846839,16.9347,-20.6476,-0.0168334,0.5066,0.267016,0.501054,-0.311187,2.5824,-2.354,-0.00216985,0.0195906,0.0848481,-0.0458415,-1.61699,0.0461591,0.144995,-0.0727715,0.000166924,0.0456879,0.000800365,-0.0437468,0.00669224,0.00352778,-0.000256386,0,0,0,0,0,0,0,0.412174,-29.456,0.361952,17.8104,0.727535,1.41533,-0.0163725,
0.0196092,0.0852839,-0.045812,-1.6189,0.0462035,0.140691,-0.0727534,-0.00150764,0.0592458,-0.00161887,-0.047038,0.0481906,-0.093686,-0.000201709,0.393442,6.50075,0.493974,-9.75603,-9.10454,-13.7534,0.180286,-0.00178783,33.2613,0.0142441,-23.043,-1.19041,-2.17432,0.000532648,0.0196011,0.0844771,-0.0458244,-1.61802,0.0462841,0.142145,-0.072761,-0.00259179,0.0468514,-0.000486224,-0.0647428,0.0227415,-0.269963,0.00267252,-0.34484,0.145429,-0.160824,-2.6245,2.00616,-34.1864,0.366114,0.435978,-27.5835,0.361952,12.3077,0.288082,0.0493681,-0.110672,
0.019519,0.0860601,-0.0459436,-1.61924,0.048904,0.136969,-0.0727837,-0.00346065,0.0668016,-0.00458566,-0.0461952,0.106065,-0.168011,-0.000917875,-1.22063,4.72235,-1.85424,0.52673,36.1715,-46.4532,-0.447603,4.38612,0.437092,4.23835,-1.95622,9.98686,-8.98402,-0.00363614,0.0196011,0.0844771,-0.0458244,-1.61802,0.0462841,0.142145,-0.072761,-0.00259179,0.0468514,-0.000486224,-0.0647428,0.0227415,-0.269963,0.00267252,0,0,0,0,0,0,0,0.435978,-27.5835,0.361952,12.3077,0.288082,0.0493681,-0.110672,
