Commanded Joint 0 Position,Commanded Joint 1 Position,Commanded Joint 2 Position,Commanded Joint 3 Position,Commanded Joint 4 Position,Commanded Joint 5 Position,Commanded Joint 6 Position,Commanded Joint 0 Velocity,Commanded Joint 1 Velocity,Commanded Joint 2 Velocity,Commanded Joint 3 Velocity,Commanded Joint 4 Velocity,Commanded Joint 5 Velocity,Commanded Joint 6 Velocity,Commanded Joint 0 Acceleration,Commanded Joint 1 Acceleration,Commanded Joint 2 Acceleration,Commanded Joint 3 Acceleration,Commanded Joint 4 Acceleration,Commanded Joint 5 Acceleration,Commanded Joint 6 Acceleration,Commanded Joint 0 Torque,Commanded Joint 1 Torque,Commanded Joint 2 Torque,Commanded Joint 3 Torque,Commanded Joint 4 Torque,Commanded Joint 5 Torque,Commanded Joint 6 Torque,Actual Joint 0 Position,Actual Joint 1 Position,Actual Joint 2 Position,Actual Joint 3 Position,Actual Joint 4 Position,Actual Joint 5 Position,Actual Joint 6 Position,Actual Joint 0 Velocity,Actual Joint 1 Velocity,Actual Joint 2 Velocity,Actual Joint 3 Velocity,Actual Joint 4 Velocity,Actual Joint 5 Velocity,Actual Joint 6 Velocity,Actual Joint 0 Acceleration,Actual Joint 1 Acceleration,Actual Joint 2 Acceleration,Actual Joint 3 Acceleration,Actual Joint 4 Acceleration,Actual Joint 5 Acceleration,Actual Joint 6 Acceleration,Actual Joint 0 Torque,Actual Joint 1 Torque,Actual Joint 2 Torque,Actual Joint 3 Torque,Actual Joint 4 Torque,Actual Joint 5 Torque,Actual Joint 6 Torque,
0.0864597,0.00461621,-0.0949456,-1.85237,-0.0227398,0.295637,-0.0114262,-2.71345e-05,0.0231165,-5.53431e-05,-0.0330482,-0.00287847,0.0570792,-0.000395352,-0.0169591,14.4478,-0.0345894,-20.6551,-1.79904,35.6745,-0.247095,0.0581404,24.5487,0.0632882,-24.2924,-0.476292,2.07567,-0.0252585,0.0864611,0.00344441,-0.0949311,-1.84925,-0.0225203,0.289571,-0.0113761,-0.00707442,-0.000339482,-0.000832949,0.00120917,0.00388376,0.000377677,0.000355022,0,0,0,0,0,0,0,0.106693,-35.645,-0.0863513,27.0264,0.379635,3.07976,-0.0365141,
0.0864066,0.00343498,-0.0949842,-1.84924,-0.0225359,0.289592,-0.0113741,-0.000355447,0.0184307,-0.000372709,-0.0263711,-0.00261455,0.0458417,-0.000306514,-0.205195,-2.92867,-0.198354,4.1732,0.164948,-7.02346,0.0555237,0.0523776,24.9893,0.0529383,-24.2088,-0.476913,1.82451,-0.0237399,0.0864611,0.00344441,-0.0949311,-1.84925,-0.0225203,0.289571,-0.0113761,-0.00707442,-0.000339482,-0.000832949,0.00120917,0.00388376,0.000377677,0.000355022,0,0,0,0,0,0,0,0.106693,-35.645,-0.0863513,27.0264,0.379635,3.07976,-0.0365141,
0.0863963,0.00343317,-0.0949944,-1.84924,-0.0225493,0.289599,-0.0113738,-0.000543155,0.0146991,-0.0005525,-0.0210416,-0.00242815,0.0368396,-0.000238927,-0.117318,-2.33221,-0.112369,3.33089,0.116502,-5.62631,0.0422421,0.0451422,25.5624,0.0413078,-24.1002,-0.476597,1.47726,-0.021775,0.0864639,0.00351085,-0.09493,-1.84931,-0.0225197,0.289567,-0.0113739,-0.00158009,0.000148157,-0.000756323,0.000263162,0.00851482,0.000220716,0.00174546,0.686792,0.0609548,0.00957826,-0.118251,0.578882,-0.0196201,0.173805,0.0551182,-35.5934,-0.110155,27.1017,0.373226,3.11272,-0.0566557,
0.0863882,0.00343194,-0.0950023,-1.84924,-0.022562,0.289605,-0.0113736,-0.000637491,0.0117285,-0.000641055,-0.0167874,-0.00225973,0.0296255,-0.00018699,-0.05896,-1.85661,-0.0553471,2.6589,0.105258,-4.50877,0.0324605,0.0391687,26.0864,0.0318562,-23.9325,-0.474823,1.09186,-0.0197741,0.0864639,0.00351085,-0.09493,-1.84931,-0.0225197,0.289567,-0.0113739,-0.00158009,0.000148157,-0.000756323,0.000263162,0.00851482,0.000220716,0.00174546,0,0,0,0,0,0,0,0.0551182,-35.5934,-0.110155,27.1017,0.373226,3.11272,-0.0566557,
0.0864625,0.00395673,-0.0949325,-1.84985,-0.0226159,0.289895,-0.0113683,-0.000545194,0.0205297,-0.000573775,-0.0269581,-0.00421334,0.0318859,-9.26449e-06,0.0576856,5.50075,0.0420499,-6.35669,-1.22101,1.4127,0.111078,4.59991e-06,30.7124,0.00694507,-23.1997,-0.901098,-2.16326,0.000101443,0.0864639,0.00351085,-0.09493,-1.84931,-0.0225197,0.289567,-0.0113739,-0.00158009,0.000148157,-0.000756323,0.000263162,0.00851482,0.000220716,0.00174546,0,0,0,0,0,0,0,0.0551182,-35.5934,-0.110155,27.1017,0.373226,3.11272,-0.0566557,
0.0864211,0.00437607,-0.0949749,-1.85008,-0.0218285,0.289389,-0.0113834,-0.0014723,0.0269075,-0.00151948,-0.0273427,0.0163131,0.0128565,-0.00038652,-0.579438,3.98606,-0.591066,-0.240404,12.8291,-11.8933,-0.235785,0.526256,0.151785,0.528534,-0.244233,2.86656,-1.62101,-0.00160399,0.0864639,0.00351085,-0.09493,-1.84931,-0.0225197,0.289567,-0.0113739,-0.00158009,0.000148157,-0.000756323,0.000263162,0.00851482,0.000220716,0.00174546,0,0,0,0,0,0,0,0.0551182,-35.5934,-0.110155,27.1017,0.373226,3.11272,-0.0566557,
0.0863683,0.00470814,-0.0950274,-1.85023,-0.0205165,0.288511,-0.011393,-0.00249637,0.0298276,-0.00252909,-0.025603,0.0458514,-0.0116646,-0.00054971,-0.640044,1.82507,-0.631007,1.08732,18.4614,-15.3257,-0.101994,0.519369,0.150068,0.521646,-0.24193,2.84084,-1.6075,-0.0015541,0.0864492,0.0039907,-0.0949464,-1.8496,-0.0224984,0.289543,-0.0113784,-0.0046709,0.0539903,-0.00149171,-0.0274968,0.0106421,0.00205465,0.000319545,-0.386351,6.73027,-0.091923,-3.46999,0.265907,0.229242,-0.17824,0.233646,-26.9328,0.0882092,18.0841,0.17181,1.79345,-0.0163725,
0.0863189,0.00496293,-0.0950762,-1.85035,-0.0188947,0.287436,-0.0113986,-0.00323309,0.0302319,-0.00324179,-0.0234285,0.0772253,-0.0361884,-0.000578864,-0.460453,0.252705,-0.445435,1.35909,19.6087,-15.3273,-0.018221,0.513082,0.162878,0.516308,-0.233589,2.81623,-1.58889,-0.0015562,0.0864492,0.0039907,-0.0949464,-1.8496,-0.0224984,0.289543,-0.0113784,-0.0046709,0.0539903,-0.00149171,-0.0274968,0.0106421,0.00205465,0.000319545,0,0,0,0,0,0,0,0.233646,-26.9328,0.0882092,18.0841,0.17181,1.79345,-0.0163725,
0.0864387,0.00476828,-0.094957,-1.85031,-0.022616,0.28977,-0.0113731,-0.00284709,0.0436251,-0.00285833,-0.0365927,0.0588405,-0.0232739,-0.000332807,0.241248,8.37075,0.239663,-8.22766,-11.4905,8.07154,0.153786,0.00076173,30.7271,0.0086503,-23.1936,-0.900593,-2.15822,7.45421e-05,0.0864492,0.0039907,-0.0949464,-1.8496,-0.0224984,0.289543,-0.0113784,-0.0046709,0.0539903,-0.00149171,-0.0274968,0.0106421,0.00205465,0.000319545,0,0,0,0,0,0,0,0.233646,-26.9328,0.0882092,18.0841,0.17181,1.79345,-0.0163725,
0.0863127,0.00544385,-0.095087,-1.85059,-0.0193821,0.287959,-0.0114253,-0.00542874,0.0517893,-0.00553494,-0.0362356,0.127918,-0.0638989,-0.00157022,-1.61353,5.10263,-1.67288,0.223192,43.1734,-25.3906,-0.773381,4.01219,0.0129572,4.01342,-1.53197,11.0994,-6.02141,-0.00315582,0.0864492,0.0039907,-0.0949464,-1.8496,-0.0224984,0.289543,-0.0113784,-0.0046709,0.0539903,-0.00149171,-0.0274968,0.0106421,0.00205465,0.000319545,0,0,0,0,0,0,0,0.233646,-26.9328,0.0882092,18.0841,0.17181,1.79345,-0.0163725,
0.0861696,0.00594872,-0.0952303,-1.85078,-0.0141587,0.285095,-0.0114552,-0.00792047,0.054053,-0.00801288,-0.0337633,0.23292,-0.122718,-0.00200443,-1.55733,1.41484,-1.54871,1.54518,65.6261,-36.7621,-0.271382,3.95065,0.0929433,3.95069,-1.46705,11.0994,-5.82929,-0.00257072,0.0864492,0.0039907,-0.0949464,-1.8496,-0.0224984,0.289543,-0.0113784,-0.0046709,0.0539903,-0.00149171,-0.0274968,0.0106421,0.00205465,0.000319545,0,0,0,0,0,0,0,0.233646,-26.9328,0.0882092,18.0841,0.17181,1.79345,-0.0163725,
0.0860567,0.00631714,-0.095342,-1.85096,-0.00773941,0.281637,-0.0114703,-0.00915965,0.052453,-0.00920036,-0.0314057,0.346819,-0.184623,-0.00197952,-0.774487,-1.00002,-0.742179,1.47354,71.1868,-38.6902,0.0155692,3.88181,0.180591,3.88302,-1.3973,11.1008,-5.62143,-0.00205758,0.086459,0.00505599,-0.0949366,-1.85074,-0.022499,0.289661,-0.0113789,-0.00205364,0.0788226,0.000250976,-0.0531362,0.013823,0.00691239,-0.000876182,0.327157,3.10404,0.217835,-3.20492,0.397617,0.607218,-0.149466,-0.0440639,-27.1828,-0.237108,16.9891,0.21484,1.43548,0.017502,
0.0864636,0.00600933,-0.0949321,-1.85157,-0.0226095,0.289809,-0.0113743,-0.00721162,0.0657959,-0.00724612,-0.0458833,0.274694,-0.143986,-0.00146931,1.21752,8.33929,1.2214,-9.04849,-45.0781,25.398,0.31888,0.00138839,30.7571,0.0113806,-23.1807,-0.899227,-2.14657,1.10988e-05,0.086459,0.00505599,-0.0949366,-1.85074,-0.022499,0.289661,-0.0113789,-0.00205364,0.0788226,0.000250976,-0.0531362,0.013823,0.00691239,-0.000876182,0,0,0,0,0,0,0,-0.0440639,-27.1828,-0.237108,16.9891,0.21484,1.43548,0.017502,
0.0868705,0.00672283,-0.094512,-1.85195,-0.0203772,0.285859,-0.0113105,0.00440287,0.0704741,0.00470583,-0.0460752,0.275562,-0.213931,0.000419164,7.25906,2.92392,7.46997,-0.119957,0.542811,-43.7158,1.18029,30.3895,1.31857,30.3853,-9.44207,11.1008,-14.1466,0.086694,0.086459,0.00505599,-0.0949366,-1.85074,-0.022499,0.289661,-0.0113789,-0.00205364,0.0788226,0.000250976,-0.0531362,0.013823,0.00691239,-0.000876182,0,0,0,0,0,0,0,-0.0440639,-27.1828,-0.237108,16.9891,0.21484,1.43548,0.017502,
0.0876039,0.007244,-0.0937697,-1.8522,-0.0164387,0.27944,-0.0112358,0.0218581,0.0694086,0.0223219,-0.0431394,0.318911,-0.33162,0.00220457,10.9095,-0.665944,11.01,1.83489,27.0932,-73.5558,1.11588,28.8722,2.76872,28.8406,-7.59664,11.1008,-14.1466,0.0926942,0.086459,0.00505599,-0.0949366,-1.85074,-0.022499,0.289661,-0.0113789,-0.00205364,0.0788226,0.000250976,-0.0531362,0.013823,0.00691239,-0.000876182,0,0,0,0,0,0,0,-0.0440639,-27.1828,-0.237108,16.9891,0.21484,1.43548,0.017502,
0.0865044,0.00889328,-0.0948624,-1.85371,-0.0222494,0.288601,-0.0113674,0.0184067,0.0881414,0.0187923,-0.0599369,0.254553,-0.266877,0.00188814,-2.15714,11.708,-2.20598,-10.4985,-40.2239,40.4644,-0.197772,0.00319447,30.8289,0.0181781,-23.1461,-0.896611,-2.11528,-0.000156069,0.0864676,0.0075887,-0.0948998,-1.85269,-0.0222264,0.288664,-0.0113724,0.00257271,0.13598,0.00442627,-0.0809408,0.0332878,-0.0141225,0.001882,0.578295,7.14469,0.521912,-3.47558,2.4331,-2.62936,0.344773,-0.0718349,-27.0598,-0.260912,19.8535,0.581051,1.28899,-0.0301054,
0.0871062,0.00964005,-0.0942482,-1.85466,-0.0202617,0.284733,-0.01119,0.0297698,0.0891823,0.0303896,-0.0717158,0.253335,-0.310203,0.0059469,7.10193,0.65062,7.24831,-7.36181,-0.761135,-27.0783,2.53673,38.8079,-2.84823,38.6801,-16.5312,11.1034,-14.1153,0.21615,0.0864676,0.0075887,-0.0948998,-1.85269,-0.0222264,0.288664,-0.0113724,0.00257271,0.13598,0.00442627,-0.0809408,0.0332878,-0.0141225,0.001882,0,0,0,0,0,0,0,-0.0718349,-27.0598,-0.260912,19.8535,0.581051,1.28899,-0.0301054,
0.0881049,0.0100888,-0.0932475,-1.85555,-0.0166098,0.278377,-0.0110892,0.0487847,0.0825654,0.0493305,-0.0794771,0.293967,-0.407053,0.00727671,11.8843,-4.13559,11.8381,-4.85082,25.3949,-60.5317,0.831131,34.9709,-0.747189,34.7975,-14.6799,11.1034,-14.1153,0.114526,0.0864676,0.0075887,-0.0948998,-1.85269,-0.0222264,0.288664,-0.0113724,0.00257271,0.13598,0.00442627,-0.0809408,0.0332878,-0.0141225,0.001882,0,0,0,0,0,0,0,-0.0718349,-27.0598,-0.260912,19.8535,0.581051,1.28899,-0.0301054,
0.0893763,0.010385,-0.091979,-1.85637,-0.0116436,0.270399,-0.0110398,0.0708132,0.0734578,0.0711757,-0.0842374,0.359329,-0.525097,0.00705711,13.7678,-5.69226,13.6532,-2.9752,40.851,-73.7771,-0.137249,32.0091,0.406981,31.8355,-13.0112,11.1034,-14.1153,0.0543583,0.0864676,0.0075887,-0.0948998,-1.85269,-0.0222264,0.288664,-0.0113724,0.00257271,0.13598,0.00442627,-0.0809408,0.0332878,-0.0141225,0.001882,0,0,0,0,0,0,0,-0.0718349,-27.0598,-0.260912,19.8535,0.581051,1.28899,-0.0301054,
0.0890281,0.0115806,-0.0918122,-1.85899,-0.00827441,0.273643,-0.0109293,0.0939659,0.0624878,0.0942423,-0.1058,0.393811,-0.583512,0.00840624,14.4704,-6.85622,14.4167,-13.4768,21.5513,-36.5095,0.843204,49.7626,-8.18437,49.4502,-25.7845,11.083,-14.058,0.38203,0.0865078,0.0109832,-0.0943446,-1.8559,-0.0156385,0.284421,-0.0113734,0.0167066,0.16816,0.0453031,-0.121784,0.288209,-0.164375,0.00152644,1.76673,4.02244,5.10961,-5.1054,31.8652,-18.7815,-0.0444454,5.71247,-31.6777,5.46388,26.6772,1.54602,2.03148,-0.0163725,
0.0907958,0.0116501,-0.0900497,-1.86042,-0.00291951,0.265553,-0.0109457,0.119366,0.0517289,0.119456,-0.120323,0.448921,-0.669055,0.00631376,15.8749,-6.72436,15.7585,-9.07686,34.444,-53.4645,-1.3078,42.4417,-3.78134,42.188,-23.0848,11.083,-14.058,0.104433,0.0865078,0.0109832,-0.0943446,-1.8559,-0.0156385,0.284421,-0.0113734,0.0167066,0.16816,0.0453031,-0.121784,0.288209,-0.164375,0.00152644,0,0,0,0,0,0,0,5.71247,-31.6777,5.46388,26.6772,1.54602,2.03148,-0.0163725,
0.0927296,0.0116987,-0.0881237,-1.86177,0.00335468,0.256474,-0.0110025,0.143837,0.042597,0.143714,-0.130163,0.515992,-0.762217,0.00363305,15.2947,-5.70742,15.1615,-6.14948,41.919,-58.2263,-1.67545,37.6303,-0.871184,37.4263,-20.7379,11.083,-14.058,-0.0363091,0.0865078,0.0109832,-0.0943446,-1.8559,-0.0156385,0.284421,-0.0113734,0.0167066,0.16816,0.0453031,-0.121784,0.288209,-0.164375,0.00152644,0,0,0,0,0,0,0,5.71247,-31.6777,5.46388,26.6772,1.54602,2.03148,-0.0163725,
0.0947578,0.0117099,-0.0861049,-1.86313,0.0103553,0.246793,-0.0110217,0.165773,0.0343578,0.165441,-0.138136,0.587808,-0.851793,0.00242483,13.7102,-5.14946,13.5793,-4.98337,44.8855,-55.9846,-0.755137,34.3844,0.0918982,34.2074,-19.1363,11.083,-14.058,-0.0765354,0.0865078,0.0109832,-0.0943446,-1.8559,-0.0156385,0.284421,-0.0113734,0.0167066,0.16816,0.0453031,-0.121784,0.288209,-0.164375,0.00152644,0,0,0,0,0,0,0,5.71247,-31.6777,5.46388,26.6772,1.54602,2.03148,-0.0163725,
0.0875355,0.0114317,-0.0933043,-1.85745,-0.0125283,0.28018,-0.0110397,0.15831,0.0387,0.158361,-0.149273,0.548001,-0.787452,0.0102821,-4.66442,2.71387,-4.42501,-6.96058,-24.8795,40.2127,4.9108,49.793,-8.04937,49.4854,-25.6737,11.0834,-13.9268,0.381516,0.0881907,0.0142756,-0.0909946,-1.86207,-0.00627607,0.274423,-0.0113775,0.0851922,0.180201,0.166125,-0.20053,0.274203,-0.257206,0.00140521,8.56071,1.5052,15.1028,-9.84329,-1.75079,-11.6039,-0.0151543,16.9954,-32.2252,16.6358,29.8193,2.83508,1.79986,-0.00996382,
0.0890281,0.0115806,-0.0918122,-1.85899,-0.00827441,0.273643,-0.0109293,0.163964,0.0346816,0.163991,-0.157829,0.544749,-0.793396,0.0109862,3.53326,-2.5115,3.51848,-5.34741,-2.03276,-3.71509,0.44008,42.4721,-3.64633,42.2232,-22.974,11.0834,-13.9268,0.103918,0.0881907,0.0142756,-0.0909946,-1.86207,-0.00627607,0.274423,-0.0113775,0.0851922,0.180201,0.166125,-0.20053,0.274203,-0.257206,0.00140521,0,0,0,0,0,0,0,16.9954,-32.2252,16.6358,29.8193,2.83508,1.79986,-0.00996382,
0.0907958,0.0116501,-0.0900497,-1.86042,-0.00291951,0.265553,-0.0109457,0.175364,0.0294839,0.175254,-0.161946,0.569672,-0.836963,0.00837776,7.12518,-3.24859,7.03991,-2.57332,15.5768,-27.2289,-1.6303,37.6606,-0.736182,37.4615,-20.627,11.0834,-13.9268,-0.0368237,0.0881907,0.0142756,-0.0909946,-1.86207,-0.00627607,0.274423,-0.0113775,0.0851922,0.180201,0.166125,-0.20053,0.274203,-0.257206,0.00140521,0,0,0,0,0,0,0,16.9954,-32.2252,16.6358,29.8193,2.83508,1.79986,-0.00996382,
0.0928912,0.0162972,-0.0862929,-1.86637,0.0087141,0.253486,-0.0114863,0.184047,0.0341784,0.183837,-0.164731,0.608078,-0.882171,0.00617304,5.42707,2.93409,5.36421,-1.74086,24.0039,-28.2552,-1.37795,37.6606,-0.736182,37.4615,-20.627,11.0834,-13.9268,-0.0368237,0.0881907,0.0142756,-0.0909946,-1.86207,-0.00627607,0.274423,-0.0113775,0.0851922,0.180201,0.166125,-0.20053,0.274203,-0.257206,0.00140521,0,0,0,0,0,0,0,16.9954,-32.2252,16.6358,29.8193,2.83508,1.79986,-0.00996382,
