Commanded Joint 0 Position,Commanded Joint 1 Position,Commanded Joint 2 Position,Commanded Joint 3 Position,Commanded Joint 4 Position,Commanded Joint 5 Position,Commanded Joint 6 Position,Commanded Joint 0 Velocity,Commanded Joint 1 Velocity,Commanded Joint 2 Velocity,Commanded Joint 3 Velocity,Commanded Joint 4 Velocity,Commanded Joint 5 Velocity,Commanded Joint 6 Velocity,Commanded Joint 0 Acceleration,Commanded Joint 1 Acceleration,Commanded Joint 2 Acceleration,Commanded Joint 3 Acceleration,Commanded Joint 4 Acceleration,Commanded Joint 5 Acceleration,Commanded Joint 6 Acceleration,Commanded Joint 0 Torque,Commanded Joint 1 Torque,Commanded Joint 2 Torque,Commanded Joint 3 Torque,Commanded Joint 4 Torque,Commanded Joint 5 Torque,Commanded Joint 6 Torque,Actual Joint 0 Position,Actual Joint 1 Position,Actual Joint 2 Position,Actual Joint 3 Position,Actual Joint 4 Position,Actual Joint 5 Position,Actual Joint 6 Position,Actual Joint 0 Velocity,Actual Joint 1 Velocity,Actual Joint 2 Velocity,Actual Joint 3 Velocity,Actual Joint 4 Velocity,Actual Joint 5 Velocity,Actual Joint 6 Velocity,Actual Joint 0 Acceleration,Actual Joint 1 Acceleration,Actual Joint 2 Acceleration,Actual Joint 3 Acceleration,Actual Joint 4 Acceleration,Actual Joint 5 Acceleration,Actual Joint 6 Acceleration,Actual Joint 0 Torque,Actual Joint 1 Torque,Actual Joint 2 Torque,Actual Joint 3 Torque,Actual Joint 4 Torque,Actual Joint 5 Torque,Actual Joint 6 Torque,
0.00843835,-0.067355,-0.0330485,-1.84657,0.00640574,0.224998,-0.0414494,0.000512058,0.0201589,0.000465701,-0.0339178,-0.00441125,0.0540954,-0.000397028,0,0,0,0,0,0,0,0.0562488,22.2581,0.0563058,-24.286,-0.622954,2.03678,-0.0249706,0.00838443,-0.0684281,-0.0330784,-1.8434,0.00671237,0.219184,-0.0413986,-0.00370776,-0.000272407,0.00138409,0.0021763,0.00160038,-0.00185065,9.20708e-05,0,0,0,0,0,0,0,-0.0718349,-33.4987,-0.288683,27.2009,0.635983,3.23174,-0.00996382,
0.00836996,-0.0684404,-0.033093,-1.84339,0.00671463,0.219194,-0.041398,0.000324831,0.016046,0.000284452,-0.0270655,-0.00357449,0.0434125,-0.000314885,0,0,0,0,0,0,0,0.0505601,22.6987,0.0460046,-24.2024,-0.623347,1.78563,-0.0234526,0.00838443,-0.0684281,-0.0330784,-1.8434,0.00671237,0.219184,-0.0413986,-0.00370776,-0.000272407,0.00138409,0.0021763,0.00160038,-0.00185065,9.20708e-05,0,0,0,0,0,0,0,-0.0718349,-33.4987,-0.288683,27.2009,0.635983,3.23174,-0.00996382,
0.00836739,-0.0684427,-0.0330956,-1.84339,0.00671215,0.2192,-0.041398,0.00019561,0.0127777,0.000160964,-0.0215977,-0.00292159,0.0348726,-0.00025022,0,0,0,0,0,0,0,0.043384,23.2704,0.0342945,-24.0944,-0.622893,1.43781,-0.0214838,0.00838443,-0.0684281,-0.0330784,-1.8434,0.00671237,0.219184,-0.0413986,-0.00370776,-0.000272407,0.00138409,0.0021763,0.00160038,-0.00185065,9.20708e-05,0,0,0,0,0,0,0,-0.0718349,-33.4987,-0.288683,27.2009,0.635983,3.23174,-0.00996382,
0.00836542,-0.0684444,-0.0330977,-1.84339,0.00670962,0.219205,-0.0413979,0.000107138,0.0101805,7.76987e-05,-0.0172333,-0.0024006,0.0280382,-0.00019916,0,0,0,0,0,0,0,0.0374942,23.8001,0.0249105,-23.9257,-0.620853,1.0536,-0.0194894,0.00838248,-0.0682324,-0.033079,-1.84347,0.00671577,0.219181,-0.0414003,-0.00129573,0.0121497,0.000879315,-6.59551e-05,0.00264357,-0.000783444,-0.00081502,0.301503,1.55277,-0.0630973,-0.280281,0.1304,0.133401,-0.113386,-0.0440639,-31.9237,-0.237108,25.8084,0.60577,3.17223,0.00376909,
0.00839397,-0.0677818,-0.0330698,-1.84407,0.00656617,0.219449,-0.0413964,0.000373052,0.0194091,0.00029047,-0.0287793,-0.00566025,0.0291286,-6.30823e-05,0,0,0,0,0,0,0,2.307e-05,28.4201,0.00270777,-23.1922,-1.03715,-2.19699,0.000389832,0.00838248,-0.0682324,-0.033079,-1.84347,0.00671577,0.219181,-0.0414003,-0.00129573,0.0121497,0.000879315,-6.59551e-05,0.00264357,-0.000783444,-0.00081502,0,0,0,0,0,0,0,-0.0440639,-31.9237,-0.237108,25.8084,0.60577,3.17223,0.00376909,
0.00834349,-0.0673442,-0.0331115,-1.84433,0.00741941,0.218847,-0.0414115,-0.00096346,0.026466,-0.000808608,-0.029503,0.0168027,0.00824762,-0.000426885,0,0,0,0,0,0,0,0.482429,0.204834,0.47947,-0.272001,3.30313,-1.80062,-0.0016979,0.00838248,-0.0682324,-0.033079,-1.84347,0.00671577,0.219181,-0.0414003,-0.00129573,0.0121497,0.000879315,-6.59551e-05,0.00264357,-0.000783444,-0.00081502,0,0,0,0,0,0,0,-0.0440639,-31.9237,-0.237108,25.8084,0.60577,3.17223,0.00376909,
0.00827648,-0.066992,-0.0331743,-1.84449,0.00888068,0.217858,-0.041421,-0.00244612,0.0299781,-0.00221775,-0.0277752,0.0499739,-0.0181231,-0.000580535,0,0,0,0,0,0,0,0.476922,0.201867,0.473875,-0.269164,3.27461,-1.78618,-0.00164536,0.00838248,-0.0682324,-0.033079,-1.84347,0.00671577,0.219181,-0.0414003,-0.00129573,0.0121497,0.000879315,-6.59551e-05,0.00264357,-0.000783444,-0.00081502,0,0,0,0,0,0,0,-0.0440639,-31.9237,-0.237108,25.8084,0.60577,3.17223,0.00376909,
0.0082114,-0.0667182,-0.033238,-1.84462,0.0107066,0.216665,-0.0414265,-0.00358395,0.0308286,-0.00336681,-0.0254898,0.085628,-0.0443186,-0.000600969,0,0,0,0,0,0,0,0.471213,0.212078,0.46806,-0.263828,3.24674,-1.76745,-0.00164016,0.00838853,-0.0677464,-0.0330743,-1.84393,0.0067117,0.219215,-0.0413988,-0.000130171,0.0104152,-0.000198005,-0.0169992,0.00987749,0.00324794,0.000601853,0.145695,-0.21681,-0.134665,-2.11666,0.904239,0.503923,0.177109,-0.0956386,-31.3008,-0.213304,24.8087,0.642391,2.9406,0.00376909,
0.0084025,-0.067276,-0.0330633,-1.84458,0.00658938,0.219432,-0.0413939,-0.00251796,0.036423,-0.00241912,-0.0365339,0.0654445,-0.0300182,-0.000357293,0,0,0,0,0,0,0,1.20726e-05,28.4338,0.00268847,-23.1894,-1.03686,-2.19276,0.000364792,0.00838853,-0.0677464,-0.0330743,-1.84393,0.0067117,0.219215,-0.0413988,-0.000130171,0.0104152,-0.000198005,-0.0169992,0.00987749,0.00324794,0.000601853,0,0,0,0,0,0,0,-0.0956386,-31.3008,-0.213304,24.8087,0.642391,2.9406,0.00376909,
0.00827503,-0.0668024,-0.0331618,-1.84474,0.00965466,0.217363,-0.0414368,-0.005201,0.0409774,-0.00439659,-0.0333016,0.128988,-0.0757561,-0.00135921,0,0,0,0,0,0,0,4.13749,0.564629,4.20737,-1.76298,10.9631,-7.16944,-0.00408633,0.00838853,-0.0677464,-0.0330743,-1.84393,0.0067117,0.219215,-0.0413988,-0.000130171,0.0104152,-0.000198005,-0.0169992,0.00987749,0.00324794,0.000601853,0,0,0,0,0,0,0,-0.0956386,-31.3008,-0.213304,24.8087,0.642391,2.9406,0.00376909,
