Commanded Joint 0 Position,Commanded Joint 1 Position,Commanded Joint 2 Position,Commanded Joint 3 Position,Commanded Joint 4 Position,Commanded Joint 5 Position,Commanded Joint 6 Position,Commanded Joint 0 Velocity,Commanded Joint 1 Velocity,Commanded Joint 2 Velocity,Commanded Joint 3 Velocity,Commanded Joint 4 Velocity,Commanded Joint 5 Velocity,Commanded Joint 6 Velocity,Commanded Joint 0 Acceleration,Commanded Joint 1 Acceleration,Commanded Joint 2 Acceleration,Commanded Joint 3 Acceleration,Commanded Joint 4 Acceleration,Commanded Joint 5 Acceleration,Commanded Joint 6 Acceleration,Commanded Joint 0 Torque,Commanded Joint 1 Torque,Commanded Joint 2 Torque,Commanded Joint 3 Torque,Commanded Joint 4 Torque,Commanded Joint 5 Torque,Commanded Joint 6 Torque,Actual Joint 0 Position,Actual Joint 1 Position,Actual Joint 2 Position,Actual Joint 3 Position,Actual Joint 4 Position,Actual Joint 5 Position,Actual Joint 6 Position,Actual Joint 0 Velocity,Actual Joint 1 Velocity,Actual Joint 2 Velocity,Actual Joint 3 Velocity,Actual Joint 4 Velocity,Actual Joint 5 Velocity,Actual Joint 6 Velocity,Actual Joint 0 Acceleration,Actual Joint 1 Acceleration,Actual Joint 2 Acceleration,Actual Joint 3 Acceleration,Actual Joint 4 Acceleration,Actual Joint 5 Acceleration,Actual Joint 6 Acceleration,Actual Joint 0 Torque,Actual Joint 1 Torque,Actual Joint 2 Torque,Actual Joint 3 Torque,Actual Joint 4 Torque,Actual Joint 5 Torque,Actual Joint 6 Torque,
0.0883679,-0.0845373,-0.0782367,-1.87166,0.0188253,0.28958,0.0497395,0.000226766,0.0198224,9.92298e-06,-0.0342315,-0.00550364,0.0519276,-0.000377435,0.141729,12.389,0.00620186,-21.3947,-3.43977,32.4548,-0.235897,0.0555866,21.9446,-0.0578461,-24.5481,-0.719453,1.76343,-0.0235997,0.0883452,-0.0850752,-0.0782408,-1.86893,0.0192317,0.28396,0.0497968,0.000520858,0.00266122,0.000108053,-0.00449633,-0.00534543,0.00232196,-6.98022e-05,0,0,0,0,0,0,0,0.106693,-32.6735,0.286573,27.4271,0.782467,3.27202,-0.0429228,
0.0883459,-0.0850176,-0.0782395,-1.86897,0.019175,0.283936,0.0497962,0.000175331,0.0162549,5.66172e-06,-0.027599,-0.00469198,0.0412984,-0.000305591,-0.0321464,-2.22971,-0.00266329,4.14531,0.507289,-6.64329,0.0449028,0.0498879,22.3852,-0.0681734,-24.4644,-0.719453,1.51265,-0.0220824,0.0883452,-0.0850752,-0.0782408,-1.86893,0.0192317,0.28396,0.0497968,0.000520858,0.00266122,0.000108053,-0.00449633,-0.00534543,0.00232196,-6.98022e-05,0,0,0,0,0,0,0,0.106693,-32.6735,0.286573,27.4271,0.782467,3.27202,-0.0429228,
0.0883456,-0.0850045,-0.0782397,-1.86898,0.0191672,0.283927,0.0497961,0.000130776,0.0133308,-1.9308e-06,-0.0222487,-0.00394805,0.0328273,-0.000246948,-0.0278474,-1.82756,-0.00474533,3.34394,0.464951,-5.29439,0.0366515,0.042712,22.9569,-0.0798931,-24.3564,-0.718639,1.16521,-0.0201116,0.0883452,-0.0850752,-0.0782408,-1.86893,0.0192317,0.28396,0.0497968,0.000520858,0.00266122,0.000108053,-0.00449633,-0.00534543,0.00232196,-6.98022e-05,0,0,0,0,0,0,0,0.106693,-32.6735,0.286573,27.4271,0.782467,3.27202,-0.0429228,
0.0883451,-0.0849936,-0.07824,-1.86898,0.0191619,0.28392,0.049796,9.4366e-05,0.0109361,-9.15805e-06,-0.0179346,-0.00329262,0.0260935,-0.000199351,-0.0227559,-1.49671,-0.00451703,2.69636,0.409643,-4.20864,0.0297483,0.0367922,23.4809,-0.0893062,-24.1885,-0.716302,0.780158,-0.0181093,0.0883452,-0.0850752,-0.0782408,-1.86893,0.0192317,0.28396,0.0497968,0.000520858,0.00266122,0.000108053,-0.00449633,-0.00534543,0.00232196,-6.98022e-05,0,0,0,0,0,0,0,0.106693,-32.6735,0.286573,27.4271,0.782467,3.27202,-0.0429228,
0.0880998,-0.0843326,-0.0784908,-1.86929,0.0271355,0.277151,0.049762,-0.000750573,0.0100762,-0.000859801,-0.015091,0.0474844,-0.0146037,-0.000209296,-0.528087,-0.53744,-0.531652,1.7772,31.7356,-25.4357,-0.00621567,0.457169,0.218212,0.4548,-0.281585,2.96371,-1.97121,-0.00214369,0.0883458,-0.0848054,-0.0782585,-1.86913,0.0192038,0.283316,0.0497984,6.38766e-05,0.02382,0.00105598,-0.0082882,-0.00726723,-0.0722878,0.000942904,-0.0571227,2.64484,0.118491,-0.473984,-0.240225,-9.32622,0.126588,0.360599,-26.2108,0.512709,19.1315,0.532528,1.77331,-0.0566557,
0.0880788,-0.0842893,-0.0785129,-1.86932,0.0291975,0.275706,0.0497606,-0.00112435,0.00914218,-0.00124187,-0.012803,0.0895385,-0.0478095,-0.000202595,-0.233608,-0.583731,-0.238792,1.43005,26.2838,-20.7537,0.00418837,0.45242,0.216106,0.450003,-0.278722,2.93728,-1.95384,-0.00210521,0.0883458,-0.0848054,-0.0782585,-1.86913,0.0192038,0.283316,0.0497984,6.38766e-05,0.02382,0.00105598,-0.0082882,-0.00726723,-0.0722878,0.000942904,0,0,0,0,0,0,0,0.360599,-26.2108,0.512709,19.1315,0.532528,1.77331,-0.0566557,
0.0880686,-0.084253,-0.0785242,-1.86934,0.0312896,0.27425,0.0497595,-0.00115356,0.00822206,-0.00127615,-0.0109565,0.123931,-0.0746418,-0.000190408,-0.018259,-0.575078,-0.0214242,1.15403,21.4954,-16.7702,0.00761677,0.447671,0.213918,0.445207,-0.275898,2.91074,-1.93645,-0.00206624,0.0883458,-0.0848054,-0.0782585,-1.86913,0.0192038,0.283316,0.0497984,6.38766e-05,0.02382,0.00105598,-0.0082882,-0.00726723,-0.0722878,0.000942904,0,0,0,0,0,0,0,0.360599,-26.2108,0.512709,19.1315,0.532528,1.77331,-0.0566557,
0.0880677,-0.0842216,-0.0785261,-1.86937,0.0333943,0.272794,0.0497585,-0.000946325,0.00736334,-0.00106907,-0.00946134,0.151764,-0.0961217,-0.000177948,0.129522,-0.536701,0.129427,0.93448,17.3956,-13.425,0.00778743,0.44292,0.211688,0.440407,-0.273101,2.88412,-1.91903,-0.00202827,0.0883458,-0.0848054,-0.0782585,-1.86913,0.0192038,0.283316,0.0497984,6.38766e-05,0.02382,0.00105598,-0.0082882,-0.00726723,-0.0722878,0.000942904,0,0,0,0,0,0,0,0.360599,-26.2108,0.512709,19.1315,0.532528,1.77331,-0.0566557,
0.0878244,-0.0843186,-0.07871,-1.86848,0.0473916,0.25775,0.049688,-0.00106152,0.00676048,-0.00111833,-0.00704206,0.295145,-0.237191,-0.000175119,-0.0719961,-0.376786,-0.0307917,1.51205,89.6133,-88.1685,0.00176826,3.59389,1.64716,3.67092,-1.7931,10.8992,-9.93051,-0.00729568,0.0884393,-0.0849845,-0.0779995,-1.86982,0.0203483,0.282119,0.0497958,-9.73809e-05,0.0415462,0.0297445,-0.018754,0.151045,-0.141605,-0.000531741,-0.0201572,2.21578,3.58606,-1.30823,19.7891,-8.6647,-0.184331,4.16523,-28.0556,4.2856,16.4893,1.37573,1.11046,0.0101778,
0.0878624,-0.0842837,-0.0786703,-1.8685,0.0544542,0.251123,0.0496873,9.90456e-05,0.00628045,9.92578e-05,-0.00617699,0.41268,-0.355435,-0.00015685,0.725353,-0.300017,0.760994,0.540672,73.4594,-73.9023,0.0114183,3.51106,1.62704,3.5865,-1.75268,10.6282,-9.77628,-0.00667282,0.0884393,-0.0849845,-0.0779995,-1.86982,0.0203483,0.282119,0.0497958,-9.73809e-05,0.0415462,0.0297445,-0.018754,0.151045,-0.141605,-0.000531741,0,0,0,0,0,0,0,4.16523,-28.0556,4.2856,16.4893,1.37573,1.11046,0.0101778,
