Commanded Joint 0 Position,Commanded Joint 1 Position,Commanded Joint 2 Position,Commanded Joint 3 Position,Commanded Joint 4 Position,Commanded Joint 5 Position,Commanded Joint 6 Position,Commanded Joint 0 Velocity,Commanded Joint 1 Velocity,Commanded Joint 2 Velocity,Commanded Joint 3 Velocity,Commanded Joint 4 Velocity,Commanded Joint 5 Velocity,Commanded Joint 6 Velocity,Commanded Joint 0 Acceleration,Commanded Joint 1 Acceleration,Commanded Joint 2 Acceleration,Commanded Joint 3 Acceleration,Commanded Joint 4 Acceleration,Commanded Joint 5 Acceleration,Commanded Joint 6 Acceleration,Commanded Joint 0 Torque,Commanded Joint 1 Torque,Commanded Joint 2 Torque,Commanded Joint 3 Torque,Commanded Joint 4 Torque,Commanded Joint 5 Torque,Commanded Joint 6 Torque,Actual Joint 0 Position,Actual Joint 1 Position,Actual Joint 2 Position,Actual Joint 3 Position,Actual Joint 4 Position,Actual Joint 5 Position,Actual Joint 6 Position,Actual Joint 0 Velocity,Actual Joint 1 Velocity,Actual Joint 2 Velocity,Actual Joint 3 Velocity,Actual Joint 4 Velocity,Actual Joint 5 Velocity,Actual Joint 6 Velocity,Actual Joint 0 Acceleration,Actual Joint 1 Acceleration,Actual Joint 2 Acceleration,Actual Joint 3 Acceleration,Actual Joint 4 Acceleration,Actual Joint 5 Acceleration,Actual Joint 6 Acceleration,Actual Joint 0 Torque,Actual Joint 1 Torque,Actual Joint 2 Torque,Actual Joint 3 Torque,Actual Joint 4 Torque,Actual Joint 5 Torque,Actual Joint 6 Torque,
0.0469676,-0.0486373,-0.046379,-1.80257,-0.00672502,0.226544,-0.0186708,0.000131415,0.0204771,5.03691e-05,-0.033536,-0.00445305,0.0526365,-0.000373634,0.0821341,12.7982,0.0314807,-20.96,-2.78316,32.8978,-0.233522,0.0572005,22.9513,0.0337173,-24.3613,-0.581049,1.89799,-0.0243515,0.0469595,-0.0495057,-0.046384,-1.79961,-0.00640462,0.220884,-0.0186187,-0.000133197,-0.000497171,0.00099713,-0.00221582,-0.00581405,0.000408192,-0.000995714,0,0,0,0,0,0,0,0.0828892,-33.947,0.139784,27.5262,0.837399,3.0468,-0.0429228,
0.0469613,-0.0494978,-0.0463818,-1.79962,-0.00645886,0.22087,-0.0186196,0.000103094,0.0164598,4.00995e-05,-0.0268731,-0.0038109,0.0420316,-0.000301879,-0.0177003,-2.51082,-0.00641853,4.1643,0.401347,-6.62805,0.0448472,0.0514308,23.3919,0.023336,-24.2777,-0.581321,1.64708,-0.0228362,0.0469595,-0.0495057,-0.046384,-1.79961,-0.00640462,0.220884,-0.0186187,-0.000133197,-0.000497171,0.00099713,-0.00221582,-0.00581405,0.000408192,-0.000995714,0,0,0,0,0,0,0,0.0828892,-33.947,0.139784,27.5262,0.837399,3.0468,-0.0429228,
0.046961,-0.0494948,-0.0463821,-1.79962,-0.006465,0.220869,-0.0186197,7.50401e-05,0.013243,2.58699e-05,-0.0215311,-0.00320221,0.0335908,-0.000243348,-0.0175338,-2.01051,-0.00889351,3.33875,0.380426,-5.2755,0.036582,0.0441988,23.9635,0.0115747,-24.1697,-0.580786,1.29951,-0.0208679,0.0469595,-0.0495057,-0.046384,-1.79961,-0.00640462,0.220884,-0.0186187,-0.000133197,-0.000497171,0.00099713,-0.00221582,-0.00581405,0.000408192,-0.000995714,0,0,0,0,0,0,0,0.0828892,-33.947,0.139784,27.5262,0.837399,3.0468,-0.0429228,
0.0469606,-0.0494919,-0.0463824,-1.79963,-0.00646891,0.220869,-0.0186197,5.08305e-05,0.010665,1.23942e-05,-0.0172496,-0.0026595,0.0268717,-0.000195911,-0.015131,-1.61121,-0.00842232,2.67593,0.339194,-4.19943,0.0296478,0.0382182,24.4891,0.00212605,-24.0016,-0.578739,0.914867,-0.01887,0.0469633,-0.0494489,-0.0463863,-1.79968,-0.00640093,0.220882,-0.0186175,0.00104259,0.0045003,0.00268325,-0.00367856,-0.0157513,0.00415531,6.01641e-05,0.146973,0.624683,0.210766,-0.182843,-1.24215,0.468389,0.131985,0.0313145,-33.9232,0.187391,27.5024,0.831906,3.06603,-0.0630644,
0.0466936,-0.0493423,-0.046647,-1.7996,0.00203754,0.216965,-0.0186491,-0.000970828,0.00870787,-0.00101688,-0.0137015,0.0518814,-0.00426285,-0.000185584,-0.638536,-1.22322,-0.643295,2.21757,34.088,-19.4591,0.00645453,0.465015,0.159525,0.463608,-0.249807,3.21667,-1.58641,-0.00126448,0.0469633,-0.0494489,-0.0463863,-1.79968,-0.00640093,0.220882,-0.0186175,0.00104259,0.0045003,0.00268325,-0.00367856,-0.0157513,0.00415531,6.01641e-05,0,0,0,0,0,0,0,0.0313145,-33.9232,0.187391,27.5024,0.831906,3.06603,-0.0630644,
0.046666,-0.0493371,-0.0466753,-1.7996,0.00426477,0.215887,-0.0186497,-0.00146632,0.00709527,-0.00152143,-0.0109963,0.0971857,-0.0303487,-0.000163243,-0.309682,-1.00788,-0.315344,1.69075,28.3152,-16.3037,0.0139628,0.460107,0.15831,0.458678,-0.247211,3.18788,-1.57188,-0.00124118,0.0469633,-0.0494489,-0.0463863,-1.79968,-0.00640093,0.220882,-0.0186175,0.00104259,0.0045003,0.00268325,-0.00367856,-0.0157513,0.00415531,6.01641e-05,0,0,0,0,0,0,0,0.0313145,-33.9232,0.187391,27.5024,0.831906,3.06603,-0.0630644,
0.0466501,-0.0493325,-0.0466919,-1.7996,0.00652775,0.214781,-0.01865,-0.00156845,0.00579165,-0.00163028,-0.00893632,0.134323,-0.0519357,-0.000139098,-0.0638312,-0.814765,-0.0680301,1.28748,23.2109,-13.4919,0.0150909,0.455197,0.15705,0.453745,-0.244622,3.15901,-1.55738,-0.00121753,0.0469633,-0.0494489,-0.0463863,-1.79968,-0.00640093,0.220882,-0.0186175,0.00104259,0.0045003,0.00268325,-0.00367856,-0.0157513,0.00415531,6.01641e-05,0,0,0,0,0,0,0,0.0313145,-33.9232,0.187391,27.5024,0.831906,3.06603,-0.0630644,
0.0466446,-0.0493276,-0.0466981,-1.79961,0.0088068,0.213659,-0.0186502,-0.00139447,0.00475435,-0.00145953,-0.00736864,0.164435,-0.0696035,-0.000117603,0.108737,-0.648309,0.106716,0.979802,18.8198,-11.0423,0.0134342,0.450455,0.176781,0.449226,-0.237144,3.13054,-1.5371,-0.0012167,0.0469494,-0.0488553,-0.0463964,-1.80014,-0.00639563,0.22105,-0.0186164,-0.00189832,0.0574355,0.00215886,-0.0357847,-0.019324,0.0187649,-3.57542e-05,-0.367614,6.61691,-0.0655494,-4.01327,-0.446594,1.8262,-0.0119898,0.182071,-25.7863,0.238966,19.7305,0.758663,1.63415,-0.0630644,
0.0463659,-0.0476117,-0.0469362,-1.79998,0.0222976,0.19852,-0.0187099,-0.00201091,0.00697066,-0.0019764,-0.0069277,0.314038,-0.201331,-9.6402e-05,-0.385277,1.38519,-0.323042,0.275585,93.5022,-82.33,0.0132509,3.73434,1.55295,3.78854,-1.78767,11.0092,-9.01604,-0.00375945,0.0469494,-0.0488553,-0.0463964,-1.80014,-0.00639563,0.22105,-0.0186164,-0.00189832,0.0574355,0.00215886,-0.0357847,-0.019324,0.0187649,-3.57542e-05,0,0,0,0,0,0,0,0.182071,-25.7863,0.238966,19.7305,0.758663,1.63415,-0.0630644,
0.0463833,-0.047502,-0.0469161,-1.80005,0.0297692,0.192476,-0.0187105,-0.00117379,0.00831907,-0.0010786,-0.00731063,0.43802,-0.312169,-9.34462e-05,0.523201,0.84276,0.561124,-0.23933,77.4885,-69.2734,0.0018474,3.62802,1.5297,3.68071,-1.75632,11.0092,-8.88125,-0.00429175,0.0469494,-0.0488553,-0.0463964,-1.80014,-0.00639563,0.22105,-0.0186164,-0.00189832,0.0574355,0.00215886,-0.0357847,-0.019324,0.0187649,-3.57542e-05,0,0,0,0,0,0,0,0.182071,-25.7863,0.238966,19.7305,0.758663,1.63415,-0.0630644,
0.0464484,-0.0473991,-0.0468485,-1.80014,0.0372861,0.186318,-0.0187108,0.000689647,0.00922752,0.000827064,-0.00815883,0.538337,-0.403688,-8.07308e-05,1.16465,0.567777,1.19104,-0.530127,62.6983,-57.1996,0.00794713,3.53169,1.5067,3.58061,-1.72401,11.0092,-8.7532,-0.00448032,0.0469494,-0.0488553,-0.0463964,-1.80014,-0.00639563,0.22105,-0.0186164,-0.00189832,0.0574355,0.00215886,-0.0357847,-0.019324,0.0187649,-3.57542e-05,0,0,0,0,0,0,0,0.182071,-25.7863,0.238966,19.7305,0.758663,1.63415,-0.0630644,
0.0465545,-0.0472977,-0.0467398,-1.80025,0.0447663,0.180119,-0.018711,0.00320472,0.00991703,0.00337953,-0.00924385,0.617676,-0.477923,-6.95994e-05,1.57192,0.430945,1.59529,-0.678136,49.5868,-46.397,0.00695707,3.44858,1.48857,3.48899,-1.68777,10.8363,-8.62807,-0.00223616,0.0470004,-0.0485762,-0.0462876,-1.80116,-0.00616105,0.220972,-0.0186164,0.0023524,0.0106777,0.0109684,-0.0416453,0.0273605,-0.012237,0.00118365,0.53134,-5.84473,1.10119,-0.732571,5.83556,-3.87524,0.152426,1.1977,-35.4427,1.28633,27.7246,1.28967,3.19237,-0.0630644,
0.0498397,-0.0499267,-0.0433191,-1.80296,0.0200612,0.185539,-0.0181762,0.0217948,-0.00302177,0.022578,-0.0223231,0.672116,-0.616521,0.000403265,11.6188,-8.08675,11.999,-8.17454,34.0252,-86.6233,0.295541,21.9425,1.07218,22.5972,-8.45761,11.0086,-14.305,0.173613,0.0470004,-0.0485762,-0.0462876,-1.80116,-0.00616105,0.220972,-0.0186164,0.0023524,0.0106777,0.0109684,-0.0416453,0.0273605,-0.012237,0.00118365,0,0,0,0,0,0,0,1.1977,-35.4427,1.28633,27.7246,1.28967,3.19237,-0.0630644,
0.0506605,-0.0503493,-0.0424714,-1.80364,0.02762,0.175995,-0.0181627,0.037958,-0.0129837,0.0392547,-0.0349345,0.726664,-0.731817,0.000660041,10.102,-6.22621,10.4229,-7.88208,34.0923,-72.0601,0.160485,20.3736,-3.18781,20.7097,-10.4915,11.0086,-14.305,0.226691,0.0470004,-0.0485762,-0.0462876,-1.80116,-0.00616105,0.220972,-0.0186164,0.0023524,0.0106777,0.0109684,-0.0416453,0.0273605,-0.012237,0.00118365,0,0,0,0,0,0,0,1.1977,-35.4427,1.28633,27.7246,1.28967,3.19237,-0.0630644,
0.0515204,-0.0507381,-0.0415843,-1.8044,0.0354874,0.166612,-0.0181504,0.0518631,-0.0201081,0.0535801,-0.0468835,0.778016,-0.820028,0.000835162,8.69068,-4.45273,8.9534,-7.46814,32.095,-55.1319,0.109451,17.6268,-4.82577,17.9168,-11.543,11.0086,-14.305,0.109985,0.0470004,-0.0485762,-0.0462876,-1.80116,-0.00616105,0.220972,-0.0186164,0.0023524,0.0106777,0.0109684,-0.0416453,0.0273605,-0.012237,0.00118365,0,0,0,0,0,0,0,1.1977,-35.4427,1.28633,27.7246,1.28967,3.19237,-0.0630644,
0.0524084,-0.0510849,-0.040669,-1.80521,0.043571,0.157593,-0.0181384,0.0636901,-0.0247561,0.0657467,-0.0578352,0.824503,-0.881485,0.000967113,7.39187,-2.90501,7.60409,-6.8448,29.0545,-38.411,0.0824693,15.8457,-4.27427,16.1822,-11.3118,10.9741,-14.276,0.0447809,0.04734,-0.0480198,-0.045496,-1.8023,0.000119838,0.216107,-0.0186121,0.0274196,0.006039,0.0466064,-0.0758539,0.414015,-0.374925,-0.000183182,3.13341,-0.579838,4.45476,-4.27608,48.3318,-45.336,-0.170855,6.82727,-30.1265,6.98732,21.0001,2.28485,0.466849,-0.0163725,
