Commanded Joint 0 Position,Commanded Joint 1 Position,Commanded Joint 2 Position,Commanded Joint 3 Position,Commanded Joint 4 Position,Commanded Joint 5 Position,Commanded Joint 6 Position,Commanded Joint 0 Velocity,Commanded Joint 1 Velocity,Commanded Joint 2 Velocity,Commanded Joint 3 Velocity,Commanded Joint 4 Velocity,Commanded Joint 5 Velocity,Commanded Joint 6 Velocity,Commanded Joint 0 Acceleration,Commanded Joint 1 Acceleration,Commanded Joint 2 Acceleration,Commanded Joint 3 Acceleration,Commanded Joint 4 Acceleration,Commanded Joint 5 Acceleration,Commanded Joint 6 Acceleration,Commanded Joint 0 Torque,Commanded Joint 1 Torque,Commanded Joint 2 Torque,Commanded Joint 3 Torque,Commanded Joint 4 Torque,Commanded Joint 5 Torque,Commanded Joint 6 Torque,Actual Joint 0 Position,Actual Joint 1 Position,Actual Joint 2 Position,Actual Joint 3 Position,Actual Joint 4 Position,Actual Joint 5 Position,Actual Joint 6 Position,Actual Joint 0 Velocity,Actual Joint 1 Velocity,Actual Joint 2 Velocity,Actual Joint 3 Velocity,Actual Joint 4 Velocity,Actual Joint 5 Velocity,Actual Joint 6 Velocity,Actual Joint 0 Acceleration,Actual Joint 1 Acceleration,Actual Joint 2 Acceleration,Actual Joint 3 Acceleration,Actual Joint 4 Acceleration,Actual Joint 5 Acceleration,Actual Joint 6 Acceleration,Actual Joint 0 Torque,Actual Joint 1 Torque,Actual Joint 2 Torque,Actual Joint 3 Torque,Actual Joint 4 Torque,Actual Joint 5 Torque,Actual Joint 6 Torque,
0.0568073,0.0374234,-0.0131693,-1.77947,0.0252576,0.319374,0.0484379,0.000491963,0.0236776,0.000431076,-0.0323626,-0.0055291,0.0539337,-0.00037103,0,0,0,0,0,0,0,0.0561819,25.9648,0.0292337,-24.582,-0.732737,1.73999,-0.023592,0.0567541,0.0363083,-0.013225,-1.77668,0.0256141,0.313573,0.0484759,0.00280807,-0.000547957,0.00356492,-0.00345411,-0.00251264,0.00113489,-0.00199604,0,0,0,0,0,0,0,0.182071,-37.2398,0.187391,27.8992,0.679012,3.51006,0.0376436,
0.0567995,0.0363214,-0.013181,-1.77669,0.0256311,0.31355,0.0484738,0.000678211,0.0190586,0.000620666,-0.0259621,-0.00414495,0.0429833,-0.000305051,0,0,0,0,0,0,0,0.0504243,26.4053,0.0189001,-24.4984,-0.732565,1.48947,-0.0220751,0.0567541,0.0363083,-0.013225,-1.77668,0.0256141,0.313573,0.0484759,0.00280807,-0.000547957,0.00356492,-0.00345411,-0.00251264,0.00113489,-0.00199604,0,0,0,0,0,0,0,0.182071,-37.2398,0.187391,27.8992,0.679012,3.51006,0.0376436,
0.0568084,0.0363257,-0.0131723,-1.7767,0.0256429,0.313545,0.0484735,0.000765896,0.015353,0.000713157,-0.0208231,-0.00302099,0.0342761,-0.0002497,0,0,0,0,0,0,0,0.0432103,26.9767,0.00717394,-24.3904,-0.731569,1.14229,-0.020105,0.0567541,0.0363083,-0.013225,-1.77668,0.0256141,0.313573,0.0484759,0.00280807,-0.000547957,0.00356492,-0.00345411,-0.00251264,0.00113489,-0.00199604,0,0,0,0,0,0,0,0.182071,-37.2398,0.187391,27.8992,0.679012,3.51006,0.0376436,
0.0568155,0.0363295,-0.0131654,-1.7767,0.0256539,0.313543,0.0484734,0.000789804,0.0123778,0.000742317,-0.0166991,-0.00213968,0.0273549,-0.00020384,0,0,0,0,0,0,0,0.0372684,27.5005,-0.00224289,-24.2225,-0.729065,0.75752,-0.0181026,0.0567541,0.0363083,-0.013225,-1.77668,0.0256141,0.313573,0.0484759,0.00280807,-0.000547957,0.00356492,-0.00345411,-0.00251264,0.00113489,-0.00199604,0,0,0,0,0,0,0,0.182071,-37.2398,0.187391,27.8992,0.679012,3.51006,0.0376436,
0.0565115,0.0363815,-0.013495,-1.77649,0.0333383,0.308197,0.0484411,-0.000235966,0.00959372,-0.000251332,-0.0128284,0.0465901,-0.013042,-0.000220593,0,0,0,0,0,0,0,0.471683,0.206403,0.471908,-0.290509,2.81312,-2.16145,-0.00236594,0.0567445,0.0363893,-0.0132549,-1.77671,0.0256153,0.313581,0.0484807,0.00112172,0.00115837,-0.000600147,-0.00142376,-0.0028739,0.00088632,-0.00128054,-0.210794,0.213291,-0.520633,0.253793,-0.0451576,-0.031071,0.0894377,0.134464,-36.9661,0.163588,27.6016,0.667111,3.43773,0.0239107,
0.0564882,0.0363701,-0.0135172,-1.77648,0.0353188,0.306739,0.0484395,-0.000769998,0.00739116,-0.000758193,-0.00995831,0.0867851,-0.0468875,-0.000217692,0,0,0,0,0,0,0,0.465548,0.203977,0.465844,-0.287763,2.7889,-2.14244,-0.00233261,0.0567445,0.0363893,-0.0132549,-1.77671,0.0256153,0.313581,0.0484807,0.00112172,0.00115837,-0.000600147,-0.00142376,-0.0028739,0.00088632,-0.00128054,0,0,0,0,0,0,0,0.134464,-36.9661,0.163588,27.6016,0.667111,3.43773,0.0239107,
0.0564755,0.036361,-0.0135291,-1.77647,0.0373228,0.305243,0.0484381,-0.000934356,0.00568457,-0.000902441,-0.00784358,0.119528,-0.0749089,-0.000207392,0,0,0,0,0,0,0,0.459565,0.201518,0.459927,-0.285051,2.76453,-2.12343,-0.00229981,0.0567445,0.0363893,-0.0132549,-1.77671,0.0256153,0.313581,0.0484807,0.00112172,0.00115837,-0.000600147,-0.00142376,-0.0028739,0.00088632,-0.00128054,0,0,0,0,0,0,0,0.134464,-36.9661,0.163588,27.6016,0.667111,3.43773,0.0239107,
0.0564719,0.0363546,-0.0135319,-1.77647,0.0393349,0.303725,0.0484369,-0.000836485,0.00438787,-0.000791387,-0.00629577,0.145924,-0.0978655,-0.000195574,0,0,0,0,0,0,0,0.453747,0.19905,0.454173,-0.282357,2.73997,-2.10442,-0.00226596,0.0567445,0.0363893,-0.0132549,-1.77671,0.0256153,0.313581,0.0484807,0.00112172,0.00115837,-0.000600147,-0.00142376,-0.0028739,0.00088632,-0.00128054,0,0,0,0,0,0,0,0.134464,-36.9661,0.163588,27.6016,0.667111,3.43773,0.0239107,
0.0562358,0.0362718,-0.0137931,-1.77551,0.053074,0.286444,0.0483538,-0.00137173,0.00212961,-0.00135395,-0.00249173,0.285488,-0.252723,-0.000273453,0,0,0,0,0,0,0,3.60937,1.60487,3.57411,-1.77312,10.3969,-11.0628,-0.00728945,0.0567322,0.0368852,-0.0132566,-1.77707,0.0256174,0.313556,0.0484814,0.00398491,0.00682703,0.00323173,-0.00634875,-0.00104646,0.000549085,-0.000985498,0.357899,0.708582,0.478985,-0.615623,0.22843,-0.0421543,0.0368798,0.336795,-36.3948,0.26277,27.677,0.660702,3.67669,0.017502,
0.0562553,0.0362315,-0.0137737,-1.77547,0.0599291,0.279198,0.0483497,-0.000610516,0.000696115,-0.000597099,-0.000837321,0.399768,-0.383313,-0.000320544,0,0,0,0,0,0,0,3.50202,1.55628,3.46912,-1.75174,10.1706,-10.8861,-0.00752788,0.0567322,0.0368852,-0.0132566,-1.77707,0.0256174,0.313556,0.0484814,0.00398491,0.00682703,0.00323173,-0.00634875,-0.00104646,0.000549085,-0.000985498,0,0,0,0,0,0,0,0.336795,-36.3948,0.26277,27.677,0.660702,3.67669,0.017502,
