Commanded Joint 0 Position,Commanded Joint 1 Position,Commanded Joint 2 Position,Commanded Joint 3 Position,Commanded Joint 4 Position,Commanded Joint 5 Position,Commanded Joint 6 Position,Commanded Joint 0 Velocity,Commanded Joint 1 Velocity,Commanded Joint 2 Velocity,Commanded Joint 3 Velocity,Commanded Joint 4 Velocity,Commanded Joint 5 Velocity,Commanded Joint 6 Velocity,Commanded Joint 0 Acceleration,Commanded Joint 1 Acceleration,Commanded Joint 2 Acceleration,Commanded Joint 3 Acceleration,Commanded Joint 4 Acceleration,Commanded Joint 5 Acceleration,Commanded Joint 6 Acceleration,Commanded Joint 0 Torque,Commanded Joint 1 Torque,Commanded Joint 2 Torque,Commanded Joint 3 Torque,Commanded Joint 4 Torque,Commanded Joint 5 Torque,Commanded Joint 6 Torque,Actual Joint 0 Position,Actual Joint 1 Position,Actual Joint 2 Position,Actual Joint 3 Position,Actual Joint 4 Position,Actual Joint 5 Position,Actual Joint 6 Position,Actual Joint 0 Velocity,Actual Joint 1 Velocity,Actual Joint 2 Velocity,Actual Joint 3 Velocity,Actual Joint 4 Velocity,Actual Joint 5 Velocity,Actual Joint 6 Velocity,Actual Joint 0 Acceleration,Actual Joint 1 Acceleration,Actual Joint 2 Acceleration,Actual Joint 3 Acceleration,Actual Joint 4 Acceleration,Actual Joint 5 Acceleration,Actual Joint 6 Acceleration,Actual Joint 0 Torque,Actual Joint 1 Torque,Actual Joint 2 Torque,Actual Joint 3 Torque,Actual Joint 4 Torque,Actual Joint 5 Torque,Actual Joint 6 Torque,
0.0941494,0.112534,-0.148681,-1.61413,0.0567906,0.187054,-0.0826374,2.52328e-05,0.0246592,0.000473679,-0.0310496,-0.00413088,0.0523796,-0.000401904,0.0157705,15.412,0.296049,-19.406,-2.5818,32.7372,-0.25119,0.0625656,27.8732,0.428248,-24.2605,-0.775186,1.8853,-0.02445,0.094125,0.111418,-0.148733,-1.61144,0.0571287,0.181518,-0.0825914,-0.00130317,-0.000554155,-0.000282129,0.000739078,0.000291931,0.000519031,-0.00176034,0,0,0,0,0,0,0,0.233646,-39.4377,-0.487047,27.1771,0.679012,3.15209,0.0376436,
0.0941125,0.111409,-0.148744,-1.61143,0.0571227,0.181541,-0.0825917,-5.90948e-05,0.019677,0.000309654,-0.0247837,-0.00337732,0.0421015,-0.000320234,-0.0527048,-3.11388,-0.102516,3.91623,0.470979,-6.4238,0.0510435,0.0568262,28.3158,0.418223,-24.1767,-0.775386,1.63581,-0.0229316,0.094125,0.111499,-0.148733,-1.6115,0.0571333,0.181507,-0.0825938,-0.00184629,0.000670455,0.00093368,-0.00107675,0.00268356,-0.000670924,-0.00187897,-0.06789,0.153076,0.151976,-0.226979,0.298954,-0.148744,-0.0148283,0.233646,-38.7871,-0.538622,27.0264,0.642391,3.25188,0.0303194,
0.09411,0.111408,-0.148746,-1.61143,0.0571198,0.181548,-0.0825917,-0.000110499,0.0157091,0.000193218,-0.0197797,-0.00277463,0.0338736,-0.000255427,-0.0321275,-2.47994,-0.0727726,3.12746,0.376681,-5.14245,0.0405041,0.0495822,28.8871,0.40649,-24.0687,-0.774742,1.28895,-0.0209599,0.094125,0.111499,-0.148733,-1.6115,0.0571333,0.181507,-0.0825938,-0.00184629,0.000670455,0.00093368,-0.00107675,0.00268356,-0.000670924,-0.00187897,0,0,0,0,0,0,0,0.233646,-38.7871,-0.538622,27.0264,0.642391,3.25188,0.0303194,
0.094108,0.111407,-0.148748,-1.61142,0.0571171,0.181556,-0.0825917,-0.000139276,0.0125491,0.000111547,-0.0157839,-0.0022864,0.0272831,-0.000203944,-0.0179857,-1.97497,-0.0510445,2.49742,0.305144,-4.11908,0.0321772,0.0435999,29.4108,0.397042,-23.9009,-0.772577,0.904468,-0.0189549,0.094125,0.111499,-0.148733,-1.6115,0.0571333,0.181507,-0.0825938,-0.00184629,0.000670455,0.00093368,-0.00107675,0.00268356,-0.000670924,-0.00187897,0,0,0,0,0,0,0,0.233646,-38.7871,-0.538622,27.0264,0.642391,3.25188,0.0303194,
0.0940147,0.111538,-0.148864,-1.61135,0.0593933,0.179604,-0.0826152,-0.00171794,0.0103358,-0.00165398,-0.0108122,0.0326615,-0.00727479,-0.000361121,-0.986663,-1.38332,-1.10345,3.10732,21.8424,-21.5987,-0.098236,0.541337,0.25771,0.543154,-0.33962,2.90639,-2.70437,-0.00254931,0.094125,0.111499,-0.148733,-1.6115,0.0571333,0.181507,-0.0825938,-0.00184629,0.000670455,0.00093368,-0.00107675,0.00268356,-0.000670924,-0.00187897,0,0,0,0,0,0,0,0.233646,-38.7871,-0.538622,27.0264,0.642391,3.25188,0.0303194,
0.0939507,0.111537,-0.148928,-1.61129,0.0610655,0.178163,-0.0826198,-0.00297313,0.00823094,-0.00293276,-0.00732421,0.0679328,-0.0418417,-0.000404538,-0.784497,-1.31554,-0.799242,2.17997,22.0446,-21.6043,-0.0271352,0.536499,0.273661,0.539737,-0.334157,2.8816,-2.67984,-0.00247491,0.0941154,0.111893,-0.148736,-1.61204,0.0571011,0.182458,-0.0825931,-0.000714141,0.0481397,-0.00129366,-0.0776962,0.000735752,0.130909,-0.00167452,0.141519,5.93365,-0.278417,-9.57743,-0.243476,16.4476,0.0255563,0.360599,-28.2579,-0.213304,16.6916,0.221249,2.58904,0.0239107,
0.0938956,0.111528,-0.148981,-1.61126,0.0629098,0.176537,-0.0826226,-0.00375673,0.00635985,-0.00367683,-0.00496433,0.100456,-0.0741193,-0.000394027,-0.489747,-1.16943,-0.46504,1.47493,20.3267,-20.1735,0.00656935,0.529855,0.269189,0.533189,-0.331113,2.8562,-2.65835,-0.00240749,0.0941154,0.111893,-0.148736,-1.61204,0.0571011,0.182458,-0.0825931,-0.000714141,0.0481397,-0.00129366,-0.0776962,0.000735752,0.130909,-0.00167452,0,0,0,0,0,0,0,0.360599,-28.2579,-0.213304,16.6916,0.221249,2.58904,0.0239107,
0.0938525,0.111516,-0.149022,-1.61124,0.0648556,0.174788,-0.0826245,-0.00408365,0.00479113,-0.00394948,-0.00341578,0.129008,-0.103017,-0.000361791,-0.204325,-0.980445,-0.170409,0.967848,17.845,-18.0611,0.0201475,0.522833,0.264742,0.526344,-0.328258,2.83135,-2.63674,-0.00235351,0.0941154,0.111893,-0.148736,-1.61204,0.0571011,0.182458,-0.0825931,-0.000714141,0.0481397,-0.00129366,-0.0776962,0.000735752,0.130909,-0.00167452,0,0,0,0,0,0,0,0.360599,-28.2579,-0.213304,16.6916,0.221249,2.58904,0.0239107,
0.0938742,0.112726,-0.149043,-1.61178,0.0643242,0.174992,-0.0826472,-0.00658347,0.0125739,-0.00696418,0.000934346,0.213851,-0.200911,-0.000759991,-1.56239,4.86423,-1.88418,2.71883,53.0269,-61.1837,-0.248875,4.60493,1.44769,4.46535,-1.91757,9.9343,-11.5218,-0.0010694,0.0941154,0.111893,-0.148736,-1.61204,0.0571011,0.182458,-0.0825931,-0.000714141,0.0481397,-0.00129366,-0.0776962,0.000735752,0.130909,-0.00167452,0,0,0,0,0,0,0,0.360599,-28.2579,-0.213304,16.6916,0.221249,2.58904,0.0239107,
0.09377,0.112958,-0.149153,-1.6117,0.0696873,0.169022,-0.0826552,-0.00787267,0.015872,-0.00832786,0.00290086,0.305158,-0.309979,-0.000808523,-0.805749,2.06132,-0.852302,1.22907,57.0675,-68.1676,-0.0303328,4.48123,1.63829,4.34056,-1.88974,9.68967,-11.2573,-0.000962931,0.0940869,0.11693,-0.148785,-1.6167,0.0585552,0.186771,-0.0825924,-0.00253679,0.120423,-0.00617347,-0.0627955,0.187681,-0.16357,-5.67705e-05,-0.227832,9.03537,-0.609976,1.86259,23.3682,-36.81,0.202219,0.689884,-29.5036,0.314344,28.0222,1.91864,2.66869,0.017502,
0.0937151,0.113115,-0.149208,-1.61167,0.0755774,0.162282,-0.0826575,-0.00766909,0.0166213,-0.00803457,0.00292478,0.391378,-0.416471,-0.00070321,0.127233,0.468329,0.183306,0.0149505,53.8872,-66.5575,0.065821,4.3559,1.61219,4.21042,-1.85472,9.46066,-11.0159,-0.00121352,0.0940869,0.11693,-0.148785,-1.6167,0.0585552,0.186771,-0.0825924,-0.00253679,0.120423,-0.00617347,-0.0627955,0.187681,-0.16357,-5.67705e-05,0,0,0,0,0,0,0,0.689884,-29.5036,0.314344,28.0222,1.91864,2.66869,0.017502,
0.093715,0.113229,-0.149206,-1.6117,0.0817472,0.155077,-0.0826569,-0.00613897,0.0161337,-0.00637754,0.0016935,0.467349,-0.51331,-0.000548502,0.956327,-0.304789,1.03564,-0.76955,47.4819,-60.5245,0.0966925,4.23238,1.57432,4.08945,-1.82519,9.23373,-10.7773,-0.00173626,0.0940869,0.11693,-0.148785,-1.6167,0.0585552,0.186771,-0.0825924,-0.00253679,0.120423,-0.00617347,-0.0627955,0.187681,-0.16357,-5.67705e-05,0,0,0,0,0,0,0,0.689884,-29.5036,0.314344,28.0222,1.91864,2.66869,0.017502,
0.0950383,0.118157,-0.147918,-1.61749,0.0659789,0.175552,-0.08234,0.0106434,0.0259679,0.00896932,-0.00831114,0.482149,-0.57758,0.00260604,10.489,6.14641,9.59179,-6.2529,9.24991,-40.1688,1.97159,28.3938,3.72579,26.8476,-10.289,10.8235,-14.2382,0.158239,0.0940869,0.11693,-0.148785,-1.6167,0.0585552,0.186771,-0.0825924,-0.00253679,0.120423,-0.00617347,-0.0627955,0.187681,-0.16357,-5.67705e-05,0,0,0,0,0,0,0,0.689884,-29.5036,0.314344,28.0222,1.91864,2.66869,0.017502,
0.0958801,0.11852,-0.14714,-1.61792,0.0712619,0.16746,-0.0821921,0.0295584,0.0298498,0.0266282,-0.0174007,0.517794,-0.664373,0.00578121,11.8219,2.42616,11.0368,-5.68096,22.2783,-54.2454,1.98448,26.631,3.91421,24.9304,-8.88202,10.6848,-14.2071,0.141777,0.0938915,0.120194,-0.148865,-1.61695,0.0713767,0.172534,-0.0825956,-0.0181686,0.207807,-0.0147891,0.060658,0.85696,-0.808445,0.00255985,-1.95397,10.923,-1.07696,15.4317,83.6598,-80.6093,0.327078,5.81165,-47.3485,5.18617,20.7501,4.0747,-3.49098,0.017502,
0.0968783,0.118659,-0.146194,-1.61854,0.077297,0.158494,-0.0819615,0.0486015,0.0273601,0.0449694,-0.0294249,0.565112,-0.755631,0.0103894,11.9019,-1.55606,11.4633,-7.51513,29.5738,-57.0364,2.88009,25.1592,2.20003,23.6129,-8.05035,10.6848,-14.2071,0.176856,0.0938915,0.120194,-0.148865,-1.61695,0.0713767,0.172534,-0.0825956,-0.0181686,0.207807,-0.0147891,0.060658,0.85696,-0.808445,0.00255985,0,0,0,0,0,0,0,5.81165,-47.3485,5.18617,20.7501,4.0747,-3.49098,0.017502,
0.0971109,0.117596,-0.145813,-1.62004,0.069457,0.168785,-0.0817449,0.0727605,0.0249556,0.0683911,-0.0516824,0.570505,-0.798274,0.0134281,15.0994,-1.50283,14.6386,-13.9109,3.37047,-26.6516,1.8992,38.9216,1.68702,37.2664,-19.9493,10.6848,-14.2071,0.302123,0.0938915,0.120194,-0.148865,-1.61695,0.0713767,0.172534,-0.0825956,-0.0181686,0.207807,-0.0147891,0.060658,0.85696,-0.808445,0.00255985,0,0,0,0,0,0,0,5.81165,-47.3485,5.18617,20.7501,4.0747,-3.49098,0.017502,
0.0968739,0.121476,-0.145872,-1.62049,0.0894422,0.148588,-0.0818356,0.0923525,0.0260378,0.0872587,-0.0741297,0.611271,-0.862615,0.0169979,12.245,0.676392,11.7922,-14.0296,25.479,-40.2134,2.23116,35.2702,2.53237,33.5905,-18.2997,10.6848,-14.2071,0.237601,0.0938915,0.120194,-0.148865,-1.61695,0.0713767,0.172534,-0.0825956,-0.0181686,0.207807,-0.0147891,0.060658,0.85696,-0.808445,0.00255985,0,0,0,0,0,0,0,5.81165,-47.3485,5.18617,20.7501,4.0747,-3.49098,0.017502,
0.098385,0.121605,-0.144408,-1.62191,0.0961044,0.13904,-0.0816836,0.111661,0.0240601,0.106383,-0.094729,0.655574,-0.928797,0.0173998,12.068,-1.23606,11.9527,-12.8745,27.689,-41.3639,0.251168,32.4029,1.81726,30.5614,-18.4324,10.6117,-13.9261,0.291908,0.0939693,0.124291,-0.147421,-1.61773,0.0994782,0.133521,-0.0825864,0.037995,0.0685677,0.19148,-0.0496164,0.918683,-1.37608,0.000825608,7.02045,-17.4049,25.7836,-13.7843,7.71542,-70.9545,-0.21678,20.0899,-38.2158,18.2623,13.4265,3.71399,-3.77662,0.0779268,
0.0999614,0.121736,-0.142862,-1.62329,0.103233,0.129007,-0.081619,0.128738,0.0225097,0.123756,-0.110343,0.70268,-0.993863,0.0155333,10.6728,-0.969024,10.8583,-9.75856,29.4411,-40.666,-1.16656,28.2397,0.648102,27.1101,-19.3135,10.6117,-13.9261,0.176722,0.0939693,0.124291,-0.147421,-1.61773,0.0994782,0.133521,-0.0825864,0.037995,0.0685677,0.19148,-0.0496164,0.918683,-1.37608,0.000825608,0,0,0,0,0,0,0,20.0899,-38.2158,18.2623,13.4265,3.71399,-3.77662,0.0779268,
0.0972782,0.123981,-0.144318,-1.62144,0.113037,0.113487,-0.0820566,0.148422,0.0130387,0.141483,-0.137253,0.731268,-1.04673,0.0189097,12.3023,-5.91936,11.0795,-16.8187,17.8677,-33.0429,2.11024,42.6482,-0.91654,39.2959,-27.6733,10.6117,-13.9261,0.301956,0.0939693,0.124291,-0.147421,-1.61773,0.0994782,0.133521,-0.0825864,0.037995,0.0685677,0.19148,-0.0496164,0.918683,-1.37608,0.000825608,0,0,0,0,0,0,0,20.0899,-38.2158,18.2623,13.4265,3.71399,-3.77662,0.0779268,
0.0992551,0.12377,-0.142488,-1.62347,0.120103,0.103244,-0.0819197,0.168159,0.00514459,0.158947,-0.160487,0.761651,-1.09346,0.0185513,12.3358,-4.93382,10.915,-14.5214,18.9895,-29.2045,-0.224024,37.7437,-0.795345,35.133,-26.7173,10.6117,-13.9261,0.294188,0.0939693,0.124291,-0.147421,-1.61773,0.0994782,0.133521,-0.0825864,0.037995,0.0685677,0.19148,-0.0496164,0.918683,-1.37608,0.000825608,0,0,0,0,0,0,0,20.0899,-38.2158,18.2623,13.4265,3.71399,-3.77662,0.0779268,
0.101292,0.123622,-0.140611,-1.62544,0.127541,0.0927948,-0.0818837,0.18546,0.000406125,0.174072,-0.177724,0.79527,-1.136,0.0157391,10.8134,-2.96154,9.45276,-10.773,21.0116,-26.5903,-1.7576,32.8873,-1.36322,30.5557,-26.8606,10.6117,-13.9261,0.154087,0.0939693,0.124291,-0.147421,-1.61773,0.0994782,0.133521,-0.0825864,0.037995,0.0685677,0.19148,-0.0496164,0.918683,-1.37608,0.000825608,0,0,0,0,0,0,0,20.0899,-38.2158,18.2623,13.4265,3.71399,-3.77662,0.0779268,
0.103336,0.123535,-0.138714,-1.62736,0.135299,0.0822069,-0.081878,0.199465,-0.00185002,0.186693,-0.19018,0.830187,-1.1735,0.0127348,8.75309,-1.41009,7.88833,-7.78494,21.8233,-23.4356,-1.87768,29.6794,0.191963,27.488,-25.6895,10.6371,-13.5088,0.0367648,0.101735,0.125139,-0.13968,-1.62562,0.129391,0.0852417,-0.0822244,0.1103,0.0559864,0.379359,-0.290951,0.98138,-1.58717,0.0190416,9.03807,-1.57266,23.4849,-30.1668,7.83717,-26.386,2.277,22.0934,-35.5934,19.635,25.4831,4.31915,-1.29646,0.0440523,
0.106355,0.125658,-0.135291,-1.63102,0.144752,0.0619969,-0.0818768,0.218936,0.00451451,0.20533,-0.220227,0.857,-1.22461,0.0129159,12.1694,3.97783,11.6483,-18.7797,16.7584,-31.9424,0.113167,40.6159,2.66815,37.9288,-32.6922,10.6371,-13.5088,0.27729,0.101735,0.125139,-0.13968,-1.62562,0.129391,0.0852417,-0.0822244,0.1103,0.0559864,0.379359,-0.290951,0.98138,-1.58717,0.0190416,0,0,0,0,0,0,0,22.0934,-35.5934,19.635,25.4831,4.31915,-1.29646,0.0440523,
0.108742,0.125923,-0.133043,-1.63366,0.152683,0.0507376,-0.0818776,0.234812,0.0102346,0.220454,-0.242167,0.883861,-1.26117,0.0103123,9.92262,3.57506,9.45243,-13.7125,16.7875,-22.8515,-1.62723,34.9145,1.82396,32.8123,-32.6018,10.6371,-13.5088,0.119208,0.101735,0.125139,-0.13968,-1.62562,0.129391,0.0852417,-0.0822244,0.1103,0.0559864,0.379359,-0.290951,0.98138,-1.58717,0.0190416,0,0,0,0,0,0,0,22.0934,-35.5934,19.635,25.4831,4.31915,-1.29646,0.0440523,
0.1111,0.126205,-0.130828,-1.63622,0.160826,0.039605,-0.0819128,0.246812,0.0152323,0.231739,-0.257744,0.910664,-1.28725,0.00736976,7.49974,3.12355,7.05287,-9.73572,16.7521,-16.3006,-1.83911,30.9452,2.31152,29.1941,-31.5162,10.6371,-13.5088,-0.00654498,0.101735,0.125139,-0.13968,-1.62562,0.129391,0.0852417,-0.0822244,0.1103,0.0559864,0.379359,-0.290951,0.98138,-1.58717,0.0190416,0,0,0,0,0,0,0,22.0934,-35.5934,19.635,25.4831,4.31915,-1.29646,0.0440523,
0.113408,0.126484,-0.128663,-1.63873,0.169139,0.0285815,-0.0819633,0.255154,0.019166,0.23952,-0.268766,0.936354,-1.30539,0.00463336,5.21368,2.45857,4.86299,-6.88865,16.0565,-11.3347,-1.71025,29.0229,2.82796,27.3185,-30.5553,10.7542,-12.9374,-0.0420426,0.114977,0.122518,-0.128853,-1.64005,0.163554,0.0262614,-0.0819272,0.322883,0.0333489,0.470515,-0.38911,1.05885,-1.88726,0.00109848,26.5729,-2.8297,11.3946,-12.2699,9.68347,-37.5119,-2.24289,16.2853,-33.7209,14.2594,27.3001,4.81994,0.0759184,0.0706026,
0.121101,0.122731,-0.123137,-1.64709,0.18138,0.00203958,-0.0819933,0.278775,0.018183,0.26114,-0.302562,0.97407,-1.32898,0.00170439,14.7634,-0.614368,13.5129,-21.1227,23.5722,-14.745,-1.83061,33.6326,-1.51049,31.25,-39.3058,10.7542,-10.548,0.0295948,0.114977,0.122518,-0.128853,-1.64005,0.163554,0.0262614,-0.0819272,0.322883,0.0333489,0.470515,-0.38911,1.05885,-1.88726,0.00109848,0,0,0,0,0,0,0,16.2853,-33.7209,14.2594,27.3001,4.81994,0.0759184,0.0706026,
