Commanded Joint 0 Position,Commanded Joint 1 Position,Commanded Joint 2 Position,Commanded Joint 3 Position,Commanded Joint 4 Position,Commanded Joint 5 Position,Commanded Joint 6 Position,Commanded Joint 0 Velocity,Commanded Joint 1 Velocity,Commanded Joint 2 Velocity,Commanded Joint 3 Velocity,Commanded Joint 4 Velocity,Commanded Joint 5 Velocity,Commanded Joint 6 Velocity,Commanded Joint 0 Acceleration,Commanded Joint 1 Acceleration,Commanded Joint 2 Acceleration,Commanded Joint 3 Acceleration,Commanded Joint 4 Acceleration,Commanded Joint 5 Acceleration,Commanded Joint 6 Acceleration,Commanded Joint 0 Torque,Commanded Joint 1 Torque,Commanded Joint 2 Torque,Commanded Joint 3 Torque,Commanded Joint 4 Torque,Commanded Joint 5 Torque,Commanded Joint 6 Torque,Actual Joint 0 Position,Actual Joint 1 Position,Actual Joint 2 Position,Actual Joint 3 Position,Actual Joint 4 Position,Actual Joint 5 Position,Actual Joint 6 Position,Actual Joint 0 Velocity,Actual Joint 1 Velocity,Actual Joint 2 Velocity,Actual Joint 3 Velocity,Actual Joint 4 Velocity,Actual Joint 5 Velocity,Actual Joint 6 Velocity,Actual Joint 0 Acceleration,Actual Joint 1 Acceleration,Actual Joint 2 Acceleration,Actual Joint 3 Acceleration,Actual Joint 4 Acceleration,Actual Joint 5 Acceleration,Actual Joint 6 Acceleration,Actual Joint 0 Torque,Actual Joint 1 Torque,Actual Joint 2 Torque,Actual Joint 3 Torque,Actual Joint 4 Torque,Actual Joint 5 Torque,Actual Joint 6 Torque,
0.0258588,-0.0954809,0.0136831,-1.87912,0.0242463,0.279557,-0.0537386,0.000627836,0.0192937,0.000766126,-0.0342825,-0.00591094,0.0523782,-0.000368436,0.392398,12.0586,0.478829,-21.4266,-3.69434,32.7364,-0.230273,0.052686,21.5336,0.196623,-24.5202,-0.725302,1.80411,-0.0236436,0.0258117,-0.0964077,0.0136275,-1.87589,0.0246243,0.273865,-0.0536965,0.0010302,0.000835077,0.000696124,-0.000508246,-0.00128214,0.00308024,-0.00144079,0,0,0,0,0,0,0,0.0551182,-32.1498,-0.237108,27.4271,0.612179,3.33794,0.050461,
0.0258223,-0.0963939,0.0136386,-1.87589,0.0246229,0.273897,-0.0536975,0.000564672,0.0155247,0.000677566,-0.0274407,-0.00468554,0.0420732,-0.000297923,-0.0394776,-2.35565,-0.0553503,4.27614,0.765874,-6.4406,0.044071,0.04698,21.9759,0.186198,-24.4362,-0.725095,1.55368,-0.0221321,0.0258166,-0.0963471,0.0136266,-1.87594,0.0246245,0.273857,-0.0536945,0.00399921,0.00272483,0.000115987,-0.00363232,-0.00747932,0.00193376,0.000434626,0.371126,0.236219,-0.0725171,-0.390509,-0.774647,-0.14331,0.234427,0.0313145,-31.9515,-0.213304,27.4271,0.581051,3.41759,0.00376909,
0.0258242,-0.096391,0.0136405,-1.87589,0.0246252,0.273902,-0.0536976,0.000498676,0.0124927,0.000590026,-0.0219629,-0.00369115,0.0337854,-0.00024052,-0.0412473,-1.89495,-0.0547122,3.42363,0.621498,-5.17991,0.0358767,0.039826,22.5476,0.174501,-24.3281,-0.724127,1.20604,-0.0201633,0.0258166,-0.0963471,0.0136266,-1.87594,0.0246245,0.273857,-0.0536945,0.00399921,0.00272483,0.000115987,-0.00363232,-0.00747932,0.00193376,0.000434626,0,0,0,0,0,0,0,0.0313145,-31.9515,-0.213304,27.4271,0.581051,3.41759,0.00376909,
0.0258256,-0.0963885,0.013642,-1.87589,0.0246276,0.273906,-0.0536977,0.000434771,0.0100554,0.000508103,-0.0175775,-0.00289392,0.0271288,-0.000193999,-0.039941,-1.52335,-0.051202,2.74087,0.498268,-4.16036,0.0290756,0.0339379,23.0717,0.165121,-24.1603,-0.721648,0.820795,-0.0181625,0.0258166,-0.0963471,0.0136266,-1.87594,0.0246245,0.273857,-0.0536945,0.00399921,0.00272483,0.000115987,-0.00363232,-0.00747932,0.00193376,0.000434626,0,0,0,0,0,0,0,0.0313145,-31.9515,-0.213304,27.4271,0.581051,3.41759,0.00376909,
0.0257178,-0.0963009,0.0135445,-1.87587,0.0269121,0.272541,-0.0537198,-0.00105128,0.0084846,-0.00086717,-0.0130915,0.0329914,0.00145284,-0.000390427,-0.928779,-0.981741,-0.859546,2.80376,22.4283,-16.0475,-0.122767,0.453435,0.216205,0.44811,-0.276465,2.93428,-1.86422,-0.00176302,0.0258166,-0.0963471,0.0136266,-1.87594,0.0246245,0.273857,-0.0536945,0.00399921,0.00272483,0.000115987,-0.00363232,-0.00747932,0.00193376,0.000434626,0,0,0,0,0,0,0,0.0313145,-31.9515,-0.213304,27.4271,0.581051,3.41759,0.00376909,
0.0256649,-0.0962925,0.0134928,-1.87584,0.0286334,0.271538,-0.0537249,-0.00216154,0.00699654,-0.00198492,-0.00972091,0.0694248,-0.0239115,-0.000441738,-0.693915,-0.930033,-0.698593,2.1066,22.7709,-15.8527,-0.0320693,0.447383,0.236742,0.441136,-0.268395,2.90957,-1.84457,-0.00172338,0.0258102,-0.0958671,0.0136185,-1.87649,0.0246413,0.274755,-0.0536938,3.87e-05,0.059399,0.000305028,-0.0755044,0.000959094,0.130071,0.00041074,-0.495064,7.08427,0.0236301,-8.98401,1.0548,16.0172,-0.00298583,0.182071,-21.4699,-0.0625476,15.918,0.21484,2.56249,-0.0026396,
0.0256219,-0.0962894,0.0134492,-1.87582,0.0305326,0.270408,-0.0537278,-0.00280428,0.00567426,-0.00267963,-0.00726928,0.10302,-0.0473614,-0.000425301,-0.401713,-0.826428,-0.434194,1.53227,20.9972,-14.6562,0.0102732,0.441844,0.233586,0.435459,-0.265725,2.88466,-1.82904,-0.00168246,0.0258102,-0.0958671,0.0136185,-1.87649,0.0246413,0.274755,-0.0536938,3.87e-05,0.059399,0.000305028,-0.0755044,0.000959094,0.130071,0.00041074,0,0,0,0,0,0,0,0.182071,-21.4699,-0.0625476,15.918,0.21484,2.56249,-0.0026396,
0.0255908,-0.0962885,0.0134166,-1.87581,0.0325336,0.269196,-0.0537295,-0.00302271,0.00456173,-0.00295885,-0.00552308,0.132442,-0.0681899,-0.000382224,-0.136521,-0.695327,-0.174511,1.09138,18.3883,-13.0178,0.0269231,0.436327,0.230239,0.429847,-0.263191,2.85983,-1.81349,-0.00165299,0.0258102,-0.0958671,0.0136185,-1.87649,0.0246413,0.274755,-0.0536938,3.87e-05,0.059399,0.000305028,-0.0755044,0.000959094,0.130071,0.00041074,0,0,0,0,0,0,0,0.182071,-21.4699,-0.0625476,15.918,0.21484,2.56249,-0.0026396,
0.0254923,-0.095015,0.0133641,-1.87638,0.0330234,0.268431,-0.053777,-0.0065843,0.0126969,-0.00599691,-0.00214485,0.235005,-0.155821,-0.00108709,-2.22599,5.08448,-1.89879,2.11139,64.102,-54.7694,-0.440544,3.74801,1.72993,3.79903,-1.85781,10.9131,-9.73482,-0.0046729,0.0258102,-0.0958671,0.0136185,-1.87649,0.0246413,0.274755,-0.0536938,3.87e-05,0.059399,0.000305028,-0.0755044,0.000959094,0.130071,0.00041074,0,0,0,0,0,0,0,0.182071,-21.4699,-0.0625476,15.918,0.21484,2.56249,-0.0026396,
0.0253607,-0.0947591,0.0132416,-1.87632,0.0392907,0.263305,-0.053793,-0.00855751,0.0165552,-0.0078606,-0.000200135,0.344686,-0.252817,-0.00126882,-1.23326,2.41145,-1.16481,1.21545,68.551,-60.6225,-0.113581,3.62623,1.72622,3.69618,-1.81674,10.9131,-9.57611,-0.00404764,0.0258102,-0.0958671,0.0136185,-1.87649,0.0246413,0.274755,-0.0536938,3.87e-05,0.059399,0.000305028,-0.0755044,0.000959094,0.130071,0.00041074,0,0,0,0,0,0,0,0.182071,-21.4699,-0.0625476,15.918,0.21484,2.56249,-0.0026396,
0.0252827,-0.0945709,0.0131666,-1.8763,0.0461649,0.257504,-0.0538007,-0.00879606,0.0179491,-0.00816284,0.000244546,0.447605,-0.347271,-0.00120794,-0.149096,0.871173,-0.188901,0.277925,64.3239,-59.0339,0.0380538,3.49887,1.83468,3.57167,-1.79991,10.6976,-9.39987,-0.00445042,0.025811,-0.0929268,0.0136276,-1.88242,0.0266041,0.279017,-0.0536968,-0.00460808,0.0371326,-0.00331748,-0.145486,0.217354,-0.115069,-0.00108919,-0.580848,-2.78331,-0.452813,-8.74765,27.0493,-30.6425,-0.187492,0.384403,-29.3291,-0.0109729,32.8583,1.92505,3.35808,0.0239107,
0.0252613,-0.0944214,0.0131455,-1.87633,0.0533521,0.251284,-0.0538045,-0.00757149,0.0180956,-0.00705811,-0.000395055,0.537763,-0.433308,-0.00106025,0.765359,0.0915912,0.690456,-0.39975,56.3492,-53.7727,0.0923032,3.38742,1.80337,3.46026,-1.7694,10.4684,-9.25056,-0.00509632,0.025811,-0.0929268,0.0136276,-1.88242,0.0266041,0.279017,-0.0536968,-0.00460808,0.0371326,-0.00331748,-0.145486,0.217354,-0.115069,-0.00108919,0,0,0,0,0,0,0,0.384403,-29.3291,-0.0109729,32.8583,1.92505,3.35808,0.0239107,
0.0266993,-0.0920902,0.0146153,-1.88313,0.0348099,0.267273,-0.0535562,0.00835768,0.0243681,0.0102941,-0.00762414,0.549289,-0.520378,0.000671736,9.95573,3.92026,10.8451,-4.51818,7.20367,-54.4192,1.08249,24.5491,4.89729,25.5069,-10.8081,10.9037,-14.3974,0.0959128,0.025811,-0.0929268,0.0136276,-1.88242,0.0266041,0.279017,-0.0536968,-0.00460808,0.0371326,-0.00331748,-0.145486,0.217354,-0.115069,-0.00108919,0,0,0,0,0,0,0,0.384403,-29.3291,-0.0109729,32.8583,1.92505,3.35808,0.0239107,
0.0274901,-0.0917765,0.0154683,-1.88346,0.0405475,0.258969,-0.0534822,0.0264552,0.0273363,0.0295606,-0.0141396,0.582871,-0.623906,0.00238639,11.3109,1.85515,12.0416,-4.07219,20.9886,-64.7047,1.07166,23.1076,4.94167,24.2384,-9.28929,10.9037,-14.3974,0.0691789,0.025811,-0.0929268,0.0136276,-1.88242,0.0266041,0.279017,-0.0536968,-0.00460808,0.0371326,-0.00331748,-0.145486,0.217354,-0.115069,-0.00108919,0,0,0,0,0,0,0,0.384403,-29.3291,-0.0109729,32.8583,1.92505,3.35808,0.0239107,
