Commanded Joint 0 Position,Commanded Joint 1 Position,Commanded Joint 2 Position,Commanded Joint 3 Position,Commanded Joint 4 Position,Commanded Joint 5 Position,Commanded Joint 6 Position,Commanded Joint 0 Velocity,Commanded Joint 1 Velocity,Commanded Joint 2 Velocity,Commanded Joint 3 Velocity,Commanded Joint 4 Velocity,Commanded Joint 5 Velocity,Commanded Joint 6 Velocity,Commanded Joint 0 Acceleration,Commanded Joint 1 Acceleration,Commanded Joint 2 Acceleration,Commanded Joint 3 Acceleration,Commanded Joint 4 Acceleration,Commanded Joint 5 Acceleration,Commanded Joint 6 Acceleration,Commanded Joint 0 Torque,Commanded Joint 1 Torque,Commanded Joint 2 Torque,Commanded Joint 3 Torque,Commanded Joint 4 Torque,Commanded Joint 5 Torque,Commanded Joint 6 Torque,Actual Joint 0 Position,Actual Joint 1 Position,Actual Joint 2 Position,Actual Joint 3 Position,Actual Joint 4 Position,Actual Joint 5 Position,Actual Joint 6 Position,Actual Joint 0 Velocity,Actual Joint 1 Velocity,Actual Joint 2 Velocity,Actual Joint 3 Velocity,Actual Joint 4 Velocity,Actual Joint 5 Velocity,Actual Joint 6 Velocity,Actual Joint 0 Acceleration,Actual Joint 1 Acceleration,Actual Joint 2 Acceleration,Actual Joint 3 Acceleration,Actual Joint 4 Acceleration,Actual Joint 5 Acceleration,Actual Joint 6 Acceleration,Actual Joint 0 Torque,Actual Joint 1 Torque,Actual Joint 2 Torque,Actual Joint 3 Torque,Actual Joint 4 Torque,Actual Joint 5 Torque,Actual Joint 6 Torque,
-0.0257261,0.0588221,-0.0106008,-1.84643,-0.00288188,0.381769,-0.0374105,0.000304853,0.0250848,0.000235375,-0.0320727,-0.00389451,0.0572731,-0.000376129,0.190533,15.678,0.147109,-20.0455,-2.43407,35.7957,-0.23508,0,0,0,0,0,0,0,-0.0257396,0.0576607,-0.0106063,-1.84364,-0.00269635,0.375664,-0.0373505,0.00205637,-0.000345628,-0.000962616,-0.00036594,-0.0033813,0.00103872,0.000147737,0,0,0,0,0,0,0,0.0551182,-37.9659,0.0366345,27.3517,0.672604,3.17223,-0.0905302,
-0.025733,0.057661,-0.0106007,-1.84364,-0.00271973,0.375679,-0.0373511,0.000277776,0.0200839,0.000218738,-0.0256367,-0.00318207,0.0459437,-0.000304291,-0.0169228,-3.12554,-0.010398,4.02253,0.445279,-7.08085,0.0448985,0,0,0,0,0,0,0,-0.0257396,0.0576607,-0.0106063,-1.84364,-0.00269635,0.375664,-0.0373505,0.00205637,-0.000345628,-0.000962616,-0.00036594,-0.0033813,0.00103872,0.000147737,0,0,0,0,0,0,0,0.0551182,-37.9659,0.0366345,27.3517,0.672604,3.17223,-0.0905302,
-0.0257321,0.0576619,-0.0105998,-1.84364,-0.00272039,0.375685,-0.0373512,0.000246117,0.0160892,0.000196332,-0.0204878,-0.00256208,0.0368818,-0.000245644,-0.0197873,-2.49668,-0.0140035,3.21803,0.38749,-5.6637,0.0366543,0,0,0,0,0,0,0,-0.0257365,0.0577748,-0.0106098,-1.8437,-0.00269467,0.375658,-0.0373538,0.00399776,0.00414004,0.000351104,-0.00202146,-0.00375629,0.00127682,-0.000303682,0.242674,0.560708,0.164215,-0.20694,-0.0468742,0.029762,-0.0564274,0.0551182,-37.466,0.0366345,27.1017,0.654293,3.22533,-0.0630644,
-0.0257314,0.0576629,-0.0105992,-1.84364,-0.00272007,0.37569,-0.0373513,0.00021436,0.0128974,0.000172486,-0.0163694,-0.00204163,0.0296327,-0.000198075,-0.0198478,-1.99486,-0.0149038,2.57401,0.325283,-4.53067,0.0297309,0,0,0,0,0,0,0,-0.0257365,0.0577748,-0.0106098,-1.8437,-0.00269467,0.375658,-0.0373538,0.00399776,0.00414004,0.000351104,-0.00202146,-0.00375629,0.00127682,-0.000303682,0,0,0,0,0,0,0,0.0551182,-37.466,0.0366345,27.1017,0.654293,3.22533,-0.0630644,
-0.0258172,0.0578185,-0.0107055,-1.8436,4.77544e-05,0.374259,-0.0373885,-0.00108111,0.0106552,-0.00121925,-0.0119301,0.0402483,0.00221546,-0.000476009,-0.809667,-1.4014,-0.869833,2.7746,26.4312,-17.1358,-0.173709,0,0,0,0,0,0,0,-0.0257365,0.0577748,-0.0106098,-1.8437,-0.00269467,0.375658,-0.0373538,0.00399776,0.00414004,0.000351104,-0.00202146,-0.00375629,0.00127682,-0.000303682,0,0,0,0,0,0,0,0.0551182,-37.466,0.0366345,27.1017,0.654293,3.22533,-0.0630644,
-0.0258673,0.0578196,-0.0107565,-1.84357,0.00205894,0.373195,-0.0373954,-0.00211817,0.00855177,-0.00225131,-0.00862946,0.0824783,-0.0248202,-0.000552395,-0.648162,-1.31465,-0.645042,2.06289,26.3938,-16.8973,-0.0477415,0,0,0,0,0,0,0,-0.0257365,0.0577748,-0.0106098,-1.8437,-0.00269467,0.375658,-0.0373538,0.00399776,0.00414004,0.000351104,-0.00202146,-0.00375629,0.00127682,-0.000303682,0,0,0,0,0,0,0,0.0551182,-37.466,0.0366345,27.1017,0.654293,3.22533,-0.0630644,
-0.025909,0.0578139,-0.0107976,-1.84354,0.00425474,0.371999,-0.0373991,-0.00273578,0.00669864,-0.00282681,-0.00625846,0.120877,-0.0497752,-0.000535305,-0.38601,-1.15821,-0.359682,1.48188,23.9995,-15.5968,0.0106813,0,0,0,0,0,0,0,-0.0257365,0.0580517,-0.0106062,-1.84395,-0.00268725,0.375895,-0.0373548,0.00889599,0.0112626,0.00114495,-0.0199968,-0.00111715,0.0122262,-0.00127502,0.612279,0.890323,0.0992308,-2.24692,0.329892,1.36867,-0.121417,0.0551182,-35.8949,0.0366345,25.5069,0.58746,2.90673,-0.050247,
-0.0259392,0.0578054,-0.0108265,-1.84352,0.00655013,0.370715,-0.0374012,-0.00294414,0.00514743,-0.00298593,-0.00459732,0.154087,-0.0719014,-0.000480871,-0.130223,-0.969502,-0.0994517,1.03821,20.7559,-13.8289,0.0340212,0,0,0,0,0,0,0,-0.0257365,0.0580517,-0.0106062,-1.84395,-0.00268725,0.375895,-0.0373548,0.00889599,0.0112626,0.00114495,-0.0199968,-0.00111715,0.0122262,-0.00127502,0,0,0,0,0,0,0,0.0551182,-35.8949,0.0366345,25.5069,0.58746,2.90673,-0.050247,
-0.0258935,0.0581911,-0.0108092,-1.84334,0.00633178,0.367841,-0.0374646,-0.00468034,0.00478754,-0.00506413,0.00395596,0.261296,-0.180489,-0.00140389,-1.08513,-0.224934,-1.29887,5.3458,67.0054,-67.8671,-0.576887,0,0,0,0,0,0,0,-0.0257365,0.0580517,-0.0106062,-1.84395,-0.00268725,0.375895,-0.0373548,0.00889599,0.0112626,0.00114495,-0.0199968,-0.00111715,0.0122262,-0.00127502,0,0,0,0,0,0,0,0.0551182,-35.8949,0.0366345,25.5069,0.58746,2.90673,-0.050247,
-0.0259648,0.0581574,-0.0108857,-1.84311,0.0130185,0.361828,-0.0374868,-0.00552634,0.00298633,-0.00596379,0.00894497,0.376206,-0.294722,-0.00167667,-0.52875,-1.12576,-0.56229,3.11813,71.8187,-71.3955,-0.17049,0,0,0,0,0,0,0,-0.0257365,0.0580517,-0.0106062,-1.84395,-0.00268725,0.375895,-0.0373548,0.00889599,0.0112626,0.00114495,-0.0199968,-0.00111715,0.0122262,-0.00127502,0,0,0,0,0,0,0,0.0551182,-35.8949,0.0366345,25.5069,0.58746,2.90673,-0.050247,
