Commanded Joint 0 Position,Commanded Joint 1 Position,Commanded Joint 2 Position,Commanded Joint 3 Position,Commanded Joint 4 Position,Commanded Joint 5 Position,Commanded Joint 6 Position,Commanded Joint 0 Velocity,Commanded Joint 1 Velocity,Commanded Joint 2 Velocity,Commanded Joint 3 Velocity,Commanded Joint 4 Velocity,Commanded Joint 5 Velocity,Commanded Joint 6 Velocity,Commanded Joint 0 Acceleration,Commanded Joint 1 Acceleration,Commanded Joint 2 Acceleration,Commanded Joint 3 Acceleration,Commanded Joint 4 Acceleration,Commanded Joint 5 Acceleration,Commanded Joint 6 Acceleration,Commanded Joint 0 Torque,Commanded Joint 1 Torque,Commanded Joint 2 Torque,Commanded Joint 3 Torque,Commanded Joint 4 Torque,Commanded Joint 5 Torque,Commanded Joint 6 Torque,Actual Joint 0 Position,Actual Joint 1 Position,Actual Joint 2 Position,Actual Joint 3 Position,Actual Joint 4 Position,Actual Joint 5 Position,Actual Joint 6 Position,Actual Joint 0 Velocity,Actual Joint 1 Velocity,Actual Joint 2 Velocity,Actual Joint 3 Velocity,Actual Joint 4 Velocity,Actual Joint 5 Velocity,Actual Joint 6 Velocity,Actual Joint 0 Acceleration,Actual Joint 1 Acceleration,Actual Joint 2 Acceleration,Actual Joint 3 Acceleration,Actual Joint 4 Acceleration,Actual Joint 5 Acceleration,Actual Joint 6 Acceleration,Actual Joint 0 Torque,Actual Joint 1 Torque,Actual Joint 2 Torque,Actual Joint 3 Torque,Actual Joint 4 Torque,Actual Joint 5 Torque,Actual Joint 6 Torque,
-0.00763694,-0.0647254,0.0723349,-1.80278,-0.0474624,0.190373,0.0290854,0.000627324,0.0196769,0.000850537,-0.0337993,-0.00296405,0.0532237,-0.000356264,0.392078,12.2981,0.531585,-21.1246,-1.85253,33.2648,-0.222665,0.0532198,22.1414,0.248131,-24.2248,-0.370639,2.04486,-0.02493,-0.00766898,-0.065515,0.0722824,-1.79972,-0.0474105,0.184688,0.0291104,-0.000594828,0.000142923,-0.00234527,2.47006e-05,0.00429582,-0.00196658,-0.000424907,0,0,0,0,0,0,0,-0.0440639,-32.9988,-0.260912,27.2287,0.770565,3.09258,0.14476,
-0.00768567,-0.0655101,0.0722641,-1.79972,-0.0473868,0.18467,0.0291111,0.000406869,0.0157872,0.000577015,-0.0270496,-0.00233624,0.0425116,-0.000281215,-0.137784,-2.4311,-0.170951,4.21857,0.392379,-6.69505,0.0469056,0.0474545,22.582,0.237766,-24.1412,-0.37107,1.79346,-0.0234175,-0.00766898,-0.065515,0.0722824,-1.79972,-0.0474105,0.184688,0.0291104,-0.000594828,0.000142923,-0.00234527,2.47006e-05,0.00429582,-0.00196658,-0.000424907,0,0,0,0,0,0,0,-0.0440639,-32.9988,-0.260912,27.2287,0.770565,3.09258,0.14476,
-0.00768847,-0.0655082,0.0722611,-1.79972,-0.0473877,0.18467,0.0291112,0.000255624,0.0126776,0.000384786,-0.0216483,-0.00189037,0.0339907,-0.000222846,-0.0945285,-1.94349,-0.120143,3.37578,0.278673,-5.3256,0.0364804,0.0402702,23.1564,0.225797,-24.0329,-0.37067,1.44607,-0.0214566,-0.00767237,-0.0654231,0.0722918,-1.79977,-0.0474203,0.18469,0.0291095,-0.00371419,0.00437407,-0.000282352,0.00164385,0.00252419,-0.00112278,0.000564365,-0.38992,0.528894,0.257865,0.202394,-0.221454,0.105475,0.123659,-0.0202602,-32.6259,-0.360094,27.0541,0.825497,3.07244,0.124619,
-0.00769057,-0.0655063,0.0722587,-1.79972,-0.0473894,0.18467,0.0291112,0.000151894,0.0101909,0.000249143,-0.0173255,-0.00155584,0.0272082,-0.000177146,-0.0648309,-1.5542,-0.0847772,2.70176,0.209077,-4.23904,0.0285623,0.0343466,23.6804,0.216388,-23.8651,-0.368825,1.06041,-0.0194583,-0.00767237,-0.0654231,0.0722918,-1.79977,-0.0474203,0.18469,0.0291095,-0.00371419,0.00437407,-0.000282352,0.00164385,0.00252419,-0.00112278,0.000564365,0,0,0,0,0,0,0,-0.0202602,-32.6259,-0.360094,27.0541,0.825497,3.07244,0.124619,
-0.00769218,-0.0655043,0.0722569,-1.79972,-0.0473913,0.184672,0.0291113,8.11714e-05,0.00820162,0.000153417,-0.0138654,-0.00129316,0.0218066,-0.000141189,-0.0442018,-1.24328,-0.0598286,2.16255,0.164179,-3.37598,0.0224735,0.0321149,24.0033,0.212195,-23.6007,-0.364243,0.687093,-0.0177399,-0.00767237,-0.0654231,0.0722918,-1.79977,-0.0474203,0.18469,0.0291095,-0.00371419,0.00437407,-0.000282352,0.00164385,0.00252419,-0.00112278,0.000564365,0,0,0,0,0,0,0,-0.0202602,-32.6259,-0.360094,27.0541,0.825497,3.07244,0.124619,
-0.0078041,-0.0653842,0.0721693,-1.79972,-0.0451456,0.183806,0.0290923,-0.00168218,0.0069169,-0.00156496,-0.0104249,0.0337512,0.00377644,-0.000268307,-1.1021,-0.802946,-1.07398,2.15033,21.9027,-11.2689,-0.0794488,0.474385,0.167694,0.472696,-0.229139,2.96735,-1.29856,-0.00121504,-0.00767237,-0.0654231,0.0722918,-1.79977,-0.0474203,0.18469,0.0291095,-0.00371419,0.00437407,-0.000282352,0.00164385,0.00252419,-0.00112278,0.000564365,0,0,0,0,0,0,0,-0.0202602,-32.6259,-0.360094,27.0541,0.825497,3.07244,0.124619,
-0.00786779,-0.0653766,0.0721058,-1.7997,-0.0434525,0.18312,0.0290891,-0.00293804,0.00572535,-0.00283926,-0.00785132,0.069329,-0.0141338,-0.000294195,-0.78491,-0.744718,-0.796439,1.60848,22.2361,-11.1939,-0.0161799,0.466315,0.18533,0.463207,-0.228182,2.94108,-1.28739,-0.00115439,-0.00766483,-0.0650044,0.0722888,-1.80009,-0.0474763,0.185735,0.0291159,0.000964427,0.0406641,-0.00166977,-0.0399308,-0.0127243,0.129123,0.000636961,0.584827,4.53625,-0.173427,-5.19684,-1.90607,16.2807,0.00907452,-0.0718349,-27.4089,-0.237108,22.345,0.6488,3.3178,0.0843355,
-0.00791946,-0.0653722,0.0720534,-1.79968,-0.041579,0.182341,0.0290876,-0.00364206,0.00468998,-0.00358311,-0.0059736,0.102301,-0.0307896,-0.000274896,-0.440013,-0.647108,-0.464907,1.17357,20.6078,-10.4098,0.0120617,0.459452,0.184073,0.456153,-0.226061,2.91577,-1.27595,-0.00113616,-0.00766483,-0.0650044,0.0722888,-1.80009,-0.0474763,0.185735,0.0291159,0.000964427,0.0406641,-0.00166977,-0.0399308,-0.0127243,0.129123,0.000636961,0,0,0,0,0,0,0,-0.0718349,-27.4089,-0.237108,22.345,0.6488,3.3178,0.0843355,
-0.00795757,-0.0653689,0.0720141,-1.79968,-0.0395976,0.1815,0.0290868,-0.00386645,0.00383347,-0.003849,-0.00463005,0.131377,-0.045653,-0.000239469,-0.140243,-0.535322,-0.166182,0.839717,18.172,-9.28964,0.0221422,0.4529,0.183262,0.449391,-0.22378,2.89052,-1.26439,-0.00112803,-0.00766483,-0.0650044,0.0722888,-1.80009,-0.0474763,0.185735,0.0291159,0.000964427,0.0406641,-0.00166977,-0.0399308,-0.0127243,0.129123,0.000636961,0,0,0,0,0,0,0,-0.0718349,-27.4089,-0.237108,22.345,0.6488,3.3178,0.0843355,
-0.00798362,-0.0644852,0.072011,-1.80009,-0.0392059,0.182819,0.029058,-0.00732405,0.00851437,-0.00696663,-0.00330186,0.233174,-0.0867332,-0.00069778,-2.161,2.92557,-1.94852,0.830122,63.6234,-25.6751,-0.286445,3.79295,0.832149,3.8411,-1.59371,11.2005,-5.51833,3.38961e-05,-0.00766483,-0.0650044,0.0722888,-1.80009,-0.0474763,0.185735,0.0291159,0.000964427,0.0406641,-0.00166977,-0.0399308,-0.0127243,0.129123,0.000636961,0,0,0,0,0,0,0,-0.0718349,-27.4089,-0.237108,22.345,0.6488,3.3178,0.0843355,
