Commanded Joint 0 Position,Commanded Joint 1 Position,Commanded Joint 2 Position,Commanded Joint 3 Position,Commanded Joint 4 Position,Commanded Joint 5 Position,Commanded Joint 6 Position,Commanded Joint 0 Velocity,Commanded Joint 1 Velocity,Commanded Joint 2 Velocity,Commanded Joint 3 Velocity,Commanded Joint 4 Velocity,Commanded Joint 5 Velocity,Commanded Joint 6 Velocity,Commanded Joint 0 Acceleration,Commanded Joint 1 Acceleration,Commanded Joint 2 Acceleration,Commanded Joint 3 Acceleration,Commanded Joint 4 Acceleration,Commanded Joint 5 Acceleration,Commanded Joint 6 Acceleration,Commanded Joint 0 Torque,Commanded Joint 1 Torque,Commanded Joint 2 Torque,Commanded Joint 3 Torque,Commanded Joint 4 Torque,Commanded Joint 5 Torque,Commanded Joint 6 Torque,Actual Joint 0 Position,Actual Joint 1 Position,Actual Joint 2 Position,Actual Joint 3 Position,Actual Joint 4 Position,Actual Joint 5 Position,Actual Joint 6 Position,Actual Joint 0 Velocity,Actual Joint 1 Velocity,Actual Joint 2 Velocity,Actual Joint 3 Velocity,Actual Joint 4 Velocity,Actual Joint 5 Velocity,Actual Joint 6 Velocity,Actual Joint 0 Acceleration,Actual Joint 1 Acceleration,Actual Joint 2 Acceleration,Actual Joint 3 Acceleration,Actual Joint 4 Acceleration,Actual Joint 5 Acceleration,Actual Joint 6 Acceleration,Actual Joint 0 Torque,Actual Joint 1 Torque,Actual Joint 2 Torque,Actual Joint 3 Torque,Actual Joint 4 Torque,Actual Joint 5 Torque,Actual Joint 6 Torque,
0.0447742,0.0574244,-0.0402701,-1.56963,-0.0174495,0.0790663,-0.0188577,0.000317833,0.0221254,0.000305061,-0.0313618,-0.002671,0.0495036,-0.000368756,0.198646,13.8284,0.190663,-19.6011,-1.66938,30.9397,-0.230472,0.0593984,25.8776,0.0727018,-23.8557,-0.489902,1.96508,-0.0248793,0.0447389,0.0560535,-0.040312,-1.56651,-0.0172838,0.0738642,-0.0188156,-3.83841e-05,0.000592386,-0.00106439,-0.000675829,-0.00471846,0.00522038,0.000500065,0,0,0,0,0,0,0,0.0313145,-36.8431,0.139784,26.6296,0.800778,2.90673,0.050461,
0.0447277,0.0560657,-0.0403232,-1.56651,-0.017344,0.0739188,-0.0188155,0.00017082,0.0177796,0.000162774,-0.0250926,-0.00249116,0.0398993,-0.000295127,-0.0918829,-2.71612,-0.0889296,3.91822,0.112405,-6.0027,0.0460181,0.0536427,26.318,0.062362,-23.7722,-0.490499,1.71445,-0.0233617,0.0447389,0.0560535,-0.040312,-1.56651,-0.0172838,0.0738642,-0.0188156,-3.83841e-05,0.000592386,-0.00106439,-0.000675829,-0.00471846,0.00522038,0.000500065,0,0,0,0,0,0,0,0.0313145,-36.8431,0.139784,26.6296,0.800778,2.90673,0.050461,
0.0447248,0.0560682,-0.040326,-1.56651,-0.0173546,0.0739272,-0.0188155,6.50637e-05,0.0142866,6.08358e-05,-0.0200776,-0.00225957,0.0321276,-0.000235926,-0.0660979,-2.18315,-0.0637113,3.13442,0.144742,-4.85727,0.0370001,0.0463915,26.8915,0.0506315,-23.6642,-0.490262,1.36764,-0.021397,0.0447453,0.0561165,-0.0403123,-1.56656,-0.0172785,0.0738657,-0.0188191,0.000616868,0.000362625,0.000624918,-0.0011982,-0.00751665,0.00219512,-0.000660278,0.0819065,-0.0287202,0.211164,-0.0652962,-0.349774,-0.378159,-0.145043,0.0313145,-36.8153,0.112013,26.6296,0.752255,2.89391,0.0779268,
0.0447224,0.0560703,-0.0403283,-1.56651,-0.0173628,0.0739331,-0.0188155,-8.46459e-06,0.0114804,-9.75939e-06,-0.0160658,-0.00201162,0.0258508,-0.000188439,-0.0459552,-1.75384,-0.044122,2.50735,0.154966,-3.92303,0.0296794,0.0404279,27.4153,0.0411874,-23.4965,-0.48852,0.982709,-0.019395,0.0447453,0.0561165,-0.0403123,-1.56656,-0.0172785,0.0738657,-0.0188191,0.000616868,0.000362625,0.000624918,-0.0011982,-0.00751665,0.00219512,-0.000660278,0,0,0,0,0,0,0,0.0313145,-36.8153,0.112013,26.6296,0.752255,2.89391,0.0779268,
0.0446326,0.0561447,-0.0404372,-1.56648,-0.015047,0.0727542,-0.0188326,-0.00167163,0.00944993,-0.00175301,-0.0119484,0.0329934,0.00347056,-0.00026766,-1.03948,-1.26907,-1.08953,2.57339,21.8781,-13.9876,-0.0495126,0.514532,0.152799,0.510692,-0.260827,3.06846,-1.65049,-0.00115952,0.0447453,0.0561165,-0.0403123,-1.56656,-0.0172785,0.0738657,-0.0188191,0.000616868,0.000362625,0.000624918,-0.0011982,-0.00751665,0.00219512,-0.000660278,0,0,0,0,0,0,0,0.0313145,-36.8153,0.112013,26.6296,0.752255,2.89391,0.0779268,
0.0445657,0.0561486,-0.0405044,-1.56646,-0.0133425,0.07189,-0.0188348,-0.00301005,0.00765732,-0.00308101,-0.00893118,0.0690072,-0.0188278,-0.000269451,-0.836513,-1.12038,-0.83,1.88576,22.5086,-13.9365,-0.00111982,0.508445,0.152397,0.504686,-0.258248,3.04107,-1.63555,-0.00111323,0.0447453,0.0561165,-0.0403123,-1.56656,-0.0172785,0.0738657,-0.0188191,0.000616868,0.000362625,0.000624918,-0.0011982,-0.00751665,0.00219512,-0.000660278,0,0,0,0,0,0,0,0.0313145,-36.8153,0.112013,26.6296,0.752255,2.89391,0.0779268,
0.0445077,0.0561486,-0.0405612,-1.56644,-0.011445,0.0709074,-0.0188357,-0.00385675,0.00612525,-0.00388585,-0.0067666,0.102644,-0.0396281,-0.000238909,-0.529187,-0.957547,-0.503028,1.35286,21.0229,-13.0002,0.0190886,0.501302,0.178172,0.497782,-0.262273,3.01439,-1.62252,-0.00106123,0.0447349,0.0565116,-0.0403105,-1.56717,-0.0172836,0.0757604,-0.0188165,0.000232905,0.0337933,0.00085317,-0.0664787,-0.0066012,0.169714,-0.00019711,-0.0479954,4.17883,0.0285314,-8.16007,0.114432,20.9399,0.057896,0.134464,-30.0551,0.238966,20.8255,0.538937,2.82067,0.0577852,
0.0444622,0.0561469,-0.0406051,-1.56643,-0.00943065,0.0698457,-0.018836,-0.00422263,0.00485936,-0.00420624,-0.00523422,0.132474,-0.0582451,-0.000199157,-0.228676,-0.79118,-0.200244,0.957735,18.6437,-11.6356,0.0248453,0.494725,0.177698,0.491321,-0.259485,2.98811,-1.60765,-0.00104131,0.0447349,0.0565116,-0.0403105,-1.56717,-0.0172836,0.0757604,-0.0188165,0.000232905,0.0337933,0.00085317,-0.0664787,-0.0066012,0.169714,-0.00019711,0,0,0,0,0,0,0,0.134464,-30.0551,0.238966,20.8255,0.538937,2.82067,0.0577852,
0.0444546,0.057179,-0.0406316,-1.56704,-0.00937269,0.0709337,-0.0188524,-0.00735843,0.0111305,-0.00765296,-0.00201988,0.228508,-0.127236,-0.000447441,-1.95987,3.91946,-2.1542,2.00896,60.0214,-43.1191,-0.155177,4.29679,1.40854,4.22121,-1.93537,11.0635,-8.58741,0.00151559,0.0447349,0.0565116,-0.0403105,-1.56717,-0.0172836,0.0757604,-0.0188165,0.000232905,0.0337933,0.00085317,-0.0664787,-0.0066012,0.169714,-0.00019711,0,0,0,0,0,0,0,0.134464,-30.0551,0.238966,20.8255,0.538937,2.82067,0.0577852,
0.0443137,0.0573872,-0.0407766,-1.567,-0.00328936,0.0666861,-0.0188556,-0.00940981,0.0141093,-0.00974922,-0.000615881,0.33489,-0.207979,-0.000438371,-1.28212,1.86177,-1.31017,0.877499,66.4886,-50.4644,0.00566858,4.17835,1.40169,4.08975,-1.89741,11.0635,-8.43917,0.00196622,0.0447349,0.0565116,-0.0403105,-1.56717,-0.0172836,0.0757604,-0.0188165,0.000232905,0.0337933,0.00085317,-0.0664787,-0.0066012,0.169714,-0.00019711,0,0,0,0,0,0,0,0.134464,-30.0551,0.238966,20.8255,0.538937,2.82067,0.0577852,
