Commanded Joint 0 Position,Commanded Joint 1 Position,Commanded Joint 2 Position,Commanded Joint 3 Position,Commanded Joint 4 Position,Commanded Joint 5 Position,Commanded Joint 6 Position,Commanded Joint 0 Velocity,Commanded Joint 1 Velocity,Commanded Joint 2 Velocity,Commanded Joint 3 Velocity,Commanded Joint 4 Velocity,Commanded Joint 5 Velocity,Commanded Joint 6 Velocity,Commanded Joint 0 Acceleration,Commanded Joint 1 Acceleration,Commanded Joint 2 Acceleration,Commanded Joint 3 Acceleration,Commanded Joint 4 Acceleration,Commanded Joint 5 Acceleration,Commanded Joint 6 Acceleration,Commanded Joint 0 Torque,Commanded Joint 1 Torque,Commanded Joint 2 Torque,Commanded Joint 3 Torque,Commanded Joint 4 Torque,Commanded Joint 5 Torque,Commanded Joint 6 Torque,Actual Joint 0 Position,Actual Joint 1 Position,Actual Joint 2 Position,Actual Joint 3 Position,Actual Joint 4 Position,Actual Joint 5 Position,Actual Joint 6 Position,Actual Joint 0 Velocity,Actual Joint 1 Velocity,Actual Joint 2 Velocity,Actual Joint 3 Velocity,Actual Joint 4 Velocity,Actual Joint 5 Velocity,Actual Joint 6 Velocity,Actual Joint 0 Acceleration,Actual Joint 1 Acceleration,Actual Joint 2 Acceleration,Actual Joint 3 Acceleration,Actual Joint 4 Acceleration,Actual Joint 5 Acceleration,Actual Joint 6 Acceleration,Actual Joint 0 Torque,Actual Joint 1 Torque,Actual Joint 2 Torque,Actual Joint 3 Torque,Actual Joint 4 Torque,Actual Joint 5 Torque,Actual Joint 6 Torque,
0.0671477,0.0119452,-0.0715912,-1.85021,-0.0192589,0.32941,0.0374467,0.000143139,0.0233632,0.000125145,-0.0328645,-0.00333808,0.0562025,-0.000385157,0.0894619,14.602,0.0782156,-20.5403,-2.0863,35.1266,-0.240723,0.0589781,24.9569,0.0711913,-24.4203,-0.502912,1.92336,-0.0245456,0.0671496,0.0109006,-0.071543,-1.84729,-0.0190759,0.323416,0.0375072,0.000661958,0.00168438,0.00075321,0.00272927,-0.00584337,0.000120226,-0.000316759,0,0,0,0,0,0,0,-0.119442,-36.1687,-0.33629,27.3993,0.893246,3.02025,-0.103348,
0.0671557,0.0109109,-0.0715369,-1.84728,-0.0191185,0.323456,0.037506,0.00014148,0.0187459,0.000128189,-0.0262612,-0.00282823,0.045251,-0.000312629,-0.00103683,-2.88579,0.00190226,4.12707,0.318652,-6.84472,0.0453298,0.0532103,25.3974,0.0608374,-24.3367,-0.503418,1.67246,-0.0230264,0.0671496,0.0109006,-0.071543,-1.84729,-0.0190759,0.323416,0.0375072,0.000661958,0.00168438,0.00075321,0.00272927,-0.00584337,0.000120226,-0.000316759,0,0,0,0,0,0,0,-0.119442,-36.1687,-0.33629,27.3993,0.893246,3.02025,-0.103348,
0.0671563,0.0109127,-0.0715362,-1.84728,-0.0191215,0.323466,0.0375059,0.000129694,0.0150436,0.000120522,-0.0209848,-0.00233903,0.0364367,-0.000252867,-0.00736627,-2.31394,-0.00479163,3.29774,0.305751,-5.5089,0.0373517,0.0459699,25.9689,0.0490725,-24.2287,-0.503033,1.32492,-0.0210569,0.0671496,0.0109006,-0.071543,-1.84729,-0.0190759,0.323416,0.0375072,0.000661958,0.00168438,0.00075321,0.00272927,-0.00584337,0.000120226,-0.000316759,0,0,0,0,0,0,0,-0.119442,-36.1687,-0.33629,27.3993,0.893246,3.02025,-0.103348,
0.0671567,0.0109144,-0.0715357,-1.84728,-0.0191229,0.323473,0.0375058,0.000114226,0.0120772,0.000108552,-0.0167666,-0.00190401,0.0293467,-0.000204122,-0.00966736,-1.85403,-0.00748091,2.63635,0.271888,-4.43126,0.0304657,0.0399916,26.4957,0.0397583,-24.06,-0.501038,0.940602,-0.0190602,0.0671503,0.0110139,-0.0715415,-1.84736,-0.0190801,0.323417,0.0375012,0.00112649,0.00286096,0.00100892,-0.0020341,-0.00804359,0.000703677,-0.000875944,0.058066,0.147073,0.0319641,-0.595421,-0.275028,0.0729314,-0.0698981,-0.0956386,-36.1449,-0.312487,27.3001,0.91705,3.01293,-0.0767973,
0.0671619,0.011483,-0.0715309,-1.84791,-0.0192585,0.323733,0.0375053,0.000381293,0.0213893,0.000351307,-0.0270873,-0.00598541,0.0313816,-6.17277e-05,0.166917,5.82011,0.151721,-6.45043,-2.55087,1.27179,0.0889962,-1.97926e-06,31.1199,0.0138394,-23.3246,-0.912464,-2.28902,0.000871296,0.0671503,0.0110139,-0.0715415,-1.84736,-0.0190801,0.323417,0.0375012,0.00112649,0.00286096,0.00100892,-0.0020341,-0.00804359,0.000703677,-0.000875944,0,0,0,0,0,0,0,-0.0956386,-36.1449,-0.312487,27.3001,0.91705,3.01293,-0.0767973,
0.0671234,0.0119182,-0.0715718,-1.84815,-0.0184055,0.32322,0.0374865,-0.000657813,0.0279919,-0.000741289,-0.0277097,0.016538,0.0122751,-0.000518366,-0.649442,4.12663,-0.682872,-0.38897,14.0771,-11.9415,-0.285399,0.517437,0.137939,0.519729,-0.239639,3.13801,-1.58858,-0.00156017,0.0671503,0.0110139,-0.0715415,-1.84736,-0.0190801,0.323417,0.0375012,0.00112649,0.00286096,0.00100892,-0.0020341,-0.00804359,0.000703677,-0.000875944,0,0,0,0,0,0,0,-0.0956386,-36.1449,-0.312487,27.3001,0.91705,3.01293,-0.0767973,
0.0670682,0.0122628,-0.0716274,-1.84831,-0.0169523,0.322337,0.0374749,-0.00190635,0.0310085,-0.00198431,-0.0261461,0.049561,-0.0122487,-0.000705046,-0.780336,1.88537,-0.776888,0.97725,20.6394,-15.3274,-0.116675,0.511082,0.135814,0.513473,-0.236997,3.11077,-1.57473,-0.00151539,0.0671503,0.0110139,-0.0715415,-1.84736,-0.0190801,0.323417,0.0375012,0.00112649,0.00286096,0.00100892,-0.0020341,-0.00804359,0.000703677,-0.000875944,0,0,0,0,0,0,0,-0.0956386,-36.1449,-0.312487,27.3001,0.91705,3.01293,-0.0767973,
0.0670142,0.012528,-0.071681,-1.84844,-0.0151525,0.321261,0.0374683,-0.00287597,0.031436,-0.00292661,-0.0240756,0.0846421,-0.0367039,-0.000728104,-0.606011,0.267185,-0.58894,1.29407,21.9257,-15.2845,-0.0144111,0.505356,0.206101,0.509472,-0.211211,3.0857,-1.54726,-0.00156438,0.0671256,0.0123433,-0.0715696,-1.849,-0.0190346,0.326652,0.0375061,0.000733364,0.114786,-0.00652186,-0.164827,-0.00645976,0.280468,0.000332434,-0.0491403,13.9906,-0.941347,-20.3491,0.197979,34.9706,0.151047,0.25745,-15.4793,0.0882092,7.72156,0.288082,0.951163,-0.103348,
0.0671224,0.013684,-0.0715731,-1.8501,-0.0193357,0.327705,0.0375119,-0.00237995,0.0586648,-0.00242784,-0.0467849,0.0601868,-0.00304082,-0.000438265,0.310014,17.018,0.311732,-14.1933,-15.2845,21.0394,0.18115,0.000431423,31.1927,0.0159644,-23.3011,-0.910416,-2.27545,0.000806172,0.0671256,0.0123433,-0.0715696,-1.849,-0.0190346,0.326652,0.0375061,0.000733364,0.114786,-0.00652186,-0.164827,-0.00645976,0.280468,0.000332434,0,0,0,0,0,0,0,0.25745,-15.4793,0.0882092,7.72156,0.288082,0.951163,-0.103348,
0.0670091,0.0148298,-0.0716935,-1.85047,-0.0161935,0.325366,0.0374483,-0.004737,0.075578,-0.00495325,-0.0465637,0.126705,-0.0609216,-0.00193993,-1.47316,10.5708,-1.57838,0.138253,41.5736,-36.1755,-0.938541,4.29856,0.728261,4.29721,-1.69542,11.0896,-8.94999,-0.00723774,0.0671256,0.0123433,-0.0715696,-1.849,-0.0190346,0.326652,0.0375061,0.000733364,0.114786,-0.00652186,-0.164827,-0.00645976,0.280468,0.000332434,0,0,0,0,0,0,0,0.25745,-15.4793,0.0882092,7.72156,0.288082,0.951163,-0.103348,
