Commanded Joint 0 Position,Commanded Joint 1 Position,Commanded Joint 2 Position,Commanded Joint 3 Position,Commanded Joint 4 Position,Commanded Joint 5 Position,Commanded Joint 6 Position,Commanded Joint 0 Velocity,Commanded Joint 1 Velocity,Commanded Joint 2 Velocity,Commanded Joint 3 Velocity,Commanded Joint 4 Velocity,Commanded Joint 5 Velocity,Commanded Joint 6 Velocity,Commanded Joint 0 Acceleration,Commanded Joint 1 Acceleration,Commanded Joint 2 Acceleration,Commanded Joint 3 Acceleration,Commanded Joint 4 Acceleration,Commanded Joint 5 Acceleration,Commanded Joint 6 Acceleration,Commanded Joint 0 Torque,Commanded Joint 1 Torque,Commanded Joint 2 Torque,Commanded Joint 3 Torque,Commanded Joint 4 Torque,Commanded Joint 5 Torque,Commanded Joint 6 Torque,Actual Joint 0 Position,Actual Joint 1 Position,Actual Joint 2 Position,Actual Joint 3 Position,Actual Joint 4 Position,Actual Joint 5 Position,Actual Joint 6 Position,Actual Joint 0 Velocity,Actual Joint 1 Velocity,Actual Joint 2 Velocity,Actual Joint 3 Velocity,Actual Joint 4 Velocity,Actual Joint 5 Velocity,Actual Joint 6 Velocity,Actual Joint 0 Acceleration,Actual Joint 1 Acceleration,Actual Joint 2 Acceleration,Actual Joint 3 Acceleration,Actual Joint 4 Acceleration,Actual Joint 5 Acceleration,Actual Joint 6 Acceleration,Actual Joint 0 Torque,Actual Joint 1 Torque,Actual Joint 2 Torque,Actual Joint 3 Torque,Actual Joint 4 Torque,Actual Joint 5 Torque,Actual Joint 6 Torque,
-0.0151046,0.00717724,0.00797378,-1.72716,-0.0128527,0.209121,0.0155725,0.000400473,0.021778,0.000356168,-0.0325724,-0.00378048,0.0519867,-0.000361654,0.250295,13.6112,0.222605,-20.3577,-2.3628,32.4917,-0.226034,0.059467,24.7152,0.050315,-24.3305,-0.538237,1.86321,-0.0243188,-0.0151215,0.00608706,0.00799703,-1.72395,-0.0126894,0.203597,0.0156145,0.000915132,6.16934e-05,0.000298536,-0.00021199,-0.0069292,6.01946e-05,-0.00103902,0,0,0,0,0,0,0,0.0313145,-35.645,-0.213304,27.0779,0.9967,2.98638,0.0303194,
-0.0151179,0.00609134,0.00800024,-1.72396,-0.0127494,0.2036,0.0156134,0.000326807,0.0174623,0.000289303,-0.0260667,-0.00328518,0.0416243,-0.000292673,-0.0460409,-2.69729,-0.0417901,4.06604,0.309565,-6.47647,0.0431135,0.0536492,25.1581,0.039806,-24.2467,-0.538638,1.61308,-0.0228059,-0.0151214,0.00616659,0.00799821,-1.72399,-0.012686,0.203596,0.0156159,0.000514593,0.00171621,0.000906758,-0.00595998,-0.00567049,0.000584606,-0.000136962,-0.0500673,0.206815,0.0760277,-0.718498,0.157339,0.0655514,0.112757,0.0313145,-35.518,-0.260912,27.0026,1.0086,2.9937,0.017502,
-0.015118,0.00609297,0.00800009,-1.72396,-0.0127555,0.203601,0.0156133,0.000259386,0.0140106,0.000227657,-0.0208593,-0.00278014,0.033341,-0.000236079,-0.0421387,-2.1573,-0.0385291,3.25465,0.315645,-5.17708,0.0353706,0.0463782,25.7296,0.0280228,-24.1387,-0.53823,1.26577,-0.020838,-0.0151214,0.00616659,0.00799821,-1.72399,-0.012686,0.203596,0.0156159,0.000514593,0.00171621,0.000906758,-0.00595998,-0.00567049,0.000584606,-0.000136962,0,0,0,0,0,0,0,0.0313145,-35.518,-0.260912,27.0026,1.0086,2.9937,0.017502,
-0.0151182,0.0060946,0.0079998,-1.72396,-0.0127591,0.203603,0.0156133,0.0002018,0.0112492,0.000174864,-0.0166913,-0.00231329,0.0267194,-0.000190047,-0.0359908,-1.72586,-0.0329955,2.60498,0.291783,-4.13847,0.0287702,0.0403964,26.2534,0.0185572,-23.9709,-0.53633,0.880851,-0.0188369,-0.0151214,0.00616659,0.00799821,-1.72399,-0.012686,0.203596,0.0156159,0.000514593,0.00171621,0.000906758,-0.00595998,-0.00567049,0.000584606,-0.000136962,0,0,0,0,0,0,0,0.0313145,-35.518,-0.260912,27.0026,1.0086,2.9937,0.017502,
-0.0151016,0.00659915,0.00801678,-1.72455,-0.0128782,0.203794,0.0156217,0.000655667,0.0198133,0.000604312,-0.027386,-0.00665611,0.0263176,-8.50895e-06,0.283667,5.35253,0.268405,-6.6842,-2.71426,-0.251115,0.113461,-1.78751e-06,30.8735,-0.00747847,-23.2333,-0.960382,-2.32719,0.00109257,-0.0151214,0.00616659,0.00799821,-1.72399,-0.012686,0.203596,0.0156159,0.000514593,0.00171621,0.000906758,-0.00595998,-0.00567049,0.000584606,-0.000136962,0,0,0,0,0,0,0,0.0313145,-35.518,-0.260912,27.0026,1.0086,2.9937,0.017502,
-0.0151427,0.00702279,0.00797299,-1.72479,-0.0120321,0.203186,0.0156067,-0.000502271,0.0264418,-0.000611266,-0.0279553,0.0158281,0.00586033,-0.000382156,-0.723711,4.1428,-0.759736,-0.35583,14.0526,-12.7858,-0.233529,0.502579,0.210719,0.499873,-0.257843,3.3053,-1.73695,-0.00138618,-0.0151336,0.00694334,0.00799246,-1.72498,-0.0126639,0.205774,0.0156175,-0.000425062,0.0828168,0.0010699,-0.122014,-0.00448497,0.231305,0.000352402,-0.117457,10.1376,0.0203928,-14.5067,0.148189,28.8401,0.0611706,0.233646,-19.8195,-0.137926,11.7841,0.514218,1.72661,0.00376909,
-0.0152073,0.0073661,0.00790746,-1.72495,-0.0105646,0.20222,0.0155971,-0.00201541,0.0297362,-0.0021273,-0.0263687,0.04935,-0.019462,-0.000544264,-0.945713,2.05898,-0.947519,0.99166,20.9512,-15.8265,-0.101317,0.496081,0.206235,0.493765,-0.256267,3.27868,-1.72207,-0.00147069,-0.0151336,0.00694334,0.00799246,-1.72498,-0.0126639,0.205774,0.0156175,-0.000425062,0.0828168,0.0010699,-0.122014,-0.00448497,0.231305,0.000352402,0,0,0,0,0,0,0,0.233646,-19.8195,-0.137926,11.7841,0.514218,1.72661,0.00376909,
-0.0152738,0.00763567,0.00784075,-1.72508,-0.00873,0.201062,0.0155917,-0.00327604,0.0305282,-0.00336964,-0.0243018,0.0853437,-0.0445196,-0.000569877,-0.787891,0.495047,-0.776465,1.2918,22.4961,-15.661,-0.0160081,0.490821,0.203253,0.488718,-0.254583,3.24986,-1.70645,-0.00147093,-0.0151336,0.00694334,0.00799246,-1.72498,-0.0126639,0.205774,0.0156175,-0.000425062,0.0828168,0.0010699,-0.122014,-0.00448497,0.231305,0.000352402,0,0,0,0,0,0,0,0.233646,-19.8195,-0.137926,11.7841,0.514218,1.72661,0.00376909,
-0.0151104,0.00802348,0.00801463,-1.72593,-0.0129303,0.206709,0.0156227,-0.00204107,0.0514262,-0.00214141,-0.0429783,0.0616171,-0.0122363,-0.00032501,0.771856,13.0612,0.767646,-11.6728,-14.8291,20.177,0.153042,-0.00208853,30.9194,-0.0105051,-23.2266,-0.960039,-2.32059,0.00106355,-0.0151336,0.00694334,0.00799246,-1.72498,-0.0126639,0.205774,0.0156175,-0.000425062,0.0828168,0.0010699,-0.122014,-0.00448497,0.231305,0.000352402,0,0,0,0,0,0,0,0.233646,-19.8195,-0.137926,11.7841,0.514218,1.72661,0.00376909,
-0.0152213,0.00899623,0.00789628,-1.72617,-0.00994775,0.204218,0.015574,-0.00440683,0.0654596,-0.00467181,-0.0405566,0.123856,-0.0720601,-0.00147776,-1.4786,8.77088,-1.58151,1.51359,38.8995,-37.3898,-0.72047,4.22426,1.27203,4.20413,-2.00824,11.0415,-9.872,-0.00681986,-0.0150913,0.0119778,0.00808604,-1.7309,-0.0123888,0.210604,0.0156159,-0.00186611,0.17274,0.00685093,-0.148297,0.117517,-0.0423033,-0.000409706,-0.180131,11.2404,0.722628,-3.28548,15.2502,-34.2011,-0.0952635,0.00751081,-19.9187,-0.237108,20.9247,1.63757,1.81267,0.017502,
