Commanded Joint 0 Position,Commanded Joint 1 Position,Commanded Joint 2 Position,Commanded Joint 3 Position,Commanded Joint 4 Position,Commanded Joint 5 Position,Commanded Joint 6 Position,Commanded Joint 0 Velocity,Commanded Joint 1 Velocity,Commanded Joint 2 Velocity,Commanded Joint 3 Velocity,Commanded Joint 4 Velocity,Commanded Joint 5 Velocity,Commanded Joint 6 Velocity,Commanded Joint 0 Acceleration,Commanded Joint 1 Acceleration,Commanded Joint 2 Acceleration,Commanded Joint 3 Acceleration,Commanded Joint 4 Acceleration,Commanded Joint 5 Acceleration,Commanded Joint 6 Acceleration,Commanded Joint 0 Torque,Commanded Joint 1 Torque,Commanded Joint 2 Torque,Commanded Joint 3 Torque,Commanded Joint 4 Torque,Commanded Joint 5 Torque,Commanded Joint 6 Torque,Actual Joint 0 Position,Actual Joint 1 Position,Actual Joint 2 Position,Actual Joint 3 Position,Actual Joint 4 Position,Actual Joint 5 Position,Actual Joint 6 Position,Actual Joint 0 Velocity,Actual Joint 1 Velocity,Actual Joint 2 Velocity,Actual Joint 3 Velocity,Actual Joint 4 Velocity,Actual Joint 5 Velocity,Actual Joint 6 Velocity,Actual Joint 0 Acceleration,Actual Joint 1 Acceleration,Actual Joint 2 Acceleration,Actual Joint 3 Acceleration,Actual Joint 4 Acceleration,Actual Joint 5 Acceleration,Actual Joint 6 Acceleration,Actual Joint 0 Torque,Actual Joint 1 Torque,Actual Joint 2 Torque,Actual Joint 3 Torque,Actual Joint 4 Torque,Actual Joint 5 Torque,Actual Joint 6 Torque,
0.000631073,-0.0113616,0.000697015,-0.0422128,-0.0137669,-1.56816,-0.787149,0.00582309,-0.122737,0.00620517,-0.499062,-0.169976,0.065479,-0.0204692,3.63943,-76.7108,3.87823,-311.914,-106.235,40.9244,-12.7933,0,0,0,0,0,0,0,0,0,0,0,0,-1.5708,-0.785398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.000646464,-0.0111157,0.000670338,-0.0423071,-0.0138803,-1.56816,-0.787144,0.0105089,-0.218014,0.0109321,-0.899332,-0.306833,0.117863,-0.0368238,2.92861,-59.5482,2.95431,-250.169,-85.536,32.74,-10.2216,0,0,0,0,0,0,0,0,0,0,0,0,-1.5708,-0.785398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.00084743,-0.0162135,0.000873529,-0.0666888,-0.0219046,-1.56339,-0.788214,0.0134312,-0.301855,0.0138254,-1.32901,-0.446075,0.213496,-0.0562189,1.82649,-52.4005,1.80835,-268.547,-87.0261,59.7707,-12.122,0,0,0,0,0,0,0,0,0,0,0,0,-1.5708,-0.785398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.00101223,-0.0212101,0.00103862,-0.0943841,-0.0304762,-1.55668,-0.789536,0.014865,-0.3664,0.0151875,-1.75559,-0.571149,0.338578,-0.0780372,0.896084,-40.3405,0.851316,-266.613,-78.1715,78.1759,-13.6364,0,0,0,0,0,0,0,0,0,0,0,0,-1.5708,-0.785398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.0011468,-0.0258258,0.00117207,-0.124422,-0.0392721,-1.54836,-0.791074,0.0152563,-0.408513,0.0154864,-2.15541,-0.676816,0.478924,-0.100859,0.244548,-26.3203,0.186775,-249.886,-66.0415,87.7165,-14.2634,0,0,0,0,0,0,0,0,0,0,0,0,-1.5708,-0.785398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.000185408,-0.00231889,0.000197796,-0.00782318,-0.00227426,-1.5714,-0.785737,0.0168402,-0.384782,0.017334,-1.9199,-0.598309,0.368095,-0.0891547,0.989966,14.8314,1.15477,147.189,49.0667,-69.2679,7.31494,0,0,0,0,0,0,0,0,0,0,0,0,-1.5708,-0.785398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.000386732,-0.00619235,0.000405266,-0.0223207,-0.00717215,-1.57075,-0.786315,0.0185053,-0.404662,0.0190539,-1.89836,-0.601095,0.310561,-0.085771,1.04066,-12.425,1.07498,13.464,-1.741,-35.9588,2.11485,0,0,0,0,0,0,0,0,0,0,0,0,-1.5708,-0.785398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.000576196,-0.0109207,0.000604245,-0.042331,-0.0141701,-1.56813,-0.787118,0.0195408,-0.441939,0.0202176,-2.01895,-0.655824,0.313945,-0.0886955,0.647223,-23.298,0.727297,-75.3656,-34.2062,2.11459,-1.82787,0,0,0,0,0,0,0,0,0,0,0,0,-1.5708,-0.785398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.000726987,-0.0159546,0.000764884,-0.0667176,-0.0223431,-1.56337,-0.788176,0.0194024,-0.479399,0.0201901,-2.22482,-0.728984,0.37035,-0.0974023,-0.0865044,-23.4126,-0.0172151,-128.672,-45.7248,35.2535,-5.44171,0,0,0,0,0,0,0,0,0,0,0,0,-1.5708,-0.785398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.000829458,-0.0208898,0.00089136,-0.0944147,-0.0310178,-1.55666,-0.789489,0.0180837,-0.506897,0.019314,-2.47228,-0.800056,0.464023,-0.110764,-0.82418,-17.1865,-0.547567,-154.664,-44.4199,58.5456,-8.35112,0,0,0,0,0,0,0,0,0,0,0,0,-1.5708,-0.785398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
