Commanded Joint 0 Position,Commanded Joint 1 Position,Commanded Joint 2 Position,Commanded Joint 3 Position,Commanded Joint 4 Position,Commanded Joint 5 Position,Commanded Joint 6 Position,Commanded Joint 0 Velocity,Commanded Joint 1 Velocity,Commanded Joint 2 Velocity,Commanded Joint 3 Velocity,Commanded Joint 4 Velocity,Commanded Joint 5 Velocity,Commanded Joint 6 Velocity,Commanded Joint 0 Acceleration,Commanded Joint 1 Acceleration,Commanded Joint 2 Acceleration,Commanded Joint 3 Acceleration,Commanded Joint 4 Acceleration,Commanded Joint 5 Acceleration,Commanded Joint 6 Acceleration,Commanded Joint 0 Torque,Commanded Joint 1 Torque,Commanded Joint 2 Torque,Commanded Joint 3 Torque,Commanded Joint 4 Torque,Commanded Joint 5 Torque,Commanded Joint 6 Torque,Actual Joint 0 Position,Actual Joint 1 Position,Actual Joint 2 Position,Actual Joint 3 Position,Actual Joint 4 Position,Actual Joint 5 Position,Actual Joint 6 Position,Actual Joint 0 Velocity,Actual Joint 1 Velocity,Actual Joint 2 Velocity,Actual Joint 3 Velocity,Actual Joint 4 Velocity,Actual Joint 5 Velocity,Actual Joint 6 Velocity,Actual Joint 0 Acceleration,Actual Joint 1 Acceleration,Actual Joint 2 Acceleration,Actual Joint 3 Acceleration,Actual Joint 4 Acceleration,Actual Joint 5 Acceleration,Actual Joint 6 Acceleration,Actual Joint 0 Torque,Actual Joint 1 Torque,Actual Joint 2 Torque,Actual Joint 3 Torque,Actual Joint 4 Torque,Actual Joint 5 Torque,Actual Joint 6 Torque,
0.05576,0.0925226,-0.0595612,-1.70254,0.0311773,0.259895,-0.0966383,0.00057674,0.0250124,0.000627366,-0.0315263,-0.0042895,0.0547606,-0.000397714,0.360462,15.6327,0.392104,-19.7039,-2.68094,34.2254,-0.248571,0.0591961,27.5434,0.122466,-24.4014,-0.713356,1.89963,-0.0244106,0.0556939,0.0913093,-0.0596265,-1.69973,0.0314436,0.254072,-0.0965879,0.000930054,0.000411967,0.0010734,-8.05536e-05,-0.0122315,-0.00117917,-0.000186741,0,0,0,0,0,0,0,-0.147213,-38.7871,-0.237108,27.3993,1.10656,3.21892,0.0706026,
0.0557005,0.0913192,-0.0596215,-1.69974,0.0313393,0.254065,-0.0965894,0.000475734,0.0200926,0.000510369,-0.0252557,-0.00388183,0.0437902,-0.000324414,-0.0631284,-3.07487,-0.0731231,3.91909,0.254797,-6.85653,0.0458126,0.0534787,27.9837,0.112185,-24.3178,-0.713557,1.64913,-0.0228897,0.0556939,0.0913093,-0.0596265,-1.69973,0.0314436,0.254072,-0.0965879,0.000930054,0.000411967,0.0010734,-8.05536e-05,-0.0122315,-0.00117917,-0.000186741,0,0,0,0,0,0,0,-0.147213,-38.7871,-0.237108,27.3993,1.10656,3.21892,0.0706026,
0.0557005,0.0913224,-0.0596217,-1.69974,0.0313288,0.254065,-0.0965895,0.000379638,0.0161529,0.000405158,-0.0202317,-0.00336787,0.0350394,-0.000263127,-0.0600598,-2.46234,-0.0657571,3.14001,0.321222,-5.4692,0.0383046,0.0462695,28.5551,0.100474,-24.2098,-0.712862,1.30197,-0.0209193,0.0556939,0.0913093,-0.0596265,-1.69973,0.0314436,0.254072,-0.0965879,0.000930054,0.000411967,0.0010734,-8.05536e-05,-0.0122315,-0.00117917,-0.000186741,0,0,0,0,0,0,0,-0.147213,-38.7871,-0.237108,27.3993,1.10656,3.21892,0.0706026,
0.0557002,0.0913254,-0.059622,-1.69974,0.0313226,0.254066,-0.0965896,0.000295912,0.0129962,0.0003161,-0.0162062,-0.00284887,0.0280582,-0.000212666,-0.0523289,-1.97294,-0.0556611,2.51596,0.324374,-4.36326,0.0315378,0.0402704,29.0821,0.0910963,-24.0415,-0.710565,0.917924,-0.0189198,0.0556964,0.0914277,-0.0596272,-1.69978,0.0314387,0.254078,-0.0965896,0.0026274,0.0079271,0.00179397,0.000267809,-0.0073747,0.00130911,0.000523224,0.212169,0.939391,0.0900714,0.0435453,0.607101,0.311035,0.0887456,-0.147213,-38.5411,-0.237108,27.2763,1.14959,3.19237,0.0577852,
0.0557171,0.0919414,-0.0596058,-1.70029,0.0312672,0.254354,-0.0965865,0.000753301,0.0232378,0.000787732,-0.0257162,-0.00656639,0.0293464,-9.11009e-05,0.285868,6.401,0.29477,-5.9438,-2.32345,0.805098,0.0759783,-3.59238e-05,33.7088,0.0646199,-23.305,-1.09593,-2.28316,0.000971307,0.0556964,0.0914277,-0.0596272,-1.69978,0.0314387,0.254078,-0.0965896,0.0026274,0.0079271,0.00179397,0.000267809,-0.0073747,0.00130911,0.000523224,0,0,0,0,0,0,0,-0.147213,-38.5411,-0.237108,27.2763,1.14959,3.19237,0.0577852,
0.055689,0.092416,-0.0596482,-1.7005,0.0320495,0.253632,-0.0966028,-0.00010114,0.0304559,-0.00042946,-0.0257918,0.0143035,0.00542087,-0.00047982,-0.534026,4.5113,-0.760744,-0.0472522,13.0437,-14.9534,-0.242949,0.505495,0.221357,0.507505,-0.309588,3.01735,-2.37587,-0.00199403,0.0556964,0.0914277,-0.0596272,-1.69978,0.0314387,0.254078,-0.0965896,0.0026274,0.0079271,0.00179397,0.000267809,-0.0073747,0.00130911,0.000523224,0,0,0,0,0,0,0,-0.147213,-38.5411,-0.237108,27.2763,1.14959,3.19237,0.0577852,
0.0556368,0.0927912,-0.0597057,-1.70064,0.0333986,0.252427,-0.0966132,-0.00138372,0.033744,-0.00178326,-0.0241323,0.0451694,-0.0258002,-0.000645952,-0.80161,2.05507,-0.846122,1.03723,19.2912,-19.5132,-0.103832,0.499426,0.217156,0.502123,-0.307211,2.99259,-2.35688,-0.00201245,0.0556964,0.0914277,-0.0596272,-1.69978,0.0314387,0.254078,-0.0965896,0.0026274,0.0079271,0.00179397,0.000267809,-0.0073747,0.00130911,0.000523224,0,0,0,0,0,0,0,-0.147213,-38.5411,-0.237108,27.2763,1.14959,3.19237,0.0577852,
0.0555812,0.0930809,-0.0597622,-1.70075,0.0350811,0.250947,-0.0966194,-0.00249866,0.034238,-0.00283674,-0.0222048,0.0781991,-0.0576393,-0.000670917,-0.696842,0.308758,-0.658426,1.20464,20.6435,-19.8994,-0.0156035,0.493396,0.241314,0.496917,-0.304339,2.96794,-2.33603,-0.00198923,0.0556845,0.0919913,-0.0596345,-1.70067,0.0313241,0.255918,-0.0965946,-0.000272848,0.0412274,-0.000589849,-0.0831035,-0.0148793,0.148178,-0.000525712,-0.362532,4.16254,-0.297977,-10.4214,-0.938081,18.3586,-0.131117,0.0313145,-29.9281,-0.0863513,19.5282,0.685421,2.44988,0.0706026,
0.055688,0.0928364,-0.0596283,-1.70141,0.0310431,0.256604,-0.0965907,-0.00191172,0.0485198,-0.00211357,-0.0363629,0.0555357,-0.0289519,-0.000436935,0.366839,8.92611,0.451981,-8.84882,-14.1646,17.9296,0.146239,-0.000774885,33.7362,0.0644149,-23.3045,-1.09479,-2.28197,0.000977251,0.0556845,0.0919913,-0.0596345,-1.70067,0.0313241,0.255918,-0.0965946,-0.000272848,0.0412274,-0.000589849,-0.0831035,-0.0148793,0.148178,-0.000525712,0,0,0,0,0,0,0,0.0313145,-29.9281,-0.0863513,19.5282,0.685421,2.44988,0.0706026,
0.0555867,0.0936114,-0.0597767,-1.70152,0.0339331,0.253832,-0.0966412,-0.00406122,0.0581908,-0.0054014,-0.0317666,0.116678,-0.0924597,-0.00161312,-1.34344,6.0444,-2.0549,2.87269,38.214,-39.6924,-0.735114,4.40003,0.792544,4.28824,-1.90052,10.5289,-10.5153,-0.00547918,0.0556845,0.0919913,-0.0596345,-1.70067,0.0313241,0.255918,-0.0965946,-0.000272848,0.0412274,-0.000589849,-0.0831035,-0.0148793,0.148178,-0.000525712,0,0,0,0,0,0,0,0.0313145,-29.9281,-0.0863513,19.5282,0.685421,2.44988,0.0706026,
