Commanded Joint 0 Position,Commanded Joint 1 Position,Commanded Joint 2 Position,Commanded Joint 3 Position,Commanded Joint 4 Position,Commanded Joint 5 Position,Commanded Joint 6 Position,Commanded Joint 0 Velocity,Commanded Joint 1 Velocity,Commanded Joint 2 Velocity,Commanded Joint 3 Velocity,Commanded Joint 4 Velocity,Commanded Joint 5 Velocity,Commanded Joint 6 Velocity,Commanded Joint 0 Acceleration,Commanded Joint 1 Acceleration,Commanded Joint 2 Acceleration,Commanded Joint 3 Acceleration,Commanded Joint 4 Acceleration,Commanded Joint 5 Acceleration,Commanded Joint 6 Acceleration,Commanded Joint 0 Torque,Commanded Joint 1 Torque,Commanded Joint 2 Torque,Commanded Joint 3 Torque,Commanded Joint 4 Torque,Commanded Joint 5 Torque,Commanded Joint 6 Torque,Actual Joint 0 Position,Actual Joint 1 Position,Actual Joint 2 Position,Actual Joint 3 Position,Actual Joint 4 Position,Actual Joint 5 Position,Actual Joint 6 Position,Actual Joint 0 Velocity,Actual Joint 1 Velocity,Actual Joint 2 Velocity,Actual Joint 3 Velocity,Actual Joint 4 Velocity,Actual Joint 5 Velocity,Actual Joint 6 Velocity,Actual Joint 0 Acceleration,Actual Joint 1 Acceleration,Actual Joint 2 Acceleration,Actual Joint 3 Acceleration,Actual Joint 4 Acceleration,Actual Joint 5 Acceleration,Actual Joint 6 Acceleration,Actual Joint 0 Torque,Actual Joint 1 Torque,Actual Joint 2 Torque,Actual Joint 3 Torque,Actual Joint 4 Torque,Actual Joint 5 Torque,Actual Joint 6 Torque,
-0.00908056,-0.173087,-0.0374497,-1.84588,-0.00202526,0.190946,-0.0690733,0.000353398,0.0156022,0.000237297,-0.0349908,-0.00431801,0.0472453,-0.000357088,0.220874,9.75136,0.148311,-21.8693,-2.69876,29.5283,-0.22318,0.0578754,18.8183,0.0331747,-24.3416,-0.601473,1.66761,-0.0231677,-0.00909584,-0.173736,-0.0374594,-1.8427,-0.00184253,0.185801,-0.0690078,0.00167111,-0.0016072,0.00125095,-0.00165973,-0.00566429,0.00234386,-0.00113299,0,0,0,0,0,0,0,0.00751081,-29.0038,0.112013,27.1771,0.966488,3.19878,-0.0630644,
-0.00908216,-0.173746,-0.0374431,-1.8427,-0.0018783,0.185815,-0.0690091,0.000353536,0.012446,0.000273299,-0.0279678,-0.00354046,0.0378953,-0.000290453,8.59319e-05,-1.97259,0.0225008,4.38937,0.485969,-5.84376,0.0416466,0.0521685,19.2591,0.0227841,-24.2579,-0.601911,1.41697,-0.0216518,-0.00909584,-0.173736,-0.0374594,-1.8427,-0.00184253,0.185801,-0.0690078,0.00167111,-0.0016072,0.00125095,-0.00165973,-0.00566429,0.00234386,-0.00113299,0,0,0,0,0,0,0,0.00751081,-29.0038,0.112013,27.1771,0.966488,3.19878,-0.0630644,
-0.0090802,-0.173746,-0.0374408,-1.8427,-0.00187849,0.185819,-0.0690092,0.000331891,0.00993811,0.000275461,-0.0223511,-0.00283712,0.0304175,-0.000235361,-0.013528,-1.56745,0.00135133,3.51047,0.439586,-4.67361,0.0344326,0.0449663,19.8322,0.011015,-24.1496,-0.601555,1.07028,-0.0196853,-0.00909698,-0.173693,-0.0374616,-1.8428,-0.00184061,0.185798,-0.0690064,0.00117052,0.000960499,0.00110463,-0.00663143,-0.0100524,0.00286643,-0.000680256,-0.0625733,0.320962,-0.0182908,-0.621462,-0.548512,0.0653217,0.0565918,0.0551182,-28.857,0.112013,27.0264,0.948178,3.23907,-0.0703886,
-0.0090788,-0.173747,-0.0374392,-1.8427,-0.00187717,0.185823,-0.0690093,0.000300591,0.00794318,0.00026036,-0.017861,-0.00223666,0.0244358,-0.000190264,-0.0195626,-1.24684,-0.00943811,2.8063,0.375289,-3.73856,0.0281856,0.0390341,20.3563,0.00156922,-23.9818,-0.599691,0.685344,-0.0176844,-0.00909698,-0.173693,-0.0374616,-1.8428,-0.00184061,0.185798,-0.0690064,0.00117052,0.000960499,0.00110463,-0.00663143,-0.0100524,0.00286643,-0.000680256,0,0,0,0,0,0,0,0.0551182,-28.857,0.112013,27.0264,0.948178,3.23907,-0.0703886,
-0.00907865,-0.17338,-0.0374472,-1.84345,-0.00206072,0.185955,-0.069002,0.000698791,0.0141614,0.000568883,-0.030486,-0.00729199,0.0234653,-4.01774e-05,0.248875,3.88639,0.192827,-7.89065,-3.15958,-0.606569,0.0938043,-6.79608e-06,24.9654,-0.0211014,-23.2422,-1.03747,-2.51848,0.00223301,-0.00909698,-0.173693,-0.0374616,-1.8428,-0.00184061,0.185798,-0.0690064,0.00117052,0.000960499,0.00110463,-0.00663143,-0.0100524,0.00286643,-0.000680256,0,0,0,0,0,0,0,0.0551182,-28.857,0.112013,27.0264,0.948178,3.23907,-0.0703886,
-0.00914114,-0.173023,-0.0374848,-1.8437,-0.00120289,0.185221,-0.0690167,-0.00100345,0.0202502,-0.000484,-0.0306793,0.0156121,0.000415585,-0.000400377,-1.0639,3.8055,-0.658052,-0.120771,14.315,-14.4061,-0.225125,0.493982,0.207859,0.490381,-0.306784,3.48063,-1.94788,-0.00160397,-0.00909698,-0.173693,-0.0374616,-1.8428,-0.00184061,0.185798,-0.0690064,0.00117052,0.000960499,0.00110463,-0.00663143,-0.0100524,0.00286643,-0.000680256,0,0,0,0,0,0,0,0.0551182,-28.857,0.112013,27.0264,0.948178,3.23907,-0.0703886,
-0.009218,-0.172726,-0.0375508,-1.84385,0.00030538,0.184114,-0.0690257,-0.00272407,0.0236264,-0.00203823,-0.0283073,0.0501964,-0.0273412,-0.000546201,-1.07538,2.11014,-0.971392,1.48248,21.6152,-17.348,-0.0911399,0.487757,0.213431,0.483652,-0.305625,3.45027,-1.93049,-0.00153818,-0.00909868,-0.173617,-0.0374642,-1.84305,-0.00184515,0.186269,-0.0690032,0.00219443,0.0117449,-0.000598522,-0.0310158,-0.00882989,0.086353,0.000259253,0.127988,1.34805,-0.212894,-3.04805,0.152812,10.4358,0.117439,0.0828892,-26.187,0.211195,24.2374,0.642391,3.6831,-0.0905302,
-0.00928997,-0.172493,-0.0376202,-1.84397,0.0022046,0.182816,-0.0690307,-0.00397867,0.02474,-0.00336595,-0.0255333,0.0876377,-0.0543118,-0.000560859,-0.78413,0.696004,-0.82983,1.73373,23.4008,-16.8566,-0.00916143,0.481338,0.213559,0.476654,-0.302564,3.42065,-1.91268,-0.00150122,-0.00909868,-0.173617,-0.0374642,-1.84305,-0.00184515,0.186269,-0.0690032,0.00219443,0.0117449,-0.000598522,-0.0310158,-0.00882989,0.086353,0.000259253,0,0,0,0,0,0,0,0.0828892,-26.187,0.211195,24.2374,0.642391,3.6831,-0.0905302,
-0.00908048,-0.173204,-0.0374512,-1.84376,-0.00207793,0.186762,-0.0689986,-0.00272782,0.0301227,-0.00236861,-0.0380499,0.0642908,-0.0311226,-0.000332621,0.781785,3.36418,0.623338,-7.82286,-14.5918,14.4933,0.142649,-0.000369895,24.971,-0.0215031,-23.2439,-1.0375,-2.51875,0.00223918,-0.00909868,-0.173617,-0.0374642,-1.84305,-0.00184515,0.186269,-0.0690032,0.00219443,0.0117449,-0.000598522,-0.0310158,-0.00882989,0.086353,0.000259253,0,0,0,0,0,0,0,0.0828892,-26.187,0.211195,24.2374,0.642391,3.6831,-0.0905302,
-0.00924052,-0.172717,-0.0375412,-1.84378,0.000875449,0.183889,-0.0690441,-0.00618328,0.0362769,-0.00414499,-0.031007,0.125267,-0.0967338,-0.00140294,-2.15967,3.84634,-1.11024,4.40181,38.1102,-41.007,-0.66895,3.81893,1.7228,3.9355,-2.32232,10.9625,-10.6811,-0.0082609,-0.00909868,-0.173617,-0.0374642,-1.84305,-0.00184515,0.186269,-0.0690032,0.00219443,0.0117449,-0.000598522,-0.0310158,-0.00882989,0.086353,0.000259253,0,0,0,0,0,0,0,0.0828892,-26.187,0.211195,24.2374,0.642391,3.6831,-0.0905302,
