Commanded Joint 0 Position,Commanded Joint 1 Position,Commanded Joint 2 Position,Commanded Joint 3 Position,Commanded Joint 4 Position,Commanded Joint 5 Position,Commanded Joint 6 Position,Commanded Joint 0 Velocity,Commanded Joint 1 Velocity,Commanded Joint 2 Velocity,Commanded Joint 3 Velocity,Commanded Joint 4 Velocity,Commanded Joint 5 Velocity,Commanded Joint 6 Velocity,Commanded Joint 0 Acceleration,Commanded Joint 1 Acceleration,Commanded Joint 2 Acceleration,Commanded Joint 3 Acceleration,Commanded Joint 4 Acceleration,Commanded Joint 5 Acceleration,Commanded Joint 6 Acceleration,Commanded Joint 0 Torque,Commanded Joint 1 Torque,Commanded Joint 2 Torque,Commanded Joint 3 Torque,Commanded Joint 4 Torque,Commanded Joint 5 Torque,Commanded Joint 6 Torque,Actual Joint 0 Position,Actual Joint 1 Position,Actual Joint 2 Position,Actual Joint 3 Position,Actual Joint 4 Position,Actual Joint 5 Position,Actual Joint 6 Position,Actual Joint 0 Velocity,Actual Joint 1 Velocity,Actual Joint 2 Velocity,Actual Joint 3 Velocity,Actual Joint 4 Velocity,Actual Joint 5 Velocity,Actual Joint 6 Velocity,Actual Joint 0 Acceleration,Actual Joint 1 Acceleration,Actual Joint 2 Acceleration,Actual Joint 3 Acceleration,Actual Joint 4 Acceleration,Actual Joint 5 Acceleration,Actual Joint 6 Acceleration,Actual Joint 0 Torque,Actual Joint 1 Torque,Actual Joint 2 Torque,Actual Joint 3 Torque,Actual Joint 4 Torque,Actual Joint 5 Torque,Actual Joint 6 Torque,
0.16262,0.060459,-0.152986,-1.84483,-0.0185664,0.348639,-0.0105062,-0.000192527,0.0250254,8.10758e-05,-0.0322486,-0.0019358,0.0587438,-0.000398104,-0.120329,15.6409,0.0506724,-20.1554,-1.20988,36.7149,-0.248815,0.0584539,26.1701,0.281364,-24.278,-0.463745,2.04844,-0.0251704,0.162632,0.0594036,-0.152995,-1.84224,-0.0184795,0.342421,-0.0104528,-0.00172912,0.00249716,-0.000754712,-0.00542546,0.00278893,0.000493027,0.000489149,0,0,0,0,0,0,0,-0.0718349,-37.1684,-0.260912,27.2287,0.715634,2.89391,-0.0630644,
0.162616,0.0594624,-0.15301,-1.84228,-0.0184782,0.34236,-0.0104519,-0.000254347,0.0204289,-2.13913e-05,-0.0260418,-0.00164468,0.046516,-0.000315737,-0.0386377,-2.8728,-0.0640419,3.87925,0.18195,-7.64238,0.0514792,0.0527005,26.6106,0.27104,-24.1944,-0.464354,1.79737,-0.0236495,0.162632,0.0594036,-0.152995,-1.84224,-0.0184795,0.342421,-0.0104528,-0.00172912,0.00249716,-0.000754712,-0.00542546,0.00278893,0.000493027,0.000489149,0,0,0,0,0,0,0,-0.0718349,-37.1684,-0.260912,27.2287,0.715634,2.89391,-0.0630644,
0.162613,0.0594759,-0.153013,-1.84229,-0.0184828,0.342344,-0.0104518,-0.000280238,0.0166808,-8.15835e-05,-0.0210254,-0.00143118,0.0368224,-0.000251386,-0.0161814,-2.34256,-0.0376201,3.13528,0.133437,-6.05853,0.0402194,0.0454686,27.1821,0.259283,-24.0865,-0.46403,1.44965,-0.0216801,0.162632,0.0594036,-0.152995,-1.84224,-0.0184795,0.342421,-0.0104528,-0.00172912,0.00249716,-0.000754712,-0.00542546,0.00278893,0.000493027,0.000489149,0,0,0,0,0,0,0,-0.0718349,-37.1684,-0.260912,27.2287,0.715634,2.89391,-0.0630644,
0.16261,0.0594871,-0.153015,-1.8423,-0.0184873,0.342332,-0.0104518,-0.000284036,0.0136256,-0.000113956,-0.0169731,-0.00125631,0.0291532,-0.000200741,-0.00237437,-1.9095,-0.0202327,2.53269,0.109298,-4.79324,0.0316531,0.0394871,27.706,0.24983,-23.9187,-0.462188,1.06436,-0.0196786,0.162632,0.0594036,-0.152995,-1.84224,-0.0184795,0.342421,-0.0104528,-0.00172912,0.00249716,-0.000754712,-0.00542546,0.00278893,0.000493027,0.000489149,0,0,0,0,0,0,0,-0.0718349,-37.1684,-0.260912,27.2287,0.715634,2.89391,-0.0630644,
0.162327,0.0630021,-0.153275,-1.84506,-0.0113666,0.342496,-0.0104894,-0.000974336,0.0179212,-0.000729667,-0.0171181,0.0438594,-0.00768493,-0.00022018,-0.431437,2.68473,-0.384819,-0.0906176,28.1973,-23.0238,-0.0121493,0.513769,0.190461,0.524699,-0.210411,2.731,-1.62082,-0.00166072,0.162589,0.0604188,-0.153031,-1.84382,-0.0184367,0.34588,-0.0104542,-0.00660922,0.100782,-0.00611068,-0.157769,0.0145651,0.287954,0.000922681,-0.610011,12.2856,-0.669496,-19.0429,1.47202,35.9326,0.0541915,0.463749,-17.3241,0.413527,8.16986,0.116879,0.818411,-0.050247,
0.162309,0.0632203,-0.153289,-1.84519,-0.00951012,0.341196,-0.010491,-0.00122988,0.0197932,-0.000932017,-0.0167072,0.0815006,-0.0386543,-0.000215991,-0.159712,1.17,-0.126469,0.256816,23.5258,-19.3559,0.00261789,0.508223,0.189707,0.519198,-0.207919,2.70579,-1.6062,-0.00163385,0.162589,0.0604188,-0.153031,-1.84382,-0.0184367,0.34588,-0.0104542,-0.00660922,0.100782,-0.00611068,-0.157769,0.0145651,0.287954,0.000922681,0,0,0,0,0,0,0,0.463749,-17.3241,0.413527,8.16986,0.116879,0.818411,-0.050247,
0.162301,0.0633927,-0.153293,-1.84529,-0.00761784,0.339873,-0.0104922,-0.00117456,0.0201427,-0.000841931,-0.0159372,0.112507,-0.0639804,-0.000201651,0.0345702,0.218476,0.0563037,0.481212,19.3793,-15.8288,0.00896255,0.502726,0.188721,0.51374,-0.205502,2.68049,-1.59162,-0.00160495,0.162589,0.0604188,-0.153031,-1.84382,-0.0184367,0.34588,-0.0104542,-0.00660922,0.100782,-0.00611068,-0.157769,0.0145651,0.287954,0.000922681,0,0,0,0,0,0,0,0.463749,-17.3241,0.413527,8.16986,0.116879,0.818411,-0.050247,
0.162302,0.0635309,-0.153288,-1.84538,-0.00570703,0.338552,-0.0104931,-0.000909409,0.01957,-0.000556779,-0.0149503,0.137776,-0.0842246,-0.000184324,0.165721,-0.357958,0.17822,0.616796,15.793,-12.6526,0.0108298,0.49726,0.187576,0.508303,-0.203143,2.65515,-1.57707,-0.00157672,0.162589,0.0604188,-0.153031,-1.84382,-0.0184367,0.34588,-0.0104542,-0.00660922,0.100782,-0.00611068,-0.157769,0.0145651,0.287954,0.000922681,0,0,0,0,0,0,0,0.463749,-17.3241,0.413527,8.16986,0.116879,0.818411,-0.050247,
0.162363,0.0656577,-0.153262,-1.85012,0.017536,0.330841,-0.0105525,-0.000155652,0.019635,0.000212646,-0.0161467,0.308238,-0.17089,-0.000199897,0.471098,0.0406311,0.480891,-0.747713,106.539,-54.1656,-0.00973312,3.79667,0.167873,3.77744,-1.284,11.1172,-5.93467,-0.00271675,0.162571,0.0642197,-0.15303,-1.84914,-0.0154319,0.349426,-0.0104573,0.000843282,0.0521,0.00176304,-0.0953387,0.202606,-0.168561,-0.000161851,0.931562,-6.08527,0.984215,7.80375,23.5051,-57.0643,-0.135567,0.309024,-38.6879,0.163588,35.6711,1.85821,4.13994,-0.0227812,
0.162425,0.0657854,-0.153197,-1.85029,0.0256786,0.326714,-0.0105528,0.00142919,0.0189003,0.00180432,-0.017078,0.450154,-0.239902,-0.000165705,0.990527,-0.459185,0.994797,-0.582043,88.6975,-43.1327,0.0213695,3.72973,0.188508,3.71089,-1.23825,11.1172,-5.74636,-0.00233928,0.162571,0.0642197,-0.15303,-1.84914,-0.0154319,0.349426,-0.0104573,0.000843282,0.0521,0.00176304,-0.0953387,0.202606,-0.168561,-0.000161851,0,0,0,0,0,0,0,0.309024,-38.6879,0.163588,35.6711,1.85821,4.13994,-0.0227812,
