Commanded Joint 0 Position,Commanded Joint 1 Position,Commanded Joint 2 Position,Commanded Joint 3 Position,Commanded Joint 4 Position,Commanded Joint 5 Position,Commanded Joint 6 Position,Commanded Joint 0 Velocity,Commanded Joint 1 Velocity,Commanded Joint 2 Velocity,Commanded Joint 3 Velocity,Commanded Joint 4 Velocity,Commanded Joint 5 Velocity,Commanded Joint 6 Velocity,Commanded Joint 0 Acceleration,Commanded Joint 1 Acceleration,Commanded Joint 2 Acceleration,Commanded Joint 3 Acceleration,Commanded Joint 4 Acceleration,Commanded Joint 5 Acceleration,Commanded Joint 6 Acceleration,Commanded Joint 0 Torque,Commanded Joint 1 Torque,Commanded Joint 2 Torque,Commanded Joint 3 Torque,Commanded Joint 4 Torque,Commanded Joint 5 Torque,Commanded Joint 6 Torque,Actual Joint 0 Position,Actual Joint 1 Position,Actual Joint 2 Position,Actual Joint 3 Position,Actual Joint 4 Position,Actual Joint 5 Position,Actual Joint 6 Position,Actual Joint 0 Velocity,Actual Joint 1 Velocity,Actual Joint 2 Velocity,Actual Joint 3 Velocity,Actual Joint 4 Velocity,Actual Joint 5 Velocity,Actual Joint 6 Velocity,Actual Joint 0 Acceleration,Actual Joint 1 Acceleration,Actual Joint 2 Acceleration,Actual Joint 3 Acceleration,Actual Joint 4 Acceleration,Actual Joint 5 Acceleration,Actual Joint 6 Acceleration,Actual Joint 0 Torque,Actual Joint 1 Torque,Actual Joint 2 Torque,Actual Joint 3 Torque,Actual Joint 4 Torque,Actual Joint 5 Torque,Actual Joint 6 Torque,
-0.0366339,-0.153229,0.00247422,-1.85071,-0.00376291,0.154852,-0.0541049,0.000543667,0.0166542,0.000714852,-0.0349838,-0.00465064,0.0506014,-0.000383788,0.339792,10.4089,0.446783,-21.8649,-2.90665,31.6259,-0.239867,0.0552585,19.269,0.216626,-24.1512,-0.567012,1.9887,-0.0246964,-0.036702,-0.153975,0.00241302,-1.84719,-0.00344464,0.149379,-0.0540506,-0.00263652,-0.000231984,-0.000379912,0.000223913,0.012541,-0.000424873,0.00123537,0,0,0,0,0,0,0,0.158268,-29.9043,-0.260912,26.705,0.624081,3.29857,-0.0703886,
-0.0367106,-0.153978,0.00240158,-1.84719,-0.00333659,0.149378,-0.0540489,0.000410096,0.0133093,0.000533496,-0.0279579,-0.00324362,0.0405073,-0.000301746,-0.0834818,-2.09057,-0.113348,4.39117,0.879385,-6.30884,0.0512759,0.0495671,19.7121,0.206233,-24.0673,-0.567385,1.73809,-0.0231842,-0.0366984,-0.153899,0.00241593,-1.84725,-0.00344947,0.149373,-0.0540514,-0.0031158,-0.000425237,-0.000717722,-2.16111e-05,0.011285,-0.000577095,0.000881358,-0.0599096,-0.0241565,-0.0422262,-0.0306905,-0.157003,-0.0190278,-0.0442511,0.106693,-29.5274,-0.312487,26.828,0.667111,3.34435,-0.0630644,
-0.0367109,-0.153978,0.00240099,-1.84719,-0.00332527,0.14938,-0.0540488,0.000320848,0.0106408,0.000411936,-0.0223435,-0.00231194,0.0324474,-0.000238653,-0.0557799,-1.66784,-0.0759749,3.50902,0.582305,-5.0374,0.0394332,0.0423931,20.2839,0.194514,-23.9592,-0.566988,1.39018,-0.0212164,-0.0366984,-0.153899,0.00241593,-1.84725,-0.00344947,0.149373,-0.0540514,-0.0031158,-0.000425237,-0.000717722,-2.16111e-05,0.011285,-0.000577095,0.000881358,0,0,0,0,0,0,0,0.106693,-29.5274,-0.312487,26.828,0.667111,3.34435,-0.0630644,
-0.0367108,-0.153978,0.00240086,-1.84719,-0.00331846,0.149382,-0.0540487,0.000257956,0.00851225,0.000326431,-0.0178566,-0.00167917,0.026008,-0.000189571,-0.0393073,-1.33033,-0.0534406,2.80429,0.395478,-4.02462,0.0306766,0.0364867,20.8081,0.185108,-23.7914,-0.565082,1.00465,-0.0192163,-0.0366984,-0.153899,0.00241593,-1.84725,-0.00344947,0.149373,-0.0540514,-0.0031158,-0.000425237,-0.000717722,-2.16111e-05,0.011285,-0.000577095,0.000881358,0,0,0,0,0,0,0,0.106693,-29.5274,-0.312487,26.828,0.667111,3.34435,-0.0630644,
-0.0370267,-0.153882,0.00210804,-1.84716,0.00543424,0.14622,-0.0540704,-0.000868772,0.00683865,-0.000892306,-0.0141736,0.0546455,8.8928e-05,-0.000155941,-0.704206,-1.046,-0.761711,2.30191,35.2029,-16.1994,0.0210188,0.445035,0.156411,0.444656,-0.232461,3.35872,-1.28679,-0.000845419,-0.0366984,-0.153899,0.00241593,-1.84725,-0.00344947,0.149373,-0.0540514,-0.0031158,-0.000425237,-0.000717722,-2.16111e-05,0.011285,-0.000577095,0.000881358,0,0,0,0,0,0,0,0.106693,-29.5274,-0.312487,26.828,0.667111,3.34435,-0.0630644,
-0.0370553,-0.153881,0.00207614,-1.84716,0.00774579,0.145352,-0.0540703,-0.00141043,0.00551504,-0.00151142,-0.0113564,0.101505,-0.0216326,-0.000120993,-0.338539,-0.827254,-0.386948,1.76074,29.2872,-13.576,0.0218421,0.442972,0.18979,0.434053,-0.220933,3.32926,-1.26824,-0.000761925,-0.0366948,-0.153221,0.00242056,-1.84791,-0.00358468,0.150463,-0.0540514,-0.000715455,0.0879185,-0.00177787,-0.0862679,0.00362504,0.139549,0.000748416,0.300043,11.043,-0.132519,-10.7808,-0.957494,17.5157,-0.0166177,0.0551182,-16.975,-0.110155,13.4265,0.233151,2.37664,-0.0630644,
-0.0370712,-0.153878,0.00205717,-1.84717,0.0100978,0.144459,-0.05407,-0.0015268,0.00448061,-0.00168332,-0.00920419,0.140005,-0.0396276,-9.04735e-05,-0.0727257,-0.64652,-0.107437,1.34512,24.0628,-11.2469,0.019075,0.436449,0.186793,0.428889,-0.218748,3.30013,-1.25695,-0.000750755,-0.0366948,-0.153221,0.00242056,-1.84791,-0.00358468,0.150463,-0.0540514,-0.000715455,0.0879185,-0.00177787,-0.0862679,0.00362504,0.139549,0.000748416,0,0,0,0,0,0,0,0.0551182,-16.975,-0.110155,13.4265,0.233151,2.37664,-0.0630644,
-0.0370764,-0.153874,0.00204937,-1.84718,0.0124698,0.143552,-0.0540698,-0.00135136,0.00368068,-0.00154158,-0.00756073,0.171303,-0.054381,-6.62049e-05,0.109645,-0.499953,0.08859,1.02716,19.5611,-9.22091,0.0151679,0.430933,0.183937,0.423614,-0.216621,3.27058,-1.24562,-0.000740113,-0.0366948,-0.153221,0.00242056,-1.84791,-0.00358468,0.150463,-0.0540514,-0.000715455,0.0879185,-0.00177787,-0.0862679,0.00362504,0.139549,0.000748416,0,0,0,0,0,0,0,0.0551182,-16.975,-0.110155,13.4265,0.233151,2.37664,-0.0630644,
-0.0372963,-0.151104,0.00195601,-1.84846,0.0245693,0.132884,-0.054111,-0.00183143,0.00895701,-0.00166599,-0.00910093,0.31705,-0.162444,1.3141e-05,-0.300044,3.2977,-0.0777587,-0.962626,91.092,-67.5396,0.0495912,3.63075,1.52218,3.81823,-1.80208,11.0013,-7.42377,-0.000767889,-0.0366948,-0.153221,0.00242056,-1.84791,-0.00358468,0.150463,-0.0540514,-0.000715455,0.0879185,-0.00177787,-0.0862679,0.00362504,0.139549,0.000748416,0,0,0,0,0,0,0,0.0551182,-16.975,-0.110155,13.4265,0.233151,2.37664,-0.0630644,
-0.037271,-0.150902,0.0019905,-1.8486,0.0319689,0.127936,-0.0541096,-0.000833858,0.0122113,-0.00047066,-0.0106744,0.438629,-0.25366,4.34796e-05,0.623485,2.03395,0.747083,-0.983387,75.9869,-57.0095,0.0189616,3.51819,1.60922,3.69754,-1.81318,10.9874,-7.2855,-0.0016221,-0.0367436,-0.15082,0.00245113,-1.85432,-0.0012309,0.154736,-0.0540562,-0.01163,0.023222,-0.00726515,-0.126993,0.253301,-0.115062,-0.000911145,-1.36431,-8.08706,-0.68591,-5.09067,31.2095,-31.8264,-0.207445,0.892215,-28.9562,0.286573,33.8263,2.27935,3.65014,-0.0227812,
