Commanded Joint 0 Position,Commanded Joint 1 Position,Commanded Joint 2 Position,Commanded Joint 3 Position,Commanded Joint 4 Position,Commanded Joint 5 Position,Commanded Joint 6 Position,Commanded Joint 0 Velocity,Commanded Joint 1 Velocity,Commanded Joint 2 Velocity,Commanded Joint 3 Velocity,Commanded Joint 4 Velocity,Commanded Joint 5 Velocity,Commanded Joint 6 Velocity,Commanded Joint 0 Acceleration,Commanded Joint 1 Acceleration,Commanded Joint 2 Acceleration,Commanded Joint 3 Acceleration,Commanded Joint 4 Acceleration,Commanded Joint 5 Acceleration,Commanded Joint 6 Acceleration,Commanded Joint 0 Torque,Commanded Joint 1 Torque,Commanded Joint 2 Torque,Commanded Joint 3 Torque,Commanded Joint 4 Torque,Commanded Joint 5 Torque,Commanded Joint 6 Torque,Actual Joint 0 Position,Actual Joint 1 Position,Actual Joint 2 Position,Actual Joint 3 Position,Actual Joint 4 Position,Actual Joint 5 Position,Actual Joint 6 Position,Actual Joint 0 Velocity,Actual Joint 1 Velocity,Actual Joint 2 Velocity,Actual Joint 3 Velocity,Actual Joint 4 Velocity,Actual Joint 5 Velocity,Actual Joint 6 Velocity,Actual Joint 0 Acceleration,Actual Joint 1 Acceleration,Actual Joint 2 Acceleration,Actual Joint 3 Acceleration,Actual Joint 4 Acceleration,Actual Joint 5 Acceleration,Actual Joint 6 Acceleration,Actual Joint 0 Torque,Actual Joint 1 Torque,Actual Joint 2 Torque,Actual Joint 3 Torque,Actual Joint 4 Torque,Actual Joint 5 Torque,Actual Joint 6 Torque,
-0.108372,-0.1439,0.0632287,-1.85764,0.0180318,0.228023,-0.00786977,0.000766807,0.0169788,0.00130483,-0.0348238,-0.00561439,0.0487326,-0.000357244,0.479255,10.6118,0.815518,-21.7649,-3.50899,30.4578,-0.223278,0,0,0,0,0,0,0,-0.108442,-0.144385,0.0631123,-1.85446,0.0184452,0.222717,-0.00782714,-0.000389272,0.000704791,0.000380539,-0.000238123,-2.92086e-05,-0.000177055,0.000890362,0,0,0,0,0,0,0,0.0313145,-30.428,-0.435472,27.4509,0.770565,3.21892,0.0779268,
-0.108442,-0.144373,0.0631121,-1.85446,0.018444,0.222717,-0.00782693,0.000614042,0.0136744,0.00104068,-0.0278876,-0.00450008,0.0390066,-0.000286474,-0.0954785,-2.0653,-0.165094,4.33509,0.696447,-6.0787,0.0442314,0,0,0,0,0,0,0,-0.108442,-0.144256,0.0631159,-1.85451,0.0184432,0.222719,-0.00782185,-0.000938006,0.00857745,0.00170027,0.000580492,-0.000714267,0.00729008,0.00207187,-0.0685917,0.984082,0.164966,0.102327,-0.0856323,0.933392,0.147688,0.0313145,-30.1265,-0.487047,27.3001,0.788876,3.19878,0.0303194,
-0.108442,-0.14437,0.063112,-1.85447,0.0184437,0.222719,-0.00782696,0.000491422,0.0110217,0.000828753,-0.0223327,-0.00360758,0.031239,-0.000229833,-0.0766372,-1.65792,-0.132454,3.47186,0.557807,-4.8548,0.0354008,0,0,0,0,0,0,0,-0.108442,-0.144256,0.0631159,-1.85451,0.0184432,0.222719,-0.00782185,-0.000938006,0.00857745,0.00170027,0.000580492,-0.000714267,0.00729008,0.00207187,0,0,0,0,0,0,0,0.0313145,-30.1265,-0.487047,27.3001,0.788876,3.19878,0.0303194,
-0.108442,-0.144367,0.0631118,-1.85447,0.0184434,0.222721,-0.00782699,0.000393074,0.00889244,0.000658811,-0.0178837,-0.00289276,0.0250362,-0.000184499,-0.0614676,-1.33078,-0.106214,2.78058,0.446764,-3.87671,0.0283335,0,0,0,0,0,0,0,-0.108442,-0.144256,0.0631159,-1.85451,0.0184432,0.222719,-0.00782185,-0.000938006,0.00857745,0.00170027,0.000580492,-0.000714267,0.00729008,0.00207187,0,0,0,0,0,0,0,0.0313145,-30.1265,-0.487047,27.3001,0.788876,3.19878,0.0303194,
-0.108442,-0.144364,0.0631116,-1.85447,0.0184432,0.222723,-0.00782701,0.000314245,0.00718346,0.000522591,-0.0143206,-0.0023202,0.0200838,-0.00014822,-0.0492679,-1.06811,-0.0851376,2.22697,0.357853,-3.09523,0.0226748,0,0,0,0,0,0,0,-0.108442,-0.144256,0.0631159,-1.85451,0.0184432,0.222719,-0.00782185,-0.000938006,0.00857745,0.00170027,0.000580492,-0.000714267,0.00729008,0.00207187,0,0,0,0,0,0,0,0.0313145,-30.1265,-0.487047,27.3001,0.788876,3.19878,0.0303194,
-0.108741,-0.144137,0.0628392,-1.85437,0.0272214,0.217943,-0.00785433,-0.000746605,0.00591936,-0.000657802,-0.011199,0.0535495,-0.0156473,-0.000155141,-0.663031,-0.790065,-0.737745,1.951,34.9185,-22.332,-0.00432597,0,0,0,0,0,0,0,-0.108433,-0.144054,0.0631145,-1.85484,0.0184393,0.22306,-0.00783267,-0.00117417,0.00863698,0.00127299,-0.0249541,-0.0021242,0.0262134,-3.27563e-05,-0.0295207,0.00744111,-0.0534098,-3.19183,-0.176242,2.36541,-0.263078,-0.0440639,-28.8054,-0.435472,26.4035,0.795284,3.14568,0.0980684,
-0.108767,-0.144131,0.0628099,-1.85436,0.0295033,0.216615,-0.00785524,-0.00124654,0.00487534,-0.00125889,-0.00888312,0.0998887,-0.0457308,-0.000147007,-0.31246,-0.652507,-0.375683,1.44743,28.962,-18.8022,0.00508383,0,0,0,0,0,0,0,-0.108433,-0.144054,0.0631145,-1.85484,0.0184393,0.22306,-0.00783267,-0.00117417,0.00863698,0.00127299,-0.0249541,-0.0021242,0.0262134,-3.27563e-05,0,0,0,0,0,0,0,-0.0440639,-28.8054,-0.435472,26.4035,0.795284,3.14568,0.0980684,
-0.108781,-0.144125,0.0627932,-1.85437,0.0318205,0.215249,-0.00785592,-0.00133754,0.00404214,-0.00142555,-0.0071757,0.13784,-0.0707228,-0.00013455,-0.056873,-0.520754,-0.104162,1.06714,23.7199,-15.62,0.00778533,0,0,0,0,0,0,0,-0.108433,-0.144054,0.0631145,-1.85484,0.0184393,0.22306,-0.00783267,-0.00117417,0.00863698,0.00127299,-0.0249541,-0.0021242,0.0262134,-3.27563e-05,0,0,0,0,0,0,0,-0.0440639,-28.8054,-0.435472,26.4035,0.795284,3.14568,0.0980684,
-0.10908,-0.143701,0.0625767,-1.85404,0.0475074,0.197105,-0.0079406,-0.00227727,0.00406074,-0.00221896,-0.00477968,0.297125,-0.224718,-0.000241171,-0.587333,0.0116244,-0.495877,1.49751,99.553,-96.2473,-0.0666377,0,0,0,0,0,0,0,-0.108433,-0.144054,0.0631145,-1.85484,0.0184393,0.22306,-0.00783267,-0.00117417,0.00863698,0.00127299,-0.0249541,-0.0021242,0.0262134,-3.27563e-05,0,0,0,0,0,0,0,-0.0440639,-28.8054,-0.435472,26.4035,0.795284,3.14568,0.0980684,
-0.10908,-0.143658,0.0625806,-1.85405,0.0552795,0.190105,-0.00794565,-0.0018159,0.00432351,-0.00167732,-0.00412723,0.432002,-0.354792,-0.000319193,0.288355,0.164231,0.338526,0.407781,84.2983,-81.2962,-0.0487637,0,0,0,0,0,0,0,-0.108446,-0.143721,0.0631057,-1.85524,0.0188988,0.223143,-0.00783516,-0.0022995,0.0147663,-0.00234058,-0.00644687,0.0630124,-0.00113207,-0.000801265,-0.140666,0.76617,-0.451696,2.31341,8.14208,-3.41818,-0.0960636,0.134464,-30.3288,-0.33629,27.5739,1.52221,3.15941,0.11821,
