Commanded Joint 0 Position,Commanded Joint 1 Position,Commanded Joint 2 Position,Commanded Joint 3 Position,Commanded Joint 4 Position,Commanded Joint 5 Position,Commanded Joint 6 Position,Commanded Joint 0 Velocity,Commanded Joint 1 Velocity,Commanded Joint 2 Velocity,Commanded Joint 3 Velocity,Commanded Joint 4 Velocity,Commanded Joint 5 Velocity,Commanded Joint 6 Velocity,Commanded Joint 0 Acceleration,Commanded Joint 1 Acceleration,Commanded Joint 2 Acceleration,Commanded Joint 3 Acceleration,Commanded Joint 4 Acceleration,Commanded Joint 5 Acceleration,Commanded Joint 6 Acceleration,Commanded Joint 0 Torque,Commanded Joint 1 Torque,Commanded Joint 2 Torque,Commanded Joint 3 Torque,Commanded Joint 4 Torque,Commanded Joint 5 Torque,Commanded Joint 6 Torque,Actual Joint 0 Position,Actual Joint 1 Position,Actual Joint 2 Position,Actual Joint 3 Position,Actual Joint 4 Position,Actual Joint 5 Position,Actual Joint 6 Position,Actual Joint 0 Velocity,Actual Joint 1 Velocity,Actual Joint 2 Velocity,Actual Joint 3 Velocity,Actual Joint 4 Velocity,Actual Joint 5 Velocity,Actual Joint 6 Velocity,Actual Joint 0 Acceleration,Actual Joint 1 Acceleration,Actual Joint 2 Acceleration,Actual Joint 3 Acceleration,Actual Joint 4 Acceleration,Actual Joint 5 Acceleration,Actual Joint 6 Acceleration,Actual Joint 0 Torque,Actual Joint 1 Torque,Actual Joint 2 Torque,Actual Joint 3 Torque,Actual Joint 4 Torque,Actual Joint 5 Torque,Actual Joint 6 Torque,
0.129163,0.0565766,-0.0896317,-1.71682,0.0116288,0.25452,0.0328822,0.000116175,0.0237641,0.000214017,-0.0320666,-0.00415038,0.0532551,-0.000378204,0.0726092,14.8526,0.133761,-20.0417,-2.59399,33.2844,-0.236377,0.0570511,26.3814,0.149121,-24.4385,-0.650107,1.83412,-0.0241183,0.129159,0.0549974,-0.0896365,-1.71391,0.011912,0.248884,0.0329322,0.00289916,-0.00112328,0.000135752,3.39931e-05,-0.00450573,-0.000433839,-0.000300736,0,0,0,0,0,0,0,-0.0440639,-37.2676,-0.260912,27.2763,0.825497,3.05962,-0.0429228,
0.129178,0.0549852,-0.0896183,-1.71391,0.0118914,0.248885,0.0329312,0.00020598,0.018943,0.000278953,-0.0256141,-0.00331518,0.0426511,-0.000307205,0.0561282,-3.01317,0.0405849,4.03285,0.522,-6.62748,0.0443743,0.0513108,26.8218,0.138808,-24.3549,-0.650208,1.58352,-0.0225996,0.129159,0.0549974,-0.0896365,-1.71391,0.011912,0.248884,0.0329322,0.00289916,-0.00112328,0.000135752,3.39931e-05,-0.00450573,-0.000433839,-0.000300736,0,0,0,0,0,0,0,-0.0440639,-37.2676,-0.260912,27.2763,0.825497,3.05962,-0.0429228,
0.129182,0.0549832,-0.089615,-1.71391,0.0118939,0.248888,0.0329311,0.000249959,0.0151056,0.000304991,-0.0204578,-0.00258919,0.0341856,-0.000248698,0.0274867,-2.39836,0.0162733,3.22267,0.45374,-5.29098,0.0365668,0.0440935,27.3933,0.127083,-24.2469,-0.649452,1.23626,-0.0206296,0.129159,0.0549974,-0.0896365,-1.71391,0.011912,0.248884,0.0329322,0.00289916,-0.00112328,0.000135752,3.39931e-05,-0.00450573,-0.000433839,-0.000300736,0,0,0,0,0,0,0,-0.0440639,-37.2676,-0.260912,27.2763,0.825497,3.05962,-0.0429228,
0.129184,0.0549818,-0.0896125,-1.71391,0.0118972,0.248891,0.032931,0.00026566,0.0120496,0.000307528,-0.0163379,-0.001988,0.0274213,-0.000200911,0.00981317,-1.91004,0.00158595,2.57495,0.375744,-4.22768,0.0298668,0.0381369,27.918,0.117723,-24.0787,-0.647137,0.852101,-0.0186308,0.129154,0.0550392,-0.0896367,-1.71404,0.011913,0.248887,0.0329334,0.000505575,7.14803e-05,0.00152253,-0.00537915,-0.00483583,0.000469821,-2.56218e-05,-0.299198,0.149345,0.173347,-0.676643,-0.0412624,0.112958,0.0343893,0.00751081,-37.0415,-0.260912,27.1771,0.813595,3.07244,-0.050247,
0.128905,0.0550695,-0.0898956,-1.71388,0.0199849,0.244008,0.0328991,-0.000776663,0.00949931,-0.000706109,-0.0127659,0.0493025,-0.00961826,-0.00020642,-0.651452,-1.59392,-0.633523,2.23252,32.0566,-23.1497,-0.00344303,0.471092,0.162532,0.474289,-0.273847,2.99992,-1.94179,-0.00193486,0.129154,0.0550392,-0.0896367,-1.71404,0.011913,0.248887,0.0329334,0.000505575,7.14803e-05,0.00152253,-0.00537915,-0.00483583,0.000469821,-2.56218e-05,0,0,0,0,0,0,0,0.00751081,-37.0415,-0.260912,27.1771,0.813595,3.07244,-0.050247,
0.128878,0.0550635,-0.0899218,-1.71388,0.0220775,0.242691,0.0328978,-0.00131491,0.00744887,-0.00121869,-0.0100897,0.0917572,-0.0406177,-0.000196378,-0.336406,-1.28152,-0.320363,1.67258,26.5342,-19.3746,0.00627591,0.465198,0.161707,0.468461,-0.271018,2.97417,-1.92414,-0.0019151,0.129154,0.0550392,-0.0896367,-1.71404,0.011913,0.248887,0.0329334,0.000505575,7.14803e-05,0.00152253,-0.00537915,-0.00483583,0.000469821,-2.56218e-05,0,0,0,0,0,0,0,0.00751081,-37.0415,-0.260912,27.1771,0.813595,3.07244,-0.050247,
0.128861,0.0550584,-0.089937,-1.71388,0.0241995,0.241341,0.0328968,-0.00147012,0.00583143,-0.00135555,-0.00809076,0.126457,-0.066254,-0.000181564,-0.097007,-1.0109,-0.0855401,1.24935,21.6871,-16.0227,0.00925877,0.459428,0.160782,0.462734,-0.268231,2.94831,-1.90653,-0.00189607,0.129154,0.0550392,-0.0896367,-1.71404,0.011913,0.248887,0.0329334,0.000505575,7.14803e-05,0.00152253,-0.00537915,-0.00483583,0.000469821,-2.56218e-05,0,0,0,0,0,0,0,0.00751081,-37.0415,-0.260912,27.1771,0.813595,3.07244,-0.050247,
0.128854,0.0550549,-0.0899427,-1.71389,0.0263338,0.239972,0.032896,-0.00135135,0.00457742,-0.0012264,-0.00660201,0.154522,-0.0872293,-0.000166964,0.0742361,-0.78376,0.0807204,0.930472,17.5408,-13.1095,0.00912542,0.453201,0.176558,0.456935,-0.269891,2.92256,-1.89153,-0.00185261,0.129156,0.0552337,-0.0896417,-1.71468,0.0119062,0.250679,0.0329321,0.0018289,0.02658,0.00184024,-0.0661895,-0.00526338,0.1651,-0.0015554,0.165415,3.31356,0.039714,-7.6013,-0.0534448,20.5787,-0.191222,0.0313145,-31.1263,-0.185533,21.496,0.54443,2.8875,-0.0429228,
0.128664,0.0560698,-0.090176,-1.71406,0.0392313,0.22677,0.0328246,-0.00170273,0.00515109,-0.00172779,-0.00447624,0.292929,-0.230682,-0.000188469,-0.219616,0.358545,-0.313367,1.32861,86.5043,-89.6582,-0.0134409,3.7114,1.588,3.66758,-1.78872,10.6432,-10.2615,-0.00499033,0.129156,0.0552337,-0.0896417,-1.71468,0.0119062,0.250679,0.0329321,0.0018289,0.02658,0.00184024,-0.0661895,-0.00526338,0.1651,-0.0015554,0,0,0,0,0,0,0,0.0313145,-31.1263,-0.185533,21.496,0.54443,2.8875,-0.0429228,
0.128686,0.0561193,-0.090155,-1.71407,0.0461223,0.220055,0.0328222,-0.000820986,0.00535911,-0.000855603,-0.00388022,0.406618,-0.35242,-0.000211123,0.551091,0.13001,0.545116,0.372515,71.0557,-76.0859,-0.0141589,3.60082,1.55415,3.56022,-1.76451,10.4002,-10.0927,-0.00544653,0.129156,0.0552337,-0.0896417,-1.71468,0.0119062,0.250679,0.0329321,0.0018289,0.02658,0.00184024,-0.0661895,-0.00526338,0.1651,-0.0015554,0,0,0,0,0,0,0,0.0313145,-31.1263,-0.185533,21.496,0.54443,2.8875,-0.0429228,
