Commanded Joint 0 Position,Commanded Joint 1 Position,Commanded Joint 2 Position,Commanded Joint 3 Position,Commanded Joint 4 Position,Commanded Joint 5 Position,Commanded Joint 6 Position,Commanded Joint 0 Velocity,Commanded Joint 1 Velocity,Commanded Joint 2 Velocity,Commanded Joint 3 Velocity,Commanded Joint 4 Velocity,Commanded Joint 5 Velocity,Commanded Joint 6 Velocity,Commanded Joint 0 Acceleration,Commanded Joint 1 Acceleration,Commanded Joint 2 Acceleration,Commanded Joint 3 Acceleration,Commanded Joint 4 Acceleration,Commanded Joint 5 Acceleration,Commanded Joint 6 Acceleration,Commanded Joint 0 Torque,Commanded Joint 1 Torque,Commanded Joint 2 Torque,Commanded Joint 3 Torque,Commanded Joint 4 Torque,Commanded Joint 5 Torque,Commanded Joint 6 Torque,Actual Joint 0 Position,Actual Joint 1 Position,Actual Joint 2 Position,Actual Joint 3 Position,Actual Joint 4 Position,Actual Joint 5 Position,Actual Joint 6 Position,Actual Joint 0 Velocity,Actual Joint 1 Velocity,Actual Joint 2 Velocity,Actual Joint 3 Velocity,Actual Joint 4 Velocity,Actual Joint 5 Velocity,Actual Joint 6 Velocity,Actual Joint 0 Acceleration,Actual Joint 1 Acceleration,Actual Joint 2 Acceleration,Actual Joint 3 Acceleration,Actual Joint 4 Acceleration,Actual Joint 5 Acceleration,Actual Joint 6 Acceleration,Actual Joint 0 Torque,Actual Joint 1 Torque,Actual Joint 2 Torque,Actual Joint 3 Torque,Actual Joint 4 Torque,Actual Joint 5 Torque,Actual Joint 6 Torque,
0.108098,-0.0498803,-0.122903,-1.84884,-0.0127398,0.275556,-0.0239901,-1.05921e-05,0.0208298,-0.000257138,-0.0337362,-0.00334677,0.0535925,-0.00038356,-0.00662008,13.0186,-0.160711,-21.0851,-2.09173,33.4953,-0.239725,0.0584188,22.8641,-0.0858252,-24.4442,-0.560912,1.87726,-0.024273,0.1081,-0.050864,-0.122885,-1.8457,-0.0125625,0.269815,-0.023938,0.00441927,0.000930315,-0.00112147,-0.000919444,-0.0031742,0.000611182,0.000917435,0,0,0,0,0,0,0,0.00751081,-33.6217,0.286573,27.2763,0.635983,3.03307,-0.0566557,
0.108106,-0.0507937,-0.122879,-1.84576,-0.0125729,0.269823,-0.0239427,2.47819e-05,0.0167161,-0.00016766,-0.0269879,-0.00271125,0.0429841,-0.000309483,0.0221088,-2.57109,0.0559237,4.21765,0.397197,-6.63026,0.0462979,0.0526965,23.3064,-0.0959812,-24.3601,-0.561316,1.62695,-0.0227576,0.1081,-0.0508004,-0.122886,-1.84576,-0.0125582,0.269808,-0.0239419,0.000992286,0.000332868,0.000174697,5.18722e-06,-0.00241564,0.000795841,-0.000770037,-0.428374,-0.0746809,0.16202,0.115579,0.0948205,0.0230823,-0.210934,0.0551182,-33.4709,0.338148,27.1017,0.593868,3.07244,-0.0227812,
0.108107,-0.0507917,-0.122878,-1.84576,-0.0125729,0.269827,-0.0239427,4.36594e-05,0.0134216,-0.00010593,-0.0215883,-0.00216894,0.0344895,-0.000249373,0.0117984,-2.05904,0.0385812,3.37479,0.338948,-5.30912,0.0375691,0.0454837,23.878,-0.107728,-24.252,-0.560899,1.2794,-0.0207874,0.1081,-0.0508004,-0.122886,-1.84576,-0.0125582,0.269808,-0.0239419,0.000992286,0.000332868,0.000174697,5.18722e-06,-0.00241564,0.000795841,-0.000770037,0,0,0,0,0,0,0,0.0551182,-33.4709,0.338148,27.1017,0.593868,3.07244,-0.0227812,
0.108108,-0.0507899,-0.122877,-1.84576,-0.0125722,0.269831,-0.0239428,5.24904e-05,0.0107833,-6.30617e-05,-0.0172676,-0.00171898,0.0276888,-0.000200803,0.00551939,-1.64895,0.0267929,2.7004,0.281223,-4.2504,0.0303561,0.039526,24.402,-0.117173,-24.0842,-0.558957,0.894246,-0.0187856,0.1081,-0.0508004,-0.122886,-1.84576,-0.0125582,0.269808,-0.0239419,0.000992286,0.000332868,0.000174697,5.18722e-06,-0.00241564,0.000795841,-0.000770037,0,0,0,0,0,0,0,0.0551182,-33.4709,0.338148,27.1017,0.593868,3.07244,-0.0227812,
0.107833,-0.0507904,-0.123144,-1.8456,-0.00375349,0.265822,-0.0239764,-0.000893283,0.00845915,-0.000995771,-0.0135127,0.0539781,-0.00397682,-0.000193126,-0.591108,-1.4526,-0.582943,2.34681,34.8107,-19.791,0.00479797,0.480304,0.149725,0.480322,-0.251448,3.25239,-1.62313,-0.00130022,0.1081,-0.0508004,-0.122886,-1.84576,-0.0125582,0.269808,-0.0239419,0.000992286,0.000332868,0.000174697,5.18722e-06,-0.00241564,0.000795841,-0.000770037,0,0,0,0,0,0,0,0.0551182,-33.4709,0.338148,27.1017,0.593868,3.07244,-0.0227812,
0.107808,-0.050797,-0.123169,-1.8456,-0.0014784,0.264728,-0.0239771,-0.00132671,0.00660123,-0.0014221,-0.0106823,0.10006,-0.0305318,-0.000171759,-0.270889,-1.1612,-0.266458,1.76905,28.801,-16.5969,0.0133543,0.475053,0.164804,0.475753,-0.252238,3.22397,-1.6106,-0.00126824,0.10809,-0.0504739,-0.122896,-1.84609,-0.012558,0.271124,-0.0239433,-0.00167324,0.0318638,-0.00058811,-0.0388787,-0.00115777,0.153238,-0.00194014,-0.33319,3.94137,-0.0953508,-4.86049,0.157234,19.0553,-0.146262,0.182071,-28.7538,0.389723,22.7179,0.336605,3.3178,-0.00996382,
0.107795,-0.0508025,-0.123182,-1.8456,0.000827822,0.263603,-0.0239775,-0.00138264,0.00514327,-0.00147234,-0.0085536,0.137703,-0.0525362,-0.000147685,-0.0349603,-0.911222,-0.0313963,1.33042,23.5273,-13.7527,0.0150465,0.469723,0.162214,0.470261,-0.249891,3.19486,-1.59607,-0.00125136,0.10809,-0.0504739,-0.122896,-1.84609,-0.012558,0.271124,-0.0239433,-0.00167324,0.0318638,-0.00058811,-0.0388787,-0.00115777,0.153238,-0.00194014,0,0,0,0,0,0,0,0.182071,-28.7538,0.389723,22.7179,0.336605,3.3178,-0.00996382,
0.107792,-0.0508064,-0.123186,-1.8456,0.00314645,0.262461,-0.0239778,-0.00117741,0.00401882,-0.00126092,-0.00695618,0.168128,-0.0705752,-0.000125762,0.128268,-0.702779,0.132136,0.998388,19.0156,-11.2744,0.0137017,0.464531,0.159872,0.46493,-0.247515,3.16555,-1.58151,-0.00123196,0.10809,-0.0504739,-0.122896,-1.84609,-0.012558,0.271124,-0.0239433,-0.00167324,0.0318638,-0.00058811,-0.0388787,-0.00115777,0.153238,-0.00194014,0,0,0,0,0,0,0,0.182071,-28.7538,0.389723,22.7179,0.336605,3.3178,-0.00996382,
0.107553,-0.0497317,-0.123386,-1.8454,0.0170476,0.249544,-0.0240594,-0.00170731,0.00451212,-0.00165362,-0.00467482,0.324058,-0.203289,-0.000232149,-0.331185,0.308307,-0.245437,1.42585,97.4558,-82.9463,-0.0664916,3.79693,1.56972,3.85243,-1.76604,11.0253,-9.39545,-0.0044987,0.10809,-0.0504739,-0.122896,-1.84609,-0.012558,0.271124,-0.0239433,-0.00167324,0.0318638,-0.00058811,-0.0388787,-0.00115777,0.153238,-0.00194014,0,0,0,0,0,0,0,0.182071,-28.7538,0.389723,22.7179,0.336605,3.3178,-0.00996382,
0.107573,-0.0496856,-0.123363,-1.84541,0.0248553,0.243394,-0.0240624,-0.000872693,0.00476286,-0.000743613,-0.00394332,0.454438,-0.316389,-0.000259848,0.521635,0.156717,0.568754,0.457188,81.4878,-70.6872,-0.0173119,3.68765,1.61155,3.74551,-1.75096,11.0223,-9.24216,-0.0050802,0.108069,-0.0491011,-0.122908,-1.85074,-0.0113705,0.27488,-0.0239419,0.00160374,0.015096,-0.000256285,-0.181553,0.193924,-0.0333883,-0.000138682,0.409622,-2.09598,0.0414781,-17.8343,24.3853,-23.3283,0.225182,0.412174,-25.8617,0.564283,23.2178,1.69891,2.00493,-0.0227812,
