timestamp,position_0,position_1,position_2,position_3,position_4,position_5,position_6,velocity_0,velocity_1,velocity_2,velocity_3,velocity_4,velocity_5,velocity_6,effort_0,effort_1,effort_2,effort_3,effort_4,effort_5,effort_6
0.00592379,0.646285,-0.496064,-0.0676173,-2.8795,0.624532,2.57192,2.2659,0.000370569,-0.000750537,0.000491926,6.12986e-06,-0.000535634,0.000399929,-0.00971128,-0.0202602,-9.33793,0.512709,17.0883,-0.432438,1.98571,0.487168
0.00992798,0.646282,-0.496059,-0.0676181,-2.87951,0.624529,2.57192,2.26589,-0.000246453,-0.000253269,0.000468379,-0.0047415,-0.00150861,-0.000359299,-0.00187688,-0.0440639,-9.63944,0.488905,17.9095,-0.328983,1.99212,0.272019
0.0109314,0.646284,-0.496056,-0.0676199,-2.8795,0.62453,2.57192,2.26587,0.000485312,0.00174146,-0.000801372,0.000377451,-0.000802288,0.000506452,-0.00865502,-0.0718349,-9.73863,0.536512,18.0841,-0.334476,1.97198,0.211594
0.012945,0.646284,-0.496057,-0.0676146,-2.87949,0.624528,2.57192,2.26581,0.000215694,-4.93277e-05,0.00140707,0.00570786,-0.00131731,-0.000193114,-0.0298122,-0.0718349,-9.86161,0.461134,18.4848,-0.310673,1.98571,0.050461
0.0149652,0.646286,-0.496056,-0.067622,-2.87947,0.624531,2.57192,2.26565,6.49301e-05,-0.00173951,-0.00073573,0.00865271,-0.00090195,-0.000244068,-0.0678707,-0.0956386,-9.93699,0.536512,18.8815,-0.297855,1.99212,0.0303194
0.0159843,0.646285,-0.496053,-0.0676205,-2.87946,0.624528,2.57192,2.26552,0.000600099,0.000200243,6.6325e-05,0.0103011,-0.00172028,7.46471e-05,-0.0928127,-0.119442,-10.0124,0.512709,19.0561,-0.267643,1.98571,0.0376436
0.0191381,0.646291,-0.496054,-0.0676161,-2.87943,0.624532,2.57192,2.26514,0.00227742,0.00102157,0.00058629,0.0129509,-0.000527209,-0.000362422,-0.147107,-0.222592,-10.0877,0.488905,19.4052,-0.274051,1.99853,0.0239107
0.0209955,0.646284,-0.496054,-0.0676203,-2.87938,0.624528,2.57192,2.2643,0.000427319,-0.000448665,-0.000383097,0.014794,-0.00147864,-0.000668757,-0.250417,-0.198788,-10.0877,0.512709,19.7305,-0.224613,2.01226,-0.0365141
0.0229283,0.646288,-0.496051,-0.0676182,-2.87933,0.624529,2.57192,2.26353,-0.000406083,-0.000115494,0.000200943,0.0232616,-0.00132404,-2.59579e-05,-0.327647,-0.29797,-10.1116,0.488905,19.6552,-0.194401,2.00493,-0.0905302
0.0249502,0.646283,-0.496052,-0.0676169,-2.87928,0.62453,2.57192,2.26259,-0.00672604,0.0034837,0.00033678,0.0304015,-0.000498039,0.000225822,-0.400257,-0.274166,-10.0639,0.461134,19.429,-0.200809,1.99853,-0.130813
0.0260188,0.646284,-0.496053,-0.0676206,-2.87925,0.62453,2.57192,2.26206,-0.00384485,0.00148549,-0.000981907,0.0307227,-0.00124755,0.000150548,-0.438494,-0.325741,-10.0124,0.512709,19.2307,-0.17609,1.99853,-0.183914
0.027938,0.646283,-0.496058,-0.067617,-2.8792,0.624528,2.57192,2.26085,-0.00390435,-0.00173131,0.000367881,0.0287844,-0.00176387,0.000778987,-0.527996,-0.40112,-9.88542,0.461134,18.7585,-0.139469,1.9793,-0.217789
0.0299397,0.646278,-0.496059,-0.0676153,-2.87916,0.624536,2.57192,2.25945,-0.00288166,-0.000532226,0.000720315,0.0267082,-0.000693519,0.000176674,-0.614467,-0.373349,-9.78623,0.43733,18.1595,-0.145878,1.9793,-0.26448
